owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
234714607,christopherandersonphoto,CuT5PN8tc-J,False,"After 18 years as a member of Magnum Photos, I have decided to leave the cooperative. I’m grateful to my Magnum colleagues for years of inspiration, and I continue to root for the success of Magnum. 
Today I am extremely thrilled (over the moon) to announce that I am joining We Folk as my new photographic home, where I am lucky to be in the presence of a new set of incredible visual artists. I can hardly contain my excitement for this new adventure
@wefolkagency",254,15159,1688549719,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/358001619_241274745387140_8404344863124573628_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=wkVyCgqmWYcAX-Sl5GP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBmOfcl4Tkr8gBZ54vG0CdioaTEpcWCV0a6IssF7X0FYA&oe=65E53CA1&_nc_sid=8b3546,True
234714607,christopherandersonphoto,Ct_39v8O6E9,True,Thanks for having me @iconoclast.tv,35,1399,1687878091,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/356215463_938297267252696_3495827365476748305_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=QUGOHz8anSkAX98eukq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAonTHLVvns9UW0wBrREZIP557FDs00jjg_ztG8YMgp5Q&oe=65E51001&_nc_sid=8b3546,False
234714607,christopherandersonphoto,Cyi5sUvtCUS,False,"This week in @wsjmag @martinscorsese_ 
This was pretty special experience. Such a warm human being. 
So grateful to @ddkien for making it happen. 
thank you @wefolkagency",87,4866,1697643209,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/393275243_1414467749284256_4942996920284154466_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xbCIB37TjQ4AX9xp2A6&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCXwvcMC_KtznBSl5V5jWvmyyNtrnh0zIJ31kfrBX5XWw&oe=65E98CFE&_nc_sid=8b3546,False
234714607,christopherandersonphoto,C39nHveNDba,False,"archive rummaging
@wilson_oryema for @augustinusbader 
Creative direction by @simon_holmes 
@sunshinecompany",16,2192,1709276860,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/430444367_906339227951257_7477767396654563595_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=JRmBUKNx06oAX_AzFxh&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBtNMSO7vTTNLmq7QIBGAsqopigOpBFx5ZPwQPqs-Azew&oe=65E90B3D&_nc_sid=8b3546,True
234714607,christopherandersonphoto,C37B-udtCVk,False,"@maisonalaia with @katieburnett__ 
@emilykasten a while ago",5,636,1709190278,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/430759183_409367498242015_8371393769089788932_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=o8GP-UN7dQ4AX9pv5TA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDDfTlTpdfd7ks9CdFnK8Ni6QIR6Y3PewcAElupQ-8ihw&oe=65E8264B&_nc_sid=8b3546,True
234714607,christopherandersonphoto,C36BH7ttrnf,False,"Archive rummaging
Red dots

1. Sete France 2010
2. East New York 2015
3. Midtown NYC 2017
4. BCN 2016",23,4440,1709156275,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/430017952_964704835188128_2121989240051571730_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=geFzOT95_40AX8ChWU4&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCf7j9NX4GCB4wZXzEoMhixZLpHRD6J6HQZQLv_F4pSOA&oe=65E81CDD&_nc_sid=8b3546,True
234714607,christopherandersonphoto,C3ySXAdNY4W,False,"The new Magnum Magnum book is out from @thamesandhudson and I spotted it today in a bookstore while out for a stroll. Looks nice. This is a spread of some of my pictures from the book Pia on the left and Approximate Joy on the right. 
@magnumphotos Photographers’s dug into each others’ archives to select photographs for the book. 
Trent Parke selected my photos. I did Gregory Halpern. 

@chillioctopus @thamesandhudsonusa @thamesandhudsonfrance",7,966,1708896876,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/429695309_1125640732123253_5657883356162430708_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2Wa6HOx7uQAAX9gUeBY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDY9RMtLLmPygIY3QF2ROwmR4ATDO2MYfRP0Ab0Vt6-Zw&oe=65E883FA&_nc_sid=8b3546,False
330497544,images_vevey,C3pcxFHoYRY,False,"Christopher Anderson - Family Trilogy

📍L’Appartement – Espace Images Vevey
LES CHAMBRES

Christopher Anderson a commencé à photographier sa famille de manière quasiment organique dès la naissance de son fils Atlas en 2008. À la naissance de sa fille Pia il poursuit cette quête d’un père essayant d’arrê­ter le temps, de ne laisser fuir aucun instant de sa nouvelle vie. Marion est omniprésente dans ces albums à la fois comme femme, mère et partenaire. En tant que photographe documentaire, Anderson n’avait jamais considéré ces photos personnelles comme une véritable série, jusqu’à ce que le photographe de guerre Tim Hetherington lui dise : « Il s’agit du temps qui passe ». Anderson a commencé à voir ses images personnelles sous un nouveau jour et a fini par penser que ces photo­graphies étaient l’oeuvre de sa vie. Pia, Son et Marion ont été publiés en trois livres distincts, formant une trilogie familiale unique, tendre et intime.

- - -

Christopher Anderson naturally began photographing his family after his son Atlas came into the world in 2008. When his daughter Pia was born, he continued the fatherly attempt to stop time and not let a single moment of this new life slip away. Marion features throughout these albums, as a woman, mother, and partner. As a documentary photographer, Christopher Anderson had never considered these personal photos as a ‘series’, but his opinion changed when war photographer Tim Hetherington pointed out that “They’re all about the passage of time.” Christopher Anderson began seeing his family pictures in a new light and realised that they may well be his best work. Pia, Son and Marion were published as three separate books, forming a unique and moving intimate family trilogy.

@christopherandersonphoto

Canada (1970)
Family Trilogy, 2020

Pia, 2020
Son, 2021
Marion, 2022
published by @stanleybarkerbooks

📍Gare CFF de Vevey / Vevey Train Station
Jusqu’au 14 avril / Until April 14th
Mer-dim, 14h-18h / Wed-Sun, 2-6 pm
✨Entrée libre / Free admission

Don’t miss Echo in the toilet 🐕 👀

Vues d’installation / Installation views 📸 @margauxcorda

#lappartementimages
#imagesvevey
#photography",11,1977,1708600343,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t39.30808-6/424949502_18416501452001545_5317511270156278496_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uCdjIKXqlJUAX-HIhdB&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCzIgPSIx5syAyq7jrMWUze5N7WqKD2I4lA3QHxatD7Ew&oe=65E95306&_nc_sid=8b3546,True
234714607,christopherandersonphoto,C3ivBGINwqW,False,"Happy President’s Day y’all 
Thanks for the photo @skappleton 
@barackobama White House 2016",20,2184,1708375030,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/428438110_1389948915227154_4368492283714530456_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=w_mgITj4MT8AX8o_lhF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDxnORiEjWQIf1vemKPOMHdPr_LFahnvizQuZt_VfkQiA&oe=65E9858C&_nc_sid=8b3546,False
234714607,christopherandersonphoto,C3gN_aHNBSi,False,"Archive rummaging 
Ukraine 2003",4,1252,1708290606,,https://instagram.fgyn2-1.fna.fbcdn.net/v/t51.2885-15/428716580_1751766528655154_4202332959001711516_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgyn2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GJj67lhgD50AX-Q31id&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAAn2n6TWdkNZyotUdDPkJvtIbc6F-DBkp7NpGeK_GlVQ&oe=65E96A51&_nc_sid=8b3546,False
