owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
521479580,vogueindia,Cj9zvWvLzZp,False,"“In the rest of the world, so many different forms of celebrity do exist. Let's just say things are changing. We are the pioneers of the new era and making way for a different kind of celebrity or role models here. And I think we're here to stay,” says #Vogue India’s #October digital cover star Diipa Büller-Khosla (@diipakhosla). Read the full interview at the link in bio. 

Photographer: Bikramjit Bose (@thebadlydrawnboy)
Head of Editorial Content: Megha Kapoor (@meghakapoor)
Stylist: Rupangi Grover (@rupangigrover)
Video: Kris Black (@krisblackk)
Art Direction: Aishwaryashree (@aishwaryashree)
Words by: Shriya Zamindar (@shriyazamindar)
Hair & Makeup Artist: Mitesh Rajani (@miteshrajani)
Bookings Editor: Savio Gerhart (@gerhartsavio)
Entertainment director: Megha Mehta (@magzmehta)
Blazer @rajeshpratapsinghworks. Shirt @massimodutti. Trousers @burberry. Necklace, rings; all @cartier",241,66716,1666333803,,https://instagram.fsvq2-1.fna.fbcdn.net/v/t51.2885-15/312063540_220050370349187_7962590473484699505_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsvq2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3l-VwJSGT_YAX-KkEsY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBpWaDUyMvkkxs-5tUzBJRvV0lszIOKTraRNE3fz-FXjA&oe=65E51879&_nc_sid=8b3546,True
282004016,diipakhosla,C3NDlOHOH7e,True,"Grateful & honoured for the invitation to join the the 33rd Women in Business conference of THE Harvard Business School!!! @hbswomen @harvardhbs 

As any Indian girl my parents would have loved for me to attend Harvard, but life turned out differently…

Little did I know my baby @indewild would take me to speak at Harvard Business School to 900+ students of the MBA class.🥹♥️",564,140617,1707648182,,https://instagram.fsvq2-2.fna.fbcdn.net/v/t51.2885-15/426175198_731955398911756_7541649282543470939_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=IZXSTmxZpCIAX9kS3hF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBLicorOdXImQL5he90Gyaa1ovmm_EaxEd6-5O4z9TyeA&oe=65E51DE7&_nc_sid=8b3546,False
282004016,diipakhosla,Cg1tI67sIXb,False,"It comes full circle with @vogueindia. 🤎

The first Vogue cover was back in 2021 when @indewild was born (along with my Dua) and we launched in US, UK & Canada. Then for our India launch @vogueindia was again first to break the news with their exclusive story. 🇮🇳🙏🏽

Thank you to the Vogue team for your endless support to the creative Indian & Global Desi community. 

Special s/o to @meghakapoor @mjadhwani & @kamathakanksha for the love & @ridburman for the photography 🤎🥰",118,79872,1659619456,,https://instagram.fsvq2-1.fna.fbcdn.net/v/t51.2885-15/297311051_3266714516908185_2616258535977901186_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsvq2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=z126xn538YYAX9bkXnn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAfcHmXnDGUWosEEGHMPGr49PhoRaQVcsj9b-69f8Yvmg&oe=65E7AB84&_nc_sid=8b3546,True
282004016,diipakhosla,C4BUmjUvPxT,True,"2 wild days in San Francisco with @sephora!🫶🏽

Thank you so much @theclift for being our home away from home through this whole journey, we couldn’t have asked for a better stay! From the food to the amenities to the convenient location, Oleg & I loved staying here🥰

@theroyalsonesta @sonestahotels #StaySonesta",11,1130,1709401467,,https://instagram.fsvq2-2.fna.fbcdn.net/v/t51.2885-15/431156131_323483540706829_243520562715311222_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=znRBttaJGX8AX_uo8ON&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBRETP51il6lhVZfiV7RvbPsbo4GA0wujkcx92Qbf0_Ow&oe=65E544AF&_nc_sid=8b3546,False
282004016,diipakhosla,C35rOIwPO4C,False,A mumbai minute with @louisvuitton and the new side trunk 🫶🏽,66,18272,1709144792,,https://instagram.fsvq2-2.fna.fbcdn.net/v/t39.30808-6/428703893_18418382353020017_8874724738832292204_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=ghImRe3fbBkAX9G5W1z&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAHGJgM76ck0FO1MSlwjKzuIXDROIhx785ZljC5o8kQNQ&oe=65E8F0B8&_nc_sid=8b3546,True
282004016,diipakhosla,C3sLZ_LvMKI,True,"30 minutes to go to the epic opening of the @wplt20 😍🤌🏽
I can’t wait to see the @delhicapitals own the ground 🏏 #YehHaiNayiDilli 

Which team are your supporting? 🙌🏽
#SheGotGame #WPLSquad #TATAWPL",22,16301,1708691987,,https://instagram.fsvq2-1.fna.fbcdn.net/v/t51.2885-15/429270725_153810274493733_6136522068225237406_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsvq2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=DF_hUy4PsXwAX8VBKF_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBi9QMmixFCAbrXVEW0bl9EJWFxl05cjuYkFVuoXBNRuw&oe=65E524C5&_nc_sid=8b3546,False
282004016,diipakhosla,C3r6dg6MUNu,True,"Foolishly, crazily addicted to @indewild’s dewy lip treatment 💕

Finally, we are BACK IN STOCK in india! For all the peeps dm’ing me about it, go crazy now before it sells out again 🤫🇮🇳",67,22221,1708683071,,https://instagram.fsvq2-2.fna.fbcdn.net/v/t51.2885-15/429495792_1817679461987440_5643914371552176177_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uyYo85Oko-sAX-IBlTO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBo02rXWya283kxQgqjGRlUHWXZws4qlPi1Jx5jHaa-CQ&oe=65E59389&_nc_sid=8b3546,False
282004016,diipakhosla,C3qDErxMSaD,False,"Its all in the details 🕊️

Congratulations @maisonvalentino on the first Mumbai store in Jio Plaza World🖤",116,45940,1708620426,,https://instagram.fsvq2-2.fna.fbcdn.net/v/t39.30808-6/428672573_18417350839020017_2026537870392495928_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8R7pobqoTOwAX--b1P8&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfA70Ypj2NxdDaiBFsPtLBk7LhGXqZt9SD9806ojkgDEKw&oe=65E7CA3D&_nc_sid=8b3546,True
282004016,diipakhosla,C3pELkBPQIF,False,"48 hours in Abu Dhabi with @cartier 🌹
Are you team dress red or dress black&white

Red look:
Wearing @hamdaalfahim @anayah_jewellery @aminamuaddiofficial 
Styled by @tanghavri 
Hair by @aamirnaveedhair 
Makeup by @iamgigiiiii 

Black & white look:
Wearing @elisabettafranchi @anayah_jewellery @daccori_ 
Styled by @tanghavri",117,58691,1708587452,"{'id': '710236268', 'has_public_page': True, 'name': 'Louvre, Abu Dhabi', 'slug': 'louvre-abu-dhabi'}",https://instagram.fsvq2-2.fna.fbcdn.net/v/t39.30808-6/428691020_18417283036020017_418341334271730007_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=QBDS_x-NbwgAX__ZnR0&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAYFt-aCWCwvs1dMDkqTX_d8BKdUOGb9jYVj3Vli0j-4g&oe=65E7C4D5&_nc_sid=8b3546,True
282004016,diipakhosla,C3kr4WTPaVC,True,"Wearing iconic red for @cartier’s grand opening of the exhibition “Islamic design & modern inspiration” in Abu Dhabi 🥰♥️

Hair by @aamirnaveedhair 
Make-up by @iamgigiiiii 
Styled by @tanghavri wearing @hamdaalfahim @anayah_jewellery @aminamuaddiofficial",112,22889,1708440876,"{'id': '213897585', 'has_public_page': True, 'name': 'Abu Dhabi, United Arab Emirates', 'slug': 'abu-dhabi-united-arab-emirates'}",https://instagram.fsvq2-2.fna.fbcdn.net/v/t51.2885-15/428981386_1113617056432358_7150168049327177004_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fsvq2-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fxii3UNCbGsAX9tLJNp&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDN6aKB7-JLuvBctvkdiu9WghgyomQcyKTUR26agmJacA&oe=65E53561&_nc_sid=8b3546,False
