owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
22609132,doctor.mike,C30nfxqpYfP,True,Watch before you consider a “MedSpa” visit @thecheckuppodcast @beatriz.amma Thank you for sharing your story 🙏🏼👏🏼,524,35534,1708975383,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429915747_701186495540707_8182155958341077056_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=GZpusYJNQBYAX_S-SGR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDkyYi_IOGRrb50VjrIoeafDeK_jUeWKO09ZiyfRVp-ow&oe=65E527AA&_nc_sid=8b3546,False
22609132,doctor.mike,C3xqZKZrje2,True,One heartless doctor 💔 Nurses are angels 🙏🏼 @thecheckuppodcast @beatriz.amma,406,25744,1708876122,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429908320_778792797428524_5846523285425764891_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-azzHWHVeXQAX8yvUDA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAbNTV_pRRXTJ_BNcq7ltfL0bpkjbTLXkYqPTvj2JibCw&oe=65E58739&_nc_sid=8b3546,False
57932761775,unplanned__podcast,C3xmNxUx4P3,True,Episode 55 with Dr.Mike is live! Available on all platforms! #unplannedpodcast,87,15758,1708873825,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429577586_385561527552144_7404887030713808466_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=dS8-Yd6IbKcAX-VB05R&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC3EW0T_GfGBwPA-nu3dgAwK47s6LA4wg9VPegwFK6CFQ&oe=65E586D6&_nc_sid=8b3546,False
22609132,doctor.mike,C3sslvQLcDQ,True,Nervous about donating blood? I’ve got great news for you. A new study shows a mixed reality experience developed by @abbottglobal and @bcabloodcenters helps ease stress about blood donation. Make an appointment today: bethe1donor.com #abbottad #mixedreality #bethe1donor #givebloodgetback,279,11821,1708709805,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429508083_773408200879521_1374563274846811640_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=WUKC9ouCgjEAX9yn3ge&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfABzksyRFeWYfZIHiC123Q29DPgk-wUfOYFonj9T560Ow&oe=65E53695&_nc_sid=8b3546,False
57932761775,unplanned__podcast,C3qCIs5Re3P,True,Episode 55 with Dr.Mike is live! Available on all platforms! #unplannedpodcast,1276,73240,1708620033,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/428109815_415668724257615_8336243914093137900_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=eRju9_pSRX4AX-mz9Wu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAk9iTPYxdMD-hru_FrEbTTeZneThHmfbFirV10RlsWbA&oe=65E5A217&_nc_sid=8b3546,False
22609132,doctor.mike,C3p535lL7FU,True,"Online blackmail or “Sextortion” is becoming huge problem for kids online 🚩The FBI sent their top agent to discuss it, as well as tips on how to stay safe online…this is a must watch 🙏🏼 #fbi #parenting",264,13135,1708616009,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429314152_377036431631025_5786773173024489919_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=o-_RMNvvd5UAX-snxVO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCYUZDKPO8wlKrKE_UP5AaJ1WoZLvdhjOp7HEoeaYyeGw&oe=65E51E51&_nc_sid=8b3546,False
22609132,doctor.mike,C3k11BpLGIA,False,"With hard work, childhood dreams can come true 🙏🏼🥲 Feeling beyond blessed to be able to share this moment with my father—  Not long ago we were immigrants on welfare behind dealership windows saying “maybe one day” ❤️ I hope @thebearpup likes it 🐻 #ferrari @wideworldferrari @lease_doctor",2344,188686,1708445710,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428604135_18421998787017133_7996171085258551711_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=l6-R5_D0LUsAX8sWyCD&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAbLIbhcb7t3mNcVuuEpHfj7bK3QE7-HdCbQh1Z_UJDSw&oe=65E92A53&_nc_sid=8b3546,True
22609132,doctor.mike,C3P9LIpL3PU,True,This is how most health podcasts go these days 🍟😜 @biolayne,1089,37592,1707745037,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/426392517_1077280150162156_7841564601658063059_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PPI4eEQj1xwAX8GCJX3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDlFWrwKsrfzd0ZtHfNJ7S3mYnz0xP5FqTnoNsfqN_5FQ&oe=65E55F5D&_nc_sid=8b3546,False
22609132,doctor.mike,C22mju8Lz-c,False,"It’s officially ❤️ month and I was blessed to support the @american_heart association on its mission to bring more awareness to prevention, CPR education, and patients battling heart disease! 

From ringing the @nyse opening bell to teaching a live world-wide CPR course to supporting the wear red for women event, I can say this has been a week for the books! #nationoflifesavers #heartmonth #aha",731,102455,1706894200,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/425365439_18418772545017133_2199512647002446167_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=PIRhGV-QJugAX_0dzx7&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAiux-2SOIVkj6buCqEPKPeUFVg5z8QpM7n5ftRuCqOrw&oe=65E9927E&_nc_sid=8b3546,True
22609132,doctor.mike,C20UyDxpU_G,True,The brutal & sad reality many patients face! Even my angel of a nurse who’s given nearly 50 years to healthcare ☹️,350,22502,1706817997,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/424596067_733977052027222_74115233107202109_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=IlYxndjasG8AX8VVrbO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBYhkYck5hzTlQ5t1D0AJx7jGtMfKdVzN_chYr4ZQZQWA&oe=65E5190A&_nc_sid=8b3546,False
