owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
289386673,eatfamous,CqlgAZJppks,True,"Are you looking for some of the best BBQ on the planet? Then you need to take a trip to Houston, Texas. Now Houston has deep BBQ roots and is even noted as the birthplace of brisket, so you already know there are going to be a bunch of BBQ spots claiming to wear the crown at every turn. So to help you navigate your trip to H-Town here were some of my favourites spots, and menu items. Huge shoutout to the @visit_houston team for helping me explore this food lover’s heaven on earth. And thanks to @thecuriouscreature for taking on this task with me and keeping up at every tray lol.
Also thanks to all of the BBQ spots who welcomed us with open arms and sent me home with a full belly! 

Did I miss any spots? What’s your favourite BBQ spot in Houston? 
1) @truth_bbq 
2) @killensbbq 
3) @bloodbrosbbq 
4) @gatlinsbarbecue 
5) @thepitroom",2754,117931,1680551272,"{'id': '212962809', 'has_public_page': True, 'name': 'Houston, Texas', 'slug': 'houston-texas'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/339321577_3489750781347932_6614630066933745715_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yAuvG9y04ugAX_nFB8h&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC7EXveJb4j9MjpaKjOLkweY7YSC9Ksf32_M6EdQvJa4Q&oe=65E51921&_nc_sid=8b3546,False
289386673,eatfamous,CidEfqXJLT9,True,"To this day the “Big Slice” from @lamannabakery is a till one of the most extreme, eye-popping and straight up unbelievable things I’ve ever eaten in my life. But the best part was, it isn’t just massive, it’s actually really good Pizza. For those wondering, yes I finished it (with a little help 😏) #LamannaBakery #GiantPizza #BigSlice #TorontoPizza #EatFamous",2718,106876,1663088273,"{'id': '236429879', 'has_public_page': True, 'name': ""Lamanna's Bakery"", 'slug': 'lamannas-bakery'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/306837607_609715394066643_6516301679626483669_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8A7RTd9zEXYAX_cf7bV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBG5lD8BPXEhmk6koiJh3JuSMDOdLASKl-Qz3UiUmOPuw&oe=65E534F2&_nc_sid=8b3546,False
289386673,eatfamous,CeQ1qObjClt,True,"When you save your Henny Sauced Wings for last and jump over to the Oxtail sitting on Smokey Mac & Cheese. Yeah I did that! 😏
.
.
⭐️🍽 Food from @daendzrestaurant 
.
.
#eatfamous #cheesepull #macandcheese #oxtail #wings #Jamaicancomfortfood #jamaicanfood #comfortfood #hennythingispossible #torontofood",741,86908,1654087815,"{'id': '212991559', 'has_public_page': True, 'name': 'Toronto, Ontario', 'slug': 'toronto-ontario'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/285094864_563670431942976_1119641816098928205_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=WCR3-LQRGZkAX_1BEFZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAbIHfa6tDG1vkmUVYTW9xjdJ64NHzwTv_ymCIsLQPamQ&oe=65E5A150&_nc_sid=8b3546,False
289386673,eatfamous,C3-ge79rCaf,True,"Question, do you pour syrup on your Chicken & Waffles? Or just on your Waffles?

This past January I finally got to attend The Opulent Brunch by @authentiquedelights . Let me tell y’all I wish I had a Time Machine so I go back and hit up all the previous ones I missed. This may be the best brunch experience in Toronto. Chef Bri is full of incredible energy and immense culinary skill. 

These Chicken & Waffles were perfect. Tender, crispy and flavourful Chicken, paired with perfectly made Waffles and a sweet and spicy Habanero Syrup. 

Stay tuned for more delicious content from this incredible Brunch, cuz I have more to share. 

#EatFamous #ChickenAndWaffles #TheOpulentBrunch #ChefBri #EatingInToronto",19,115,1709307794,"{'id': '112376785263033', 'has_public_page': True, 'name': 'Gully Indian Contemporary Cocktail Bar', 'slug': 'gully-indian-contemporary-cocktail-bar'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430910080_24762121796769237_847875913328006446_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZMUwLMIW6-kAX8ZyMgI&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC8A7r7ERfRInC1bQYpf0DxU-7vLLX_94Rs_dxnNoddjg&oe=65E55B2E&_nc_sid=8b3546,False
289386673,eatfamous,C372xzvuxmD,True,"Why did I make that face? Because, it’s a Leap Year, which means, you have one more day to try The Crudy from @rudyresto .

2 Patties, Cheese, Fried Onions, Pickles & Rudy Sauce. 

#EatFamous #TorontoFood #BurgersTO #DoubleCheeseBurger #RudyResto",45,1577,1709218455,"{'id': '113278917197194', 'has_public_page': True, 'name': 'Rudy', 'slug': 'rudy'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430678782_388262723946965_6329720585926661923_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=1HKPiDQjfFYAX9uQBwW&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAREdCih0byNBMUsynnyBZN-BoYU70CWao97UlIaq7Dkw&oe=65E50546&_nc_sid=8b3546,False
289386673,eatfamous,C3VPEwrOj5y,False,"Red Wine, Oysters, Honey, Whipped Cream, Strawberries, Peaches? What food is going to make this a Valentine’s Day one to remember? Let’s have some fun 🍑❤️

#eatfamousquestionoftheday #eatfamous #foodforthought #valentinesday",62,150,1707922075,"{'id': '212991559', 'has_public_page': True, 'name': 'Toronto, Ontario', 'slug': 'toronto-ontario'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/427986819_18409030171042674_299087472206775272_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Kz-B6TctCI4AX_jber5&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAcs5Nlqx4miW8AUCfujydDqOBBprawnOQe584WSjxO9A&oe=65E8E5D6&_nc_sid=8b3546,False
289386673,eatfamous,C3I42e9JwzK,True,"Which Chef put together the more delicious looking Super Bowl Wings Inspired Spread? Team Drums led by Chef @monwahbs or Team Flats led by Chef @howardseivright ?

We all know that no event celebrates the spirit of competition like the Super Bowl. And we all know that food is a major part of that event. 

But did you know that there is a an even fiercer competition that has been going on between food lovers even before the first Super Bowl was played?

This battle is the battle for wing supremacy. Drums or Flats. The debate over which is the better bite is more intense than any football fans love for their favorite team and their despising of their rivals. 

So I got some @pintysfoods wings and two of my favourite chefs to battle it out by making the most appetizing Super Bowl spreads possible. 

We had a drafts, wing related trivia, and a lot of food and a lot of fun. Check it out!!!

#EatFamous #PintysFoods #DrunsorFlats #SuperBowlFood #NFLCanada 

🎥 @degreyphoto",34,141,1707508444,"{'id': '212991559', 'has_public_page': True, 'name': 'Toronto, Ontario', 'slug': 'toronto-ontario'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/426720472_978768510533050_5475691894446534411_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=bH8rw7OFhGoAX80AIh_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCSU9EmK8Jfd5pJy5OFJo3BeoozJVHLKwRY2OzPhSLLXw&oe=65E58C25&_nc_sid=8b3546,False
60000249142,thegoodstuffctv,C3GWTDTOVDt,True,"@misslikklemores is Toronto’s first haute Caribbean-influenced experience. ✨ @eatfamous and @mary_berg3 share their delicious and unique lobster chow mein. 🦞

#MissLikklemores #TorontoRestaurants
#eatfamous",54,516,1707422616,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/425947208_274340152168507_2769873900533611367_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=-Mrmh46m1F4AX9iEXGn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA0Epy5Eu_m_gbqviFMxm8llfcgdFA6LL_1QzyTNb_eqg&oe=65E51861&_nc_sid=8b3546,False
289386673,eatfamous,C2_DwWcJY2f,False,"What restaurant are you taking ALF & ET to? Or would you hook up a home cooked meal? What are they going to eat? I’d give them a blue cheese and rotten eggs sandwich so they run back to their spaceships 🚀 

#EatFamous #EatFamousQuestionOfTheDay #AlienInvasion #FoodForThought",189,222,1707177943,"{'id': '303256176170', 'has_public_page': True, 'name': 'Earth', 'slug': 'earth'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/425696634_18407534788042674_4403715741324227238_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=1CxvZK4amI0AX-mIvCh&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfA5j1297hjgBnfuervj8WuF0jVLxroqDDzAo6XTD2TXdg&oe=65E7C0A4&_nc_sid=8b3546,False
289386673,eatfamous,C23SLQgJORS,True,"This may be the BEST Macaroni & Cheese in Toronto…

@porkyzmacpie may not just be the best Mac & Cheese in Toronto. It may be the best Mac I’ve ever had. 

@porkyzmacpie is changing the game. With a delicious selection of recipes including Jerk Chicken and their new Oxtail Philly. Cheesy, and packed with flavour. Mac & Cheese will no longer be seen as a “side” thanks to Porkyz

To celebrate Black History Month they will be offering up-to 20% off on orders. And they’ve also announced they will be available in Peel Region every Tuesday. 

#EatFamous #CheeseLovers #macandcheese #oxtailmacandcheese",42,457,1706917902,"{'id': '212991559', 'has_public_page': True, 'name': 'Toronto, Ontario', 'slug': 'toronto-ontario'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/424716004_1036962827406418_2175680057649737417_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0qfXj61ggkYAX_XkiNZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA9bDwzcQVrMnIge3qKZ_loEa5iaIrzITuVJglOyD9C0A&oe=65E59D4C&_nc_sid=8b3546,False
