owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
29437099,faafirds,C1jlx53RPhp,True,365 opportunities to create memories🕊️,0,303,1704108945,"{'id': '31503043', 'has_public_page': True, 'name': 'Kuala Lumpur, Malaysia', 'slug': 'kuala-lumpur-malaysia'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/415998743_1098270488016603_3818810407219371829_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=6G-A58YIckoAX_UT-i3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDbOF5FCUy6Y670nP7_LppxDA2Mx6c2o_UWlPz_RKAONA&oe=65E52D61&_nc_sid=8b3546,False
29437099,faafirds,C0GwDhYxPWj,True,"Parenting is a juggle, we get it. But when it comes to sunscreen, let’s make it a non-negotiable 🐯💚 

@roarwithcubs’s CUBS SPF 30+ mineral sunscreen is here for easy, daily protection. 

Shop the bundle set via website, Shopee or @thebabyloft.official 

#RoarWithCubs #CubsMalaysia",25,1457,1700994453,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/404000251_997492357985922_8216968061282724574_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=dQA55WBEWfgAX_Rg9km&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBAkUuBVJbzLYNmr8TG6jN6jZ2D53US3dAislhVNWsbrQ&oe=65E56675&_nc_sid=8b3546,False
29437099,faafirds,CkId4tBSd10,False,"I had this written down in notes, but decided to make it into an infographic instead, because I’m extra and this looks cuter 😙 

Disclaimer once again: I am not a doctor or professional, I am a momma sharing what worked for for my little foodie daughter. Of course there are other ways to avoid picky eaters, but this was what worked for Eva!

Please check with your pediatrician if this is safe for your baby too, and remember at the end of the day if you’ve tried your best and baby still wants to eat what they want to eat then it’s OK at least you’ve tried you’re very best. A fed baby is the best kinda baby 🥰 

YOU GOT THIS MOM!!!",25,1351,1666691444,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/312457610_1171837840067834_6139151425487389279_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=iYm050U8_Z0AX9tPMVQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBoi1mE-qB6egOyTqkvXptGQsDqjM43-V4CCmbvZMA62Q&oe=65E8A548&_nc_sid=8b3546,True
29437099,faafirds,C3wmVBoREdm,True,"one of this year’s resolutions is to wear more colours 🧞‍♂️🩵

𝚞𝚜𝚎 𝚍𝚒𝚜𝚌𝚘𝚞𝚗𝚝 𝚌𝚘𝚍𝚎 𝙵𝙰𝙰𝙵𝙸𝚁𝙳𝚂𝟷𝟻 - 𝟷𝟻% 𝚘𝚏𝚏 @theduckgroup #dUCkscarves #FFgetdUCked 

lippie is petal nude by @clarinsmalaysia & @saoi.my poppy flats.",19,960,1708841048,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429639485_1847089879057436_9157849162750865323_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=0LRMwKoEJ_MAX86nXce&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDLZ9EGJpJlAuFPq9zbIcFEYJprl9V5zAxy4TuUNG7sLA&oe=65E5AE0D&_nc_sid=8b3546,False
29437099,faafirds,C3ud93sRY5s,False,feb favs so far xx,0,243,1708768744,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429650611_413361104595461_6991360166803582952_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=fv7DG8iVz1kAX9ZcW1f&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDDwPSjS9JxIWAVT9PHc3Jl4UHpVDsNhyuOVYzb7IDWhA&oe=65E95A61&_nc_sid=8b3546,True
29437099,faafirds,C3hGhTtx_8_,True,"If you have to pack your bag like this, you know it was a good trip 🧳😂 @moomhealth #ilovemygut",6,476,1708320427,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428297176_1616356055847810_4957667433666128898_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=8Hc0FzqiwucAX-STpFV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAPQps6u8Pzj6KYluF5mCaAybjJ6qpHyr2lGceOsqhMjw&oe=65E51D87&_nc_sid=8b3546,False
29437099,faafirds,C3fLnjmRViI,False,Of all the good things @moomhealth brought together 💟 #ilovemyguts,0,174,1708255807,"{'id': '105565836144069', 'has_public_page': True, 'name': 'Singapore', 'slug': 'singapore'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428420039_759529165762077_7822625997286390150_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=q168E_BHPj0AX-fk8bR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCCVJE0KJJniz_1foopR_5cGg8h06B7PqhO9a3Q14DD4A&oe=65E958C3&_nc_sid=8b3546,True
29437099,faafirds,C3czTtcRzRt,False,"A wellness getaway organised by @moomhealth, where I made new friends, had my first cold plunges, savoured gut-friendly meals and even dabbled in pasta-making 🍝👩‍🍳 

Throughout the trip, I learned the importance of gut health, mastered supplement routine and picked up many lifestyle tips. Grateful for the opportunity and eager to continue my wellness journey with moom. 

Thank you for the amazing experience @mayzkale @milzkale @srhazm 👾✳️ and to a healthier year! 

#ilovemyguts",7,526,1708175953,"{'id': '105565836144069', 'has_public_page': True, 'name': 'Singapore', 'slug': 'singapore'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427946905_1489864868239411_3930622543343986432_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=T8_MxAeBRqwAX8hgHpO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBBereXEIclOEQhIoXaVYRoVE53fIXhnYSkRQzzIMkGYA&oe=65E8EBA9&_nc_sid=8b3546,True
29437099,faafirds,C3ZSx8rRuOr,True,"Obsessed with the flawless finish of @skintific.my cushion foundation! It’s my secret weapon for a radiant, airbrushed look🌟

#Skintific #SkintificMY",18,887,1708058274,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427539483_708525634768951_1905593179049635714_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Wj-L2dzNYPoAX_bQXDD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAJYL4aCsjGnu-MurW9PxpL2X3Z4Yntqt26XQzQqinYyw&oe=65E5BB92&_nc_sid=8b3546,False
928184,erin.adlina,C3QD0PSvZuM,True,"Not sure why @vivyyusof was speechless at the end of the video.. 🤷🏻‍♀️

@theduckgroup 
😂

#erinxduck #theduckgroup",263,11637,1707748580,"{'id': '332358513865127', 'has_public_page': True, 'name': 'KLCC - Kuala Lumpur , Malaysia', 'slug': 'klcc-kuala-lumpur-malaysia'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426171481_767932395195470_4670572487185276023_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-JmR-a2yl-gAX99cmm8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDjHbulxSD3LS3R0kcvlGu_sqJY02-SVz_TIoFYZFWQiw&oe=65E5ADF5&_nc_sid=8b3546,False
