owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
461426973,franslanting,C3WSaO8vVhj,False,"Photo by @FransLanting On February 15, we celebrate the 150th birthday of the great Antarctic explorer, Sir Ernest Shackleton. He died on remote South Georgia Island and that is where I photographed his grave where sailors visit to pay their respect to the man known as “The Boss.” Shackleton’s Endurance expedition is one of the great exploration epics of all time and it continues to inspire people, including me. The Boss will be commemorated on February 15 with a special ceremony in Westminster Abbey and the announcement of a new Endurance mission. Follow us @FransLanting and @ChristineEckstrom for more stories from Antarctica. 

#Endurance #Shackleton #Antarctica #Exploration #Inspiration",35,3207,1707957378,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/427314913_926272932342224_8936845279823724382_n.jpg?stp=cp6_dst-jpg_e15_fr&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=WxQdItK9YWQAX8-i-xM&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCm_LmYc1ayj3WBTpFVMYtvcWwwWSSojilhcxbD3ibt7w&oe=65E7F0E8&_nc_sid=8b3546,False
461426973,franslanting,C3T5CMDOw5C,False,"Photo by @FransLanting World Bonobo Day overlaps with Valentine’s Day on February 14. It’s a great day to express your love for the ones dearest to you. But I hope you will also recognize our closest relatives on the great tree of life. You’re looking at a female bonobo playing with an infant by balancing it on her feet—a game any human parent can relate to. Bonobos engage in social interactions that we have long associated as exclusively human: They play, and express empathy. Compared with chimps, bonobo brains appear to be more developed in areas vital to emotions, such as feeling empathy and sensing distress in others. 

I made this image at @Lolayabonobo, a remarkable sanctuary in the Democratic Republic of Congo, where individual animals confiscated from the illegal wildlife trade are given a new lease on life. Perhaps fewer than 15,000 bonobos live in the jungles of the Congo Basin, the only place where they occur in the wild. Their survival depends on our ability to apply the same kind of compassion for them that we cherish so much in ourselves. Let’s spread the love on Valentine’s Day to our next of kin and to the organizations that take care of bonobos like the ones mentioned below. Follow me @FransLanting and @ChristineEckstrom for more stories from the world of nature.

@BonobodotOrg @thephotosociety #bonobos #apes #play #baby #love #wildlife #naturelovers #nature",100,14904,1707876965,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/427421141_702292482106987_3769999979770417232_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=qlDb13OAimcAX8KqQlq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCUQss1YVMlpOx6g8Opj0Cc-ExwNrqnMw8STX2M1pNzXw&oe=65E86421&_nc_sid=8b3546,False
461426973,franslanting,C2_LxMtpNhK,False,"Photos by @FransLanting Today is Western Monarch Day. One of the most important overwintering sites for Western Monarch butterflies is just a few minutes from our Studio in Santa Cruz, California, along the coast. The butterflies there survived the extreme storm event we experienced yesterday, but whether they can weather the bigger issues they are confronted with remains a question.

The first image in this post was made this winter. It shows a small cluster of Monarchs in the same place where I made the second image in 1986. You can see the dramatic decline in the overwintering populations. The Western Monarch population has decreased more than 98% from the 1980s due to pesticide use in their summer areas, habitat loss, climate change, and other threats. Yet insects can bounce back quickly when conditions improve and people can help make that happen.

FYI, Western Monarchs spend their summers farther inland and go all the way to the Rocky Mountains. The Eastern Monarch population is much larger and overwinters in Mexico. The @NatGeo story about Monarchs published January 2024 photographed by my friend and colleague, @JaimeRojo, gives a great overview of what Monarchs are faced with. Check the organizations named below to learn more about how you can support Monarchs. And follow us @FransLanting and @ChristineEckstrom for more stories from the frontlines of our changing planet.

@xercessociety @monarchbutterflyfund @Thephotosociety #Monarch #endangeredspecies #Butterfly #SantaCruz #MontereyBay #California",39,5193,1707182145,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/425391206_351789911012205_5379230456759881822_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6ZYEgRdamM8AX-_ZidZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDEo72FjXRfYSX3oD-9Am7e7EAebX4BmLDwjXrEXY-tWg&oe=65E893E2&_nc_sid=8b3546,True
461426973,franslanting,C2lYnCxJopv,False,"Photo by @FransLanting When chinstrap penguins display, they raise themselves to show off their black chinstraps while flapping their flippers and screaming at the top of their lungs. Sometimes this triggers a raucous response from other birds nearby. I was impressed by this male who had found a rocky perch that elevated him above his neighbors. Not sure if he succeeded in attracting any females, but he certainly looked like a performer. 

Things are different for visitors to Antarctica this year because of an outbreak of bird flu which has potentially disastrous consequences for penguins, other birds, and marine mammals. Visitor rules have been tightened up to prevent the spread of this highly contagious disease. Check my stories to see how I adapted my gear to operate within the new guidelines. And follow us @FransLanting and @ChristineEckstrom for more stories about our changing planet.

#Antarctica #ChinstrapPenguin #Penguin #Bird #Naturelovers #birdflu",16,2576,1706316462,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/422650940_1398679334073543_7389908251035573833_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=G0T9-IFHxswAX8BvzWR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAmix-dYLs6T58o1Ow8AtwO_kcis0IstQX0-0QclYhf0g&oe=65E9562D&_nc_sid=8b3546,False
461426973,franslanting,C1ICXQ1PQmo,False,"Photo by @FransLanting We send our warmest wishes for the holidays to you and those dear to you, no matter where you are, which language you speak, or how you celebrate. We pray for peace in the year to come. 

Happy Holidays, Merry Christmas, Happy Hanukkah, تعطیلات شاد, Prettige Feestdagen, اجازة سعيدة, Feliz Navidad, 節日快樂, Selamat Hari Raya, 幸せな休日, Furaha Likizo, छुट्टियां आनंददायक हों, Mirary Fety Sambatra, 행복 휴일.

Follow us @FransLanting and @ChristineEckstrom as we explore the world for stories of hope. 

@thephotosociety #Holiday #Peace #Earth #Planet #LivingPlanet #Gratitude #Hope #light",28,1888,1703184236,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/412434656_836343078245454_6749091966099184846_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=K1hRJ0CmY-wAX9oWIzq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA-F0kquMpusrVsSeoUR82MAO-zKf8vjcd9fvndgYIptw&oe=65E9773E&_nc_sid=8b3546,False
461426973,franslanting,Cz9ziJ1PfDe,False,"Photo by @HIPAae Frans was honored recently by the Crown Prince of Dubai, His Highness Sheikh Hamdan bin Mohammed bin Rashid Al Maktoum, with a special Photography Appreciation Award that recognizes Frans Lanting's life's work. During a ceremony held at Dubai's Opera House, Lanting and the Crown Prince were joined onstage by His Excellency Ali Khalifa bin Thalith, the Secretary General of HIPA, an influential international photo competition that celebrates the art of photography.

“Receiving HIPA’s Appreciation Award is an honor I accept with gratitude,” said Lanting. ""I use my work to express wonder about the natural world and concern about the perils it faces. This award validates my belief that photography is a global language which can connect people everywhere.”

#photography #appreciation #award #HIPA_Diversity #HIPAae",36,820,1700693433,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/404295498_1054919262367715_7140889080302671354_n.jpg?stp=cp6_dst-jpg_e15_fr&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=d4pKfVCYZ1YAX824hJW&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDbNYIf63oqwG_QTwmq2dftcv_zixqBtvyiM2O8tlHIMQ&oe=65E91ED4&_nc_sid=8b3546,False
461426973,franslanting,Cxt18wtBnQe,True,"Photography has the potential to inspire change and The Nature Conservancy’s 2023 Photo Contest gives you the power to inspire others to protect and restore nature.

I invite you to submit your most captivating images and help amplify the message that nature is the priority.

The deadline for submissions is September 29. We will post an announcement about the winners at the end of October. Go to the link in my bio to learn more.

@nature_org @moheim @javier_aznar_photography @alexsnyderphoto @colesprouse #Photography #Nature #photocontest #naturephotography #conservation",11,1554,1695863209,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/382933184_347538177701642_2347492412672553832_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=3jCdJJ2HCoEAX8OX9AF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDNWX4y5Ncz0lnjv5iUTvpT2qjdIqkWTuC2F0g8mb6rzQ&oe=65E52E43&_nc_sid=8b3546,False
3226279,nature_org,Cxgn-8Yu-bq,False,"We’re happy to share that the incredible Frans Lanting will be on the @nature_org 2023 Global Photo Contest judging panel. Hailed as one of the great nature photographers of our time, Lanting’s influential work appears in numerous publications and exhibitions around the world. For more than three decades he has documented wildlife from the Amazon to Antarctica to promote understanding about the Earth and its natural history through images that convey a passion for nature and a sense of wonder and concern about our living planet.

Lanting has received honors and acclaim for his work. H.R.H. Prince Bernhard inducted him as a Knight in the Royal Order of the Golden Ark, the Netherlands’ highest conservation honor. He has received top honors from World Press Photo, the title of BBC Wildlife Photographer of the Year, and the Sierra Club’s Ansel Adams Award. He has been inducted as a Fellow of the Royal Photographic Society in London and is a recipient of Sweden’s Lennart Nilsson Award. Lanting acts as an Ambassador for the World Wildlife Fund Netherlands and sits on the National Council of the World Wildlife Fund USA, as well as on the Leadership Council of Conservation International, and on the International Board of WildAid. He is also a Trustee of the Foundation Board of the University of California Santa Cruz. He is a co-founder of the North American Nature Photographers Association and a Fellow of the International League of Conservation Photographers

Lanting’s mission is to use photography to help create leverage for conservation efforts ranging from local initiatives to global campaigns, through his publications, alliances, public appearances, and active support of environmental organizations. Along with his wife and partner Christine Eckstrom, Lanting recently launched Bay of Life: From Wind to Whales. This project explores and educates on the importance of California’s Monterey Bay ecosystem, which The Nature Conservancy identified as the “hottest hot spot for biodiversity in North America.”

Time is running out. Help give voice to nature and enter your best images by September 29th. Follow the link in our bio for more details.",12,2494,1695419332,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/380821686_1016093946198018_2711532284927050288_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=Wcg0w7gXwcMAX_WpZJ9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA1wkIgGK-4rijA9VdBki2h1qFrw_lxX-ujz5OF9MPB6Q&oe=65E9589C&_nc_sid=8b3546,True
461426973,franslanting,CxWj17-vmxh,False,"Photo by @FransLanting Our friend Morad Tahbaz flew to freedom earlier today with four other American citizens after the Biden administration negotiated their release from prison in Iran. Morad is a cheetah conservationist with whom I had the pleasure to work while I documented Asia’s last cheetahs, which survive only in Iran. Morad, along with his colleagues from the Persian Wildlife Heritage Foundation, had been wrongly accused of using their camera traps to spy on military activities in Iran. 

We are grateful for Morad’s release, and thank everyone who played a role in this. But we also want to draw attention to the plight of his colleagues who remain in jail. Niloufar Bayani, Sepideh Kashani, Amirhossein Khaleghi, Taher Ghadirian, Sam Radjabi, and Houman Jowkar deserve to be freed as well to pave the way for new international cooperation efforts that will benefit big cats and people alike. 

Please spread the word and follow us @FransLanting and @ChristineEckstrom for more stories from the frontlines of conservation. 

#anyhopefornature #FreeIranianConservationists #NiloufarBayani #SamRadjabi #MoradTahbaz #HoumanJowkar #SepidehKashani #AmirHosseinKhaleghi #TaherGhadirian",91,7706,1695081616,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/379225245_1497277701075180_7873090832323022266_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=4I2mMrCSimkAX8seaDm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBRAp6M_4DNUZT7GgpMNjhQdLdocpLOdH_J7KrI2VFPXg&oe=65E808A2&_nc_sid=8b3546,True
461426973,franslanting,CxMDgphvy9p,False,"Photo by Bill Corbett // I am pleased to be a judge for the 2023 Nature Conservancy Photo Contest. This is one of the most prestigious international competitions for nature photography. 

I invite you to send your best images after reviewing the results of last year’s contest, and studying this year’s guidelines. 

The deadline for submissions is September 29. We will post an announcement about the winners at the end of October. Go to the link in my bio to learn more. 

@nature_org @moheim @javier_aznar_photography @alexsnyderphoto @colesprouse #Photography #Nature #photocontest #naturephotography",23,3616,1694729120,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/378726494_1043261256708373_355819682648594782_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=EQ8rWczQYy8AX_B13B8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDO2c2AfS42vW8Sygn614qyo3wBdV1Hzh-q-Do21ins1Q&oe=65E921B1&_nc_sid=8b3546,False
