owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
28855145,gianmarcovalenza,C35QfzrtBNC,False,Quel giorno in cui mi sono dimenticato come si allacciavano le scarpe.,16,349,1709130781,,https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/430744765_18416625121055146_7710571475950248694_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=9FO0FZOfbKcAX8co4xS&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCg12TLnHZwWVvfdYRkGd2tZuD5Ka5DNjEg1ct44nA27A&oe=65E82744&_nc_sid=8b3546,False
28855145,gianmarcovalenza,C3m_4Sct97W,False,So che ve lo stavate chiedendo: guardavo Inter-Atletico Madrid.,12,511,1708518088,,https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/428608632_18415410334055146_8982079357727833561_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=ivALbRgrLaUAX8m7XV_&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCCY7AmMAlBnoiQ9XFX1ySSiqFMvnY5MOl2HhWxpyvD4g&oe=65E90A31&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C3NUrBFtgbE,False,"Questo Sanremo è stato un’altalena di emozioni, anzi due.

Potrei star qui ad elencare miliardi di parole per descrivere quali componenti servano per far funzionare le cose ma a noi basta guardarci in faccia e vederci sempre sorridenti.

Vi voglio bene è stato un onore vivere con voi il mio primo Sanremo🤍💐",26,2393,1707656575,"{'id': '429171', 'has_public_page': True, 'name': 'Sanremo', 'slug': 'sanremo'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/427971654_18413672416055146_1549436618321032893_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=2_tdYaDzu40AX_ZuUxM&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfC6b93DQXXoCElKDetav0M6qLufju1jZP-Gz7mU7MdYeQ&oe=65E8E61D&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C3BAJIZtzpf,False,Sanremo giorno indefinito: in tre su due altalene non ci stavamo.,8,319,1707243158,"{'id': '252795967', 'has_public_page': True, 'name': 'Miramare the Palace Resort Sanremo', 'slug': 'miramare-the-palace-resort-sanremo'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/425906271_18412836838055146_4458485767557526028_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=F2Q3wv1LU9wAX_3BCID&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBWy4MAJnOB8X3f7J8xeU6aKrOZVaZKRANfybD4q0W5Ew&oe=65E82DD0&_nc_sid=8b3546,False
28855145,gianmarcovalenza,C29-17DtQco,False,"È iniziata la settimana santa.

#Sanremo2024",12,378,1707141813,"{'id': '429171', 'has_public_page': True, 'name': 'Sanremo', 'slug': 'sanremo'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/426001974_18412633828055146_5809849635022559942_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=dhj_Z7bsS8sAX95m2oX&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCRDmos16z5ubtMYT6onKbpfgT06NkbQmikpfjfOdRC3w&oe=65E84626&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C2zsBx0sdEV,False,"Non ho mai niente da mangiare in frigo.

La pasta avanzata da 3 giorni:",14,405,1706796404,,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/424478587_239337485884727_3377837903837349214_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=3BLKJjmONL0AX8q2Xvk&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAoBmayTGG9t0wl8t30NHx_FaLyFy3gbCEq5QHj6BBpYA&oe=65E8FD8A&_nc_sid=8b3546,False
28855145,gianmarcovalenza,C15AedQNIz5,False,Buoni propositi per il 2024: sopravvivere.,6,434,1704827414,,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/417796828_3578009849082781_7805133751707650953_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=eCRdbP2u1xYAX_U0XcY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBJop_lBXQLSELJT5U-nBpcJHOGA6lX5Oo5tUNpzxmZ1w&oe=65E9AB60&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C1FOdx9t2bk,False,Ehi google cerca centro trapianti vicino Sanremo.,7,406,1703089918,,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/412456481_389526730092125_6147127445804026384_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=msukc2cIHu0AX_CHi_d&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBJZB-6LGyAiRhrEOAd7TayXkWiSqEAgxmB9Pi5G-s45A&oe=65E7D8C5&_nc_sid=8b3546,False
28855145,gianmarcovalenza,C1Anq9bNH9E,False,"La nostra serata in famiglia✨
🎩10th Anniversary + Christmas night🎄",25,1466,1702935361,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/411975325_383131384279714_6491394340134792515_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=j1eBrIbhJKkAX_Fzk2H&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB6hzhb22emCaxZhHAF3unALCIOUVjoLyatjmNxNgMROg&oe=65E9B3B8&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C02KnWmthCt,False,@inter xmas night🖤💙,6,624,1702584582,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/411186384_18402851578055146_8007059167204516550_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=EXJxeGkJZecAX9rQIrh&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCxuExQjUtH7ZVZpk0280m7_50qgGb03Yr5bcSegA16Yg&oe=65E90FCF&_nc_sid=8b3546,True
28855145,gianmarcovalenza,C0obi2otnlp,False,"Prove generali, neve, polenta e malvedere. ❄️☃️",10,547,1702123696,"{'id': '714497172', 'has_public_page': True, 'name': 'Brunate, Lago Di Como', 'slug': 'brunate-lago-di-como'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/409039293_18401852143055146_7289849149509116477_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=phBvb9G_no0AX_SJI1R&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfA5UZNzlyOP1eCZT_a7mvTBmPg93XXiGHAgh_l9qEmJMA&oe=65E91551&_nc_sid=8b3546,True
28855145,gianmarcovalenza,Cz1x5-0No5d,False,"Cosa ci spinge ad andare sempre oltre? La voglia di veder realizzati i loro sogni. 🩵

Grazie a tutte le persone che ci hanno permesso di vivere serate come queste, è solo l’inizio.",35,555,1700424144,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://scontent-mia3-2.cdninstagram.com/v/t39.30808-6/404410420_18398129860055146_2814373294629686929_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=lmbQt6QNgj8AX8eAtqP&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDz5TK_7jOk2PuzL87jDggqFKuH0NRfQ-nh89Fn6D0v1g&oe=65E893DE&_nc_sid=8b3546,True
