username,followers,following
3ala2o,1128444,386
433,71807503,3258
6senseofficial,195052,1
7ikhals,180210,244
_foodstories_,1014054,423
_hollyt,197158,2005
_ingo_1,142788,523
_mariannejacobsen_,153897,594
_picolo,3613379,1254
_tinamaria,204034,1004
_tuck4,319125,283
a.sharif92,5700801,358
aaronsanimals,639053,344
achievetheimpossible,905962,13
adenorah,1683,0
adesignersmind,1450232,612
adriancmurray,186333,186
afnan_albatel,8507588,2
afofa,320640,1545
aguynamedpatrick,427431,2583
aialahernando,130500,753
akusepp,232773,263
aleksmusika,143458,1093
alenaakhmadullina,605305,605
alessandro_carpentiero,252644,290
alessioalbi,767486,1716
alexandrabring,525618,338
alexandreagarza,474021,470
alexcentomo,927038,894
alexhonnold,2669069,81
alexiarayee,0,1
alexisren,17971326,474
alexmidler,426244,1009
alexstrohl,2002522,683
alice_gao,875291,924
aliona_hilt,1149686,563
alissaviolet,12833014,623
alldaytravel,96211,202
amandabisk,637315,825
amandacerny,22489144,751
amiraa88,241048,1438
amivitale,1316764,4174
ammish,0,1
amymarie,1163707,486
amytoensing,134262,810
ana_lombardini,194130,1143
anadeliafitness,416836,7508
anddicted,181,188
andicsinger,803334,1379
andreabadendyck,122973,825
andreadenver3,2266,239
andreamelchiorre1,1037285,1273
andreleonardooficial,153365,2092
andy_mann,529319,2198
andyheart,124003,437
angela_mazzanti,720479,2753
angelicablick,1045318,1994
anilarjandas,1117678,186
anllela_sagra,24055233,111
annanystrom,8204111,286
anniksas,13,20
annlestyle,136168,186
annybakhireva,670449,161
antonlofer,928703,789
applebums,912,1
arc.only,1337823,3
archilovers,1259402,2409
archixxi,265285,62
argonautphoto,787661,1798
arielealasko,372392,267
arikasato,407,3
arni_coraldo,280131,1974
arqsketch,34888,2
art_spotlight,1515868,297
artofdrawingg,693205,7
artofvisuals,1941840,959
ashybines,1001795,404
audi_obsession,877317,67
audiosoup,701714,898
aureta,781672,516
avaallan,332803,800
averagerob,743805,2063
awesome.pix,1197555,21
awesomedreamplaces,961512,19
badasscassfit_,1113407,186
baloublue,202973,368
barcelonacitizen,214601,1568394
beachyogagirl,1251467,524
beckermanblog,0,0
bejamin,462548,788
belenhostalet,796517,1881
benakribo,464461,2827
benlowy,210720,2866
berlinstagram,508128,1046
bestofmenstyle,1574079,12
bestofstreetstyled,797796,13
bestwoof,385584,87
bethanyhamilton,2400247,2176
bethsusu,121675,3253
bettyautier,1433533,605
beverlyjoubert,396576,578
bibbideg,556149,898
bigchunkymonkey,168371,394
bjcalvillo,1684623,547
blackjaguarwhitetiger,7904346,362
blaireadiebee,1961120,1080
blakescott_,175,85
blanca_suarez,4702422,719
blogilates,2647610,815
blvckd0pe,1357191,557
bobbimac,162025,666
borgeousmusic,400961,1000
bossbabe.inc,3495150,184
boxingguru,282250,1110
brettcap,166268,1068
brianskerry,925889,807
brigadeirochoc,25,1
brightonkeller,32,0
