owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
492356095,amivitale,C3-7LUhPmGR,False,"Contest announcement! I am thrilled to offer a once-in-a-lifetime opportunity for a female-identifying photographer to travel to Antarctica with me and @vital.impacts on a twenty-two day @PolarLatitudes expedition to the Falkland Islands/Malvinas, South Georgia and Antarctica. Or if you are interested in securing a spot now, you can also take advantage of a 10% Early Bird pricing special from @polarlatitudes.
 
The trip departs November 1st, 2024. Apply now by clicking on the contest link in my profile. All you need to do is share one photo and post a video or send an essay about how you will use the experience to create a positive impact. (Deadline: March 28)

These locations are home to some of the most unique and abundant wildlife on Earth. With beaches covered in fur seals, elephant seals, and hundreds of thousands of penguins, it’s one of the most jaw-dropping nature scenes you will ever experience. You will be fully integrated into the work of Vital Impacts and learn about how we use art to support grassroots conservation. I can’t wait to see you on the other side of the world! 

#antarctica #workshops #penquins #photography #WildlifePhotpgraphy @nikonusa #NikonAmbassador",150,5632,1709320929,"{'id': '271332497', 'has_public_page': True, 'name': 'Antartica', 'slug': 'antartica'}",https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/428672396_18431249842004096_640728086528741618_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IZFhrtA-HUsAX9ZxdWI&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfClHyl93Qm8rOKAIb6EnnlpppW0Enu9m8WG-fhoLzQoxA&oe=65EAA68A&_nc_sid=8b3546,True
492356095,amivitale,C38TUiGPbBv,True,"Friends in Tucson, AZ, I’m counting down the days until I’m there! I’ll be speaking at Fox Theater (@foxtucson) on March 5th as part of the @vital.impacts Student Speaker Series produced in collaboration with @changemakertalent!

Through powerful imagery and stories, this show will bring the natural wonders of our world to the stage, explore our connection with the earth, and help students imagine a future career that will benefit the planet. Students and educators can register at foxtucson.com (link in bio!)

Follow @vital.impacts and @changemakertalent to stay up-to-date on events and learn how you can bring the series to your community. 

#speaker #environment #storytelling #stem #conservation #tucson #nikonambassador",34,2379,1709232950,"{'id': '1442238', 'has_public_page': True, 'name': 'Fox Tucson Theatre', 'slug': 'fox-tucson-theatre'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/430312479_3362525130711787_6195133878605213537_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=2OmijTVtEn0AX8sCaMe&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfANtKa31lb96CtZF0DTxdWxiUVhC7PWme7tvmgFg5Isqw&oe=65E713D8&_nc_sid=8b3546,False
492356095,amivitale,C35l8KXxUXF,True,"Kenya is establishing a vital breeding population of 21 EASTERN BLACK RHINOS rhinos at @Loisaba_Conservancy in Laikipia, Kenya, where they have been absent for the past half-century. Moving a black rhino, an animal weighing over a ton, is a Herculean challenge fraught with danger at every turn. It begins with the risky task of sedating the massive creature, a procedure that requires precision and caution to ensure both the rhino’s safety and that of the vets and handlers. Once subdued, the real test begins as the sedated rhino must be carefully revived and maneuvered into a sturdy crate, a task made all the more daunting by the animal’s immense size and strength. Every step of this delicate operation underscores the inherent risks involved. Watch the sheer force of these creatures and imagine doing it over 21 times over the course of 2 weeks. The teams from @kenyawildlifeservice executed the operation with unparalleled expertise and dedication. In an ideal world, we wouldn’t have to go through these extreme measures but with approximately 80% of the world’s remaining eastern black rhinos under its protection, Kenya’s efforts offer a glimmer of hope for the future of these magnificent creatures.

I want to sincerely thank all the people you see here and their partners and encourage you to follow @nature_africa @nature_org @loisaba_conservancy @kenyawildlifeservice @olpejeta @sandiegozoo @spaceforgiants @earthrangertech @elewanacollection @lewaconservancy @dr_mathew_mutinda_ @nikonusa 

Video by @amivitale

#Loisaba #LoisabaConservancy #LandConnectedLifeProtected #BlackRhinos #nikonambassador #RhinoConservation #ConservationSuccess #EndangeredSpecies #Wildlife #RhinoRecovery #Rhinos #conservation",29,1712,1709142039,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/430123089_1774141183083228_3840721699595825300_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=h46uVtWBuFkAX8GPqOW&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCTDG8oXmVGpsDO07_aQj3DDpytjVfNQ9LkwfVMX0AI1A&oe=65E742C9&_nc_sid=8b3546,False
492356095,amivitale,C31LyUfP1Wh,False,"Kenya is reclaiming its role as a haven for eastern black rhinos, establishing a vital breeding population of 21 rhinos at @Loisaba_Conservancy in Laikipia, Kenya, where they have been absent for the past half-century. @kenyawildlifeservice worked for over two weeks moving the animals.  In Ewaso, a nearby community, members even offered to sell their goats to fund the relocation of these majestic creatures. This story epitomizes the collaborative efforts of government, communities, and conservation organizations in safeguarding endangered species, offering a glimpse into a future where wildlife thrives alongside humanity. I want to thank all the people who made this possible and encourage you to follow @nature_org  @nature_africa  @loisaba_conservancy @kenyawildlifeservice  @olpejeta  @sandiegozoo  @spaceforgiants  @earthrangertech @elewanacollection and @dr_mathew_mutinda_  @nikonusa among many others! 

Photos by @amivitale #RhinoConservation #CommunityEngagement #kenyawildlife #nikonambassador",39,3455,1708994093,,https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/428704735_18423130303004096_5709286250152369519_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=sr99DAhyRocAX9sIJPK&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBIYj8weHeV_HbBeheivLoHorimpFiPcA_X4z1AVIUhxg&oe=65EAEA98&_nc_sid=8b3546,True
492356095,amivitale,C3oCZBvScYL,True,"Kenya is reclaiming its role as a haven for eastern black rhinos, establishing a vital breeding population of 21 rhinos at @Loisaba_Conservancy in Laikipia, Kenya, where they have been absent for the past half-century. But moving a black rhino, an animal weighing over a ton, is a Herculean challenge fraught with danger at every turn. It begins with the risky task of sedating the massive creature, a procedure that requires precision and caution to ensure both the rhino’s safety and that of the vets and handlers. Once subdued, the real test begins as the sedated rhino must be carefully revived and maneuvered into a sturdy crate, a task made all the more daunting by the animal’s immense size and strength. Every step of this delicate operation underscores the inherent risks involved. Watch the sheer force this rhino unleashes as he awakens and imagine doing this 20 more times over the course of 2 weeks. The teams from @kenyawildlifeservice executed the operation with unparalleled expertise and dedication.  In an ideal world, we wouldn’t have to go through these extreme measures but with approximately 80% of the world’s remaining eastern black rhinos under its protection, Kenya’s efforts offer a glimmer of hope for the future of these magnificent creatures.

I want to sincerely thank all the people you see here and their partners and encourage you to follow @nature_africa @nature_org @loisaba_conservancy @kenyawildlifeservice  @olpejeta @sandiegozoo @spaceforgiants  @earthrangertech @elewanacollection @lewaconservancy @dr_mathew_mutinda_ 

Video by @amivitale

#Loisaba #LoisabaConservancy #LandConnectedLifeProtected #BlackRhinos #RhinoConservation #ConservationSuccess #EndangeredSpecies #Wildlife #RhinoRecovery #Rhinos #conservation",91,3890,1708554384,"{'id': '930319925', 'has_public_page': True, 'name': 'Loisaba Conservancy', 'slug': 'loisaba-conservancy'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/428902119_731378675727743_8898769571551212498_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2mSpEifmcCkAX9Wbwhr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCPvHIixpLFiJ37oStYw4LoSluBtKWeV7aay-i6icIbfQ&oe=65E74A41&_nc_sid=8b3546,False
492356095,amivitale,C3k7iDzxV_Q,False,"Friends in Tucson, AZ,  I’m thrilled to be speaking at Fox Theater (@foxtucson), on March 5th as part of the @vital.impacts @changemakertalent Student Speaker Series!

Through powerful imagery and stories, this show will bring the natural wonders of our world to the stage and help students imagine a future career that will benefit the planet. Interested students (including home-schooled students) and educators can register at foxtucson.com (link in bio!)

In this photo, Fupi, an endangered reticulated giraffe whose name means “Shorty” in Swahili gives me a kiss at @sararacamp in Kenya. Fupi was returned back to the wild and is thriving today.

Follow @vital.impacts and @changemakertalent to stay up-to-date on events and visit the link in bio to learn how you can bring the series to your community and follow @sararafoundation to learn more about their rehabilitation work! #education #speaker #environment #storytelling #stem #conservation",79,3339,1708448700,,https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/428637255_18422012956004096_4029861723185286847_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=4Wg9Qb_O4mkAX_gxAhh&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBnpXJ_EGRogA4xhwcO4wV9cYLAP2gZznm1Eos8eVOiWQ&oe=65EA2C98&_nc_sid=8b3546,False
492356095,amivitale,C3Q5LIOxNPH,False,"I am humbled to share another remarkable conservation story from Kenya: the resurgence of eastern black rhinos from the brink of extinction. In a pivotal moment, Kenya is reclaiming its role as a haven for these creatures, establishing a vital breeding population at @Loisaba_Conservancy in Laikipia, Kenya, where they have been absent for the past half-century mainly due to poaching and long ago,  trophy hunting. This first image shows the moment a rhino was resuscitated after it stopped breathing and quickly released. The arduous tasks of tracking, darting, and relocating 21 of these critically endangered giants, each weighing over a ton, posed formidable challenges, yet the teams from @kenyawildlifeservice executed the operation with unparalleled expertise and dedication. Their efforts offer a glimmer of hope for the future of these magnificent creatures. The final image shows the skull of the last rhino poached in the 1970s resting beneath a celestial canopy, symbolizing this hopeful shift as Kenya now stands  as a nation that is expanding habitat and bolstering rhino populations. With approximately 80% of the world's remaining eastern black rhinos under its protection, Kenya is safeguarding endangered populations for future generations. 

I want to sincerely thank all the partners and encourage you to follow @nature_africa @nature_org @loisaba_conservancy  @kenyawildlifeservice  @olpejeta @sandiegozoo @spaceforgiants  @elewanacollection @lewaconservancy 

Photos by @amivitale 

#Loisaba #LoisabaConservancy #LandConnectedLifeProtected #BlackRhinos #RhinoConservation #ConservationSuccess #EndangeredSpecies #Wildlife #RhinoRecovery #Rhinos #conservation",216,9632,1707776375,"{'id': '930319925', 'has_public_page': True, 'name': 'Loisaba Conservancy', 'slug': 'loisaba-conservancy'}",https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/426375772_18420607372004096_8526501306299919863_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=iF8Zv8_bqF8AX-D4TIX&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBjJWp5V0dqIHxCFmo_eJKgy5rdlK3gtfi1z8lQKB2YHQ&oe=65E97D5F&_nc_sid=8b3546,True
492356095,amivitale,C20aCXXS60P,True,"An international team of scientists and conservationists achieved a groundbreaking milestone in their mission to save northern white rhinos from extinction. They successfully conducted an in vitro embryo transplant in a southern white rhino, resulting in a pregnancy—a crucial proof of concept. However, the joy was short-lived as unforeseen tragedy struck due to heavy rainfall and flooding, unearthing Clostridia bacteria spores and leading to a devastating infection that claimed both the mother, Curra, and the 70 day old fetus.

Despite this profound loss, the team remains determined, having worked tirelessly for years to create 30 embryos with Avantea lab. Follow along on the extraordinary journey of these incredible people and follow @biorescue_project, @safariparkdvurkralove, @leibnizizw, @olpejeta, #avantea, and @kenyawildlifeservice as we share more news. 

Video by @amivitale #rhinos #conservation #extinction #scicomm #stem #Kenya",81,3570,1706820775,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/424566749_3275959039370702_1120834868357642030_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=_kMtqzLSAsUAX8wJLQL&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBK1AKMB62FO4g2uNoYblsFIOgywpI7cHiLa1BoG68FoA&oe=65E750C0&_nc_sid=8b3546,False
44442892522,vital.impacts,C2xezEURsCF,True,"Today is the last day of Vital Impacts Annual Print Sale (link in bio)! Sale ends tonight, Jan 31st.

We are profoundly honored to be able to offer the limited edition photographs of @jimnaughten, @nickbrandtphotography, @aletheiacasey, @bethmoonphotography, @orsolyahaarberg, @morgannamagee, @shawnheinrichs, @xavibou, @tamaradean, @nicholashughes1, @mitchdobrowner, @timflachphotography, @bastiaanwoudt, @paulhartartist. Their works are diverse but the photographers behind them are united in their shared commitment to the environment. We hope you’ll take one last chance to peruse this powerful collection before it disappears.

Sales of these photographs support the life-changing, community oriented conservation at Reteti Elephant Sanctuary (@r.e.s.c.u.e). We are so grateful to everyone who has contributed and to @CansonInfinity @paperandinkstudio @theprintspace #FineArtPhotography #ConservationArt #WildlifeRescue #Elephants",4,640,1706722395,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/423770583_378567678099767_3490824797463417012_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=YjeCAA9vfjQAX-QZtN6&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD3UmAlvm3rqrGDljL3uMG1gzecdA07RhIICGd8OaK5Fg&oe=65E7530F&_nc_sid=8b3546,False
492356095,amivitale,C2k3j-NRgX6,False,"This awe-inspiring creature was a 70-day-old rhinoceros fetus, an embodiment of perfection in its miniature form. While a typical southern white rhino can tip the scales between 3,080 and 7,920 pounds and 11-15 feet, this little one only reached a delicate 6.4 inches. His life was cut short when his surrogate mother, Curra, a southern white rhino, succumbed to an unforeseen tragedy triggered by heavy rainfall and flooding that unearthed Clostridia bacteria spores, leading to a swift and devastating infection.

The news of Curra's demise struck the team with profound grief. These dedicated individuals have been tirelessly working for years to rescue the northern white rhinos from the brink of extinction. Their journey brought them to Kenya, where they were on the verge of confirming the success of creating the world's first rhino pregnancy through embryo transfer at the Ol Pejeta Conservancy. In a bittersweet twist of fate, the entire team received word of the successful pregnancy by implantation of an embryo using in vitro fertilization (IVF). However, this moment of joy was tinged with the somber acknowledgment of the journey's cost. The next pivotal step is to transfer northern white rhino embryos into a surrogate mother.

I'll be sharing more of this extraordinary story in the coming weeks.  Stay connected with the @biorescue_project, @safariparkdvurkralove, @leibnizizw, @olpejeta, #avantea, and @kenyawildlifeservice for more insights into this pivotal moment for northern white rhinos.

#rhino #northernwhiterhinos #wildlife #conservation #kenya @nikonusa #nikonambassador #nikonnofilter #nikonpro",207,14201,1706299135,,https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/422278228_18417486715004096_1940740988769049606_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=dSILPXXOpPsAX8xGqow&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDJfLT6V00ISzBiu3jfOg45e4sDpaWSp5msEj7xPI2rhw&oe=65EA61F4&_nc_sid=8b3546,True
