owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
20270656,archilovers,CxXrNJwKrI5,True,"🔺@pac_nyc opens today on the #worldtradecenter Site
The cube-shaped building is wrapped nearly 5000 half-inch thick marble tiles laminated into insulated glass units
.
👉🏻The new performing arts center in Lower Manhattan is a dynamic home for the arts, serving audiences and creators through flexible venues enabling the facility to embrace wide-ranging artistic programs. The inaugural year will feature commissions, world premieres, co-productions, and collaborative work across theater, dance, music, opera, film, and more. 

💡The vision for PAC NYC first began 20 years ago when Mike Bloomberg, as Mayor of New York City, included a performing arts center as the cultural keystone in the master plan to rebuild the World Trade Center site following 9/11.
.
🔗 Click the link in bio and discover more
.
👉 https://shorturl.at/sxLRS",43,8119,1695119379,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/380085431_332888545765739_1770105243995041461_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yOnvivhFD8IAX9A6iuS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAAQhsrOjbqTblMRYODfzwchxcLdDMG54aiSzbUdq4lcA&oe=65E721C3&_nc_sid=8b3546,False
20270656,archilovers,C1B6nE2r-pc,True,"📣 Thrilled to reveal the 1,000 projects crowned as #BestArchilovers2023 ✨

Selected from thousands of projects published in 2023, the best ones stand out for their aesthetic value, as well as for their popularity on @archilovers. See them all!

👉 https://archlov.com/BestArchilovers2023",30,599,1702978850,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/412321304_334505766011234_1699646565743753825_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=pCCtp7tbs98AX97q0ki&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCwfLf1oJvQa80A_FlnRxsxj50w_37v3x8KVOE-59gTOQ&oe=65E6C71D&_nc_sid=8b3546,False
20270656,archilovers,C4BCN07viNJ,False,"Shanghai Transaction Succeed Office | Design Epoch 

Discover more 👉 https://archlov.com/3wuQ7TS",6,588,1709391729,"{'id': '106324046073002', 'has_public_page': True, 'name': 'Shanghai, China', 'slug': 'shanghai-china'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429821527_793459892816182_6240430852069672521_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=etwQSQSzCwIAX9pLLxk&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDR41k-aBty51eNpoGxkYeQcnrZvs4xhRa14s6UTcLzfw&oe=65E9CA0E&_nc_sid=8b3546,False
20270656,archilovers,C3-dSuAqkRJ,False,"Immersed in tropical foliage, overlooking the Mexican Pacific Coast, @nicosayulita is a unique design-led hospitality experience created by developer @hybridarc and architecture studio @palmamx. The design balances openness and seclusion, flexibility and privacy.

📸 @luisdiazdiaz

🔗 Click the link in bio and discover more

👉 https://archlov.com/NicoSayulita",8,1522,1709305261,"{'id': '149419084772', 'has_public_page': True, 'name': 'Sayulita', 'slug': 'sayulita'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/430081148_793379999490838_5412091786168239893_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=oM4r-xaZ86wAX_mIOLL&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAXt-DfIzQ2Y0IqcWLGvXkF8EnxOwzN-B5V_10rThcVBQ&oe=65E9B210&_nc_sid=8b3546,True
20270656,archilovers,C35XuucLevQ,False,"Bold Tribeca Apartment | @crina_architecture

How to make a color infused apartment for a sophisticated, design obsessed, almost color blind client? 

This was the mission Crina Arghirescu Rogard had to fulfill as she embarked on reimagining the architecture and decoration of a Tribeca three bedroom apartment located on the 21st floor of a new glass clad building. 

🔗 Click the link in bio to discover more 👉 https://archlov.com/bold-tribeca-apartment",4,552,1709134573,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429926426_791720006323504_4871497200494599566_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=WsjsFeECngMAX86JlHt&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCwf4VZI3KHcB0x67PjeGCMkIWoHBluh31-kpOGgT14DA&oe=65EADC96&_nc_sid=8b3546,True
20270656,archilovers,C32u06zNbAB,False,"@snohetta’s Beijing City Library has opened doors for visitors as the world's largest climatized reading space 📚

The new library is located in Tongzhou District, a designated sub-center of Beijing that is often considered the eastern gateway of the capital. As one of three new major cultural buildings in Tongzhou, the Beijing City Library further establishes the area as both a vibrant district in itself and an extension of Beijing's urban fabric. It anchors the neighborhood's ambitious masterplan and will help to catalyze its transformation from a relatively undeveloped area into a lively arts and cultural destination.

🔗 Click the link in bio and read more

https://archlov.com/BeijingCityLibrary",15,1372,1709046019,"{'id': '563004890412619', 'has_public_page': True, 'name': 'Pechino', 'slug': 'pechino'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429922772_791189299709908_2211840797314249007_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=IihsZq4GyicAX_y70FD&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDdN_uOCYq_-InXYLeNSSKwACY64AQabtymHZu9ZONmsw&oe=65E9BD9D&_nc_sid=8b3546,True
20270656,archilovers,C30KFOKqsYG,False,"We’ve rounded up five examples that represent a challenge for architects and designers:

1 Pied-à-mer Apartment at Sea by @mkcarchitecture
2 Chuquet by @apara.__
3 Living in a Box by @ora_architetti
4 Capitães de Abril Apartment by @estudioamatam
5 LOFT by @johanvanstaeyen

🔗 Click the link in bio to discover them all

https://archlov.com/small-apartments

#TinyApartments #Archilovers",9,1143,1708959645,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429658033_791054686390036_6064056037097285847_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ggespJV_emUAX_PdSEL&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfD8wA-8brF5t5euZXaTv2ee9XW9gv98EeFSDmp_UXEuGQ&oe=65E997C7&_nc_sid=8b3546,True
20270656,archilovers,C3zg1a6JP0V,False,"In this single-family home designed by architect Marco Ortalli, the material brushstroke of concrete plays the leading role of the project. The interior space is carefully calibrated, designed to synchronize with the rhythm of the family’s daily routines. 

Enlightened by warmth and spaciousness, this living area invites all who enter to sit and relax. The Perry #sofa designed by Antonio Citterio for #Flexform is the ideal vantage point for full immersion in the perfectly framed views. Or, enjoy the ever-changing light-play of time and season from the soft contours of the Feel Good armchair.

Follow @flexformspa to discover more

#Perry #sectional #design #AntonioCitterio #madeinitaly #indoor #interiordesign #designlover",9,632,1708938020,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/428332242_787127140116124_9057354717983641097_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=93b7OXwwA0gAX8s-sFh&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBxegBFa4GA1elLQPYNgkmtTQhpriQWcDnDOqhCs_X_Lw&oe=65EAED5D&_nc_sid=8b3546,True
20270656,archilovers,C3sl4FNNe5B,False,"Cuarto Bocel | @gonzalo_delval 

📸 José Hevia 

🔗 Click the link in bio and discover more

https://archlov.com/CuartoBocel",24,4212,1708705782,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/428623653_789508653211306_4559750065355646607_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=O_Y0YccLmXkAX-S9F9I&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAIDHxVgnb3n4FsUFOSYkyJUjv0ri1KTs7Nw2tN1sr8zg&oe=65EAA82C&_nc_sid=8b3546,True
20270656,archilovers,C3p24huBpda,False,"SV House | @spaceworks ®

📸 @fernandogguerra 

In spaceworkers®' block-shaped concrete house, openings go beyond the mere need for ventilation and natural lighting.

🔗 Click the link in bio to discover more 👉 https://archlov.com/49EepZU",9,1393,1708614035,"{'id': '228701947', 'has_public_page': True, 'name': 'Sobrado, Porto, Portugal', 'slug': 'sobrado-porto-portugal'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/428614694_788861133276058_4033492226260742927_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uulQMJEdOZoAX9qP2kx&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDZIxzCA1bchb2mWTzTBdQxIE_2TGAeuWXMr4d3QBMZKw&oe=65E9A02E&_nc_sid=8b3546,True
