owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
6924184,blaireadiebee,C39SLhMgBXP,False,"RED-Y for spring with @saks ❤️ new post today with all my favorite red, spring picks #Saks #SaksPartner",53,4503,1709265881,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/430404173_1543168259584269_1228895320166391611_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=wwttk8U1_6wAX-Wle7C&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA97TAVLV33UTR7_rCfGcQ4Ze6w6z3FXQk0qI9oPViipA&oe=65EA7CBC&_nc_sid=8b3546,True
6924184,blaireadiebee,C335ZRcAy0L,False,<this year marks 14 years of Atlantic-Pacific // I often get asked ‘how to find your personal style’ and while I don’t have all the answers I wrote a more personal post on the site about my journey. Click the link in bio to read ❤️>,418,38272,1709085114,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/430139461_272227029240856_8989727682363019238_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=YfehbtA57xkAX8DXOUf&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBqzQQiMdhtAQk38e0_j7Awox8Bst0fE7MbnpOXSUBwPw&oe=65EA7524&_nc_sid=8b3546,True
6924184,blaireadiebee,C3tcO_WRu71,False,<a new outfit & 30 under $200 fashion finds on the site today with @nordstrom ❤️> #nordstrom #ad,106,7129,1708734281,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/409004859_915205250009742_6322581859998852819_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=8m9KG3LGaNgAX_JdaPx&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCv7CZTNdduWtPBgW9SKS-7LSLrs7kdMGKNu9U-h3i5tQ&oe=65EA5437&_nc_sid=8b3546,True
6924184,blaireadiebee,C3bHuMVRP4u,True,"Thrilled to celebrate the 65th anniversary of the iconic @lillypulitzer // Cheers to many, many more years of creating sunshine! #LillyPulitzer #LillyPulitzerPartner",61,2375,1708119592,"{'id': '2292015', 'has_public_page': True, 'name': 'The Gasparilla Inn & Club', 'slug': 'the-gasparilla-inn-club'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/427975931_775976300703698_7410683373603879277_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=4mTwMnj3r3MAX_qBZS5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD2pTxH3JV81xqcxbyPFA-RlJLzoE6KvV2fs4gg-K5zHg&oe=65E72936&_nc_sid=8b3546,False
6924184,blaireadiebee,C3YjQbORIF0,False,<she is a blue jean baby! How I am styling wide leg denim on the site today 💙>,93,12868,1708033320,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/427371093_5848790825245547_5076792172983594547_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1PNr2IfPUC4AX-agMNu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBil6YaF_5Wg8L5yMT5QQZbZa9DVkWx9vAafaIjKW7N4A&oe=65EAA6D5&_nc_sid=8b3546,True
6924184,blaireadiebee,C3T3qfZANrC,False,<a fun neutral resort round up with @nordstrom on Atlantic-Pacific today and swipe to the last slide for how windy it was 😂💨> #nordstrom #ad,62,6296,1707876247,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/426428628_1307133296646914_2168852180743417912_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=3nGof4SgiHMAX_nIrnO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCg6MAPeWtnhCdCP_EgiyrckjCb24S61K6fktKzs0lkaQ&oe=65E9EE33&_nc_sid=8b3546,True
6924184,blaireadiebee,C3OOUw3R1V_,False,L A T E L Y 🫶🏻,124,12373,1707686801,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/426327334_1045091579915811_3694094988376378214_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Jg9flHR8bC0AX8C6em9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDxT4dWMa2cdhuaQWOack04NsgiUJS3e0tsEI46EGeb6g&oe=65EADFD7&_nc_sid=8b3546,True
6924184,blaireadiebee,C2_Po0xAkq3,False,"From date night dressing, double denim styles, and casual errands my @longines Mini DolceVita is my go-to timepiece. #MiniDolceVita #EleganceisanAttitude #LonginesPartner",69,7461,1707184173,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/425318002_426478093141743_2850213398186885011_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=lV0rQZrqjOQAX9buY31&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-1fHg87HBbc8wxoAMLxTRnlevLePOGT-eAT7uqaiSsw&oe=65E9AD60&_nc_sid=8b3546,True
6924184,blaireadiebee,C2yDicFx8j0,False,COLOR STUDY vote for your favorite combo below. IG only allows 4 options 🤪,278,14586,1706741622,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/424868507_1038174530597447_315266101357607547_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=y7sNd8QZ25IAX8e7mzb&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDTfi8fVIUNMloCBHOPRqECyyW9RaGm6gSQ48NsFa5Xwg&oe=65EA8A0F&_nc_sid=8b3546,True
6924184,blaireadiebee,C2afLUxRMKs,False,L A T E L Y ❤️,157,14932,1705950806,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/420405235_1059450558704636_5564599535563477273_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=6Er_ppXdKaEAX9Veght&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfATHx3KZx32Rn4nXU-yYEnsW6I7jdUTzcuemunI2B3uJA&oe=65EAC060&_nc_sid=8b3546,True
