owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
3757346,brettcap,C18Hs61r4Ue,True,"Remember me??? Full video is on my yt channel 🙃

Going to film a Q&A next! Please drop any questions or comments you have for me below and I’ll feature them in the video 🙏🏼",150,2887,1704934044,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/418643832_285441237491358_6519913595525979562_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=HG1cUpLrrJAAX_J2YMT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDOzIJA2vNDIxh-X9NBUYrAyzdWpQL3A-QwaFSjT4vGVQ&oe=65E6E84E&_nc_sid=8b3546,False
3757346,brettcap,CuIP9S_ucFL,False,Allergic to red flags,163,4450,1688158978,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/357313437_2005544123129051_1240059694966581153_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=LZ9rBUn8YR8AX9YOlAi&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD7pSDHLWr0pY2hBAZE4F4E-WQWeGmxB-SczaRmZmjaEA&oe=65EB2404&_nc_sid=8b3546,True
3757346,brettcap,Cp52JzHOiIL,False,Halfway to 70 today 🥴 do I still got it?? 🤔😅 #35 #OldEnough,244,4386,1679085752,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/336221334_542414034672012_7130559037990737627_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=kc0Tyy8L4rYAX-OOnz5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBcBYoTL38wWcIPXjqcCSmRF9gAQILZ46naxrTstnY4lw&oe=65EAC9E6&_nc_sid=8b3546,True
3757346,brettcap,CmpvIUErSbi,False,She never need a man she what a man need,94,3506,1672102748,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/322048830_676872630648487_6086925779222185439_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=jQt1r3yWassAX-gzTLV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDZKvz1Ohw5gCRC77bvIfZU4bkVOJkB_3JtP8n_6Uk-dg&oe=65EB5537&_nc_sid=8b3546,True
3757346,brettcap,ClPlWnvDEIb,True,Get you a man that can do both?? 🤷🏻‍♂️,134,4084,1669079829,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/316455769_1207527749975941_1344299555067700973_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=9gYbfMQfG5wAX-ezY8b&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB4P7DoVA4NTk_9qUQNAi5G0jgpGvERgLzjge7CC5Jorg&oe=65E72259&_nc_sid=8b3546,False
2048458238,jusshoot,CjTZ5w9pBiC,True,Same city same friends if you’re looking for me 👀 | @brettcap,47,1359,1664910992,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/310652197_1578198385932223_5299174876428925261_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=KaJUDcHcaRgAX8ZRl_3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCROAiAdX1-stq8bXsmOms-BqAXKitsaTZ8-WPKPa5GBQ&oe=65E731E7&_nc_sid=8b3546,False
3757346,brettcap,CjTZp7qO6VF,False,Retrograde energy shifts are what I was made for,140,4138,1664910841,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/310377628_829648494729394_7432050276920029222_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=k1MHgAgdZmYAX_C0aQZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCG9QbfmeuFrZgqOy7-Hj94LaIKrGpw2UarLxPjLtcUPg&oe=65EB5669&_nc_sid=8b3546,True
3757346,brettcap,Ci-zQyGDwjc,True,3 end of summer fits with 2 dudes who look just like me 🤔 which 1 is your favorite?,115,2227,1664221018,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/308678448_177382024813744_811764003675090792_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=iWcwC-eUNfMAX-LNg74&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD_srQH3oBygPi4MY8CmDW6bxH8BHc8sBl-zSU44BX8wQ&oe=65E6FFC9&_nc_sid=8b3546,False
3757346,brettcap,CgsYqccDe5J,True,Went to a city in Nevada with my day ones,37,546,1659306784,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/296890943_821252865550932_2053679733952579039_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=MVVG02lcFe4AX92tFA9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA70VJUa6F4So1os4tuZOzkvMpo-vOLa9Nt2nOQo5IhdQ&oe=65E6D626&_nc_sid=8b3546,False
3757346,brettcap,CghwR0Lvneg,False,Which hairstyle is better? Messy or ….messy? 🫠,128,1824,1658950013,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/296037965_1737271676610223_1928107280931703898_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=6ltWDXq9C-EAX-J7fm9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBzclQw7IGBc0tOzoAX8o3jXivHfKAjwoQGaCG_yh_XOg&oe=65EA1011&_nc_sid=8b3546,True
3757346,brettcap,CbN1eoLvdV5,False,17+17 on the 17th 😮‍💨 #certifiedpiscesboy,188,2123,1647544232,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/276095025_1691738867839328_6689217095085856022_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IqOSLKpe7H0AX8dNJpX&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCcT3v0UiP3hN1fAyDt9ok0QOrodBfAmeXifLkhnO1kMA&oe=65EB0FE7&_nc_sid=8b3546,False
3757346,brettcap,CZsjWEZvAdl,False,"How’s your start to the New Year been so far? I swear every year feels like January has 47 days in it, Feb is like…a week long lol. But with the new year now behind us, I figured today would be a good time to drop in on your feeds again. (Which you know I seldom do these days) 

These days I’ve been trying to ease myself back into social media as a whole. I feel time away from these platforms is always healthy. Moderation is something that can be easily taken for granted, but it’s lowkey nourishing to our physical and mental. I know most of you are aware of that, and I know it is much easier said than done. So, be easier on yourself, be present, and keep yourself focused on whatever it is you truly desire for your future. 

For our future, I have much to update you on which I look fwd to doing in a new YouTube video soon. So much has changed in all of our lives lately and I always embrace that aspect of life — as I’m sure many of you do as well. What doesn’t challenge you for the better, doesn’t change you for the better. I truly believe that.

One thing that hasn’t changed about me, is my love affair with the gym. If you know me, you know that. I’m lucky to have some people in my life who look out for me on that front, which you can see above. 

I hope you all had a wonderful start to the new year and are ready to attack YOUR desires this year, setting the tone for the many that will follow. You owe it to yourself. 🙏🖤

Btw after typing all this out, I’ve come to the realization that I will at some point need some brotox for that face I’m making in the 3rd slide. I make this face a lot lol. Anybody know a good doc? Tag them 😂🥴",45,1103,1644279945,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/273502424_1281950375639384_9079515413261955149_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=GQjuV40ihP8AX8roNPu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDWlzhmZjYtPxbI6cWQFQSDzV7ph_Zh5FMmAARiAt7I4A&oe=65EABD6F&_nc_sid=8b3546,True
