owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
348987541,cafajestando,C4E3yQNNnGw,True,"Quando você encontra seu ex na rua e lembra das 💩 que ele fez na relação...

*Vem palpitar no H2 BET, link na bio",3,400,1709520500,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/431324344_1126860988452765_5854813628908868837_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=GJEyTOJvIRsAX80KBLZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA147B3HA5oMEsj4EinQ58eeHiYi6Ju8CYQ5QLJ5FwVHA&oe=65E6D6E3&_nc_sid=8b3546,False
348987541,cafajestando,C4E2Gzftz1c,True,"Quanto vai custar quando chegar aqui no Brasil 🇧🇷? 

*Vem palpitar no H2 BET, link na bio",13,289,1709519629,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/431477861_1094785658309529_271932969233505299_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eZppFDotBAYAX__hKwn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDG5hGgOKDqjzChTAqoLA23PRvuqcL-r-dw_MNX1Gis9Q&oe=65E75AA9&_nc_sid=8b3546,False
348987541,cafajestando,C4Epgr9tmIh,True,"Se alguém quiser me conquistar, meu coração funciona assim ó, tranquilo...

*Vem palpitar no H2 BET, link na bio",8,1705,1709513008,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/431267246_910212667309957_338084403961582044_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=dCSDIhBVyWQAX_S5yyE&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDCJU4txRGVV90Tee2nEeFAECQVG8lLN3X97qubpVPZZQ&oe=65E6D77C&_nc_sid=8b3546,False
348987541,cafajestando,C4EjHdIRACH,False,O que? 🤔,589,2572,1709509641,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/431479574_421459547207440_6466656572005004563_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=hgcwH9xbVMYAX8awoAT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAJ5hOfczo8kti2_pAi3C6tnk6bloOlCF7g9sE-Zq0YTw&oe=65EAA2B1&_nc_sid=8b3546,False
57333313693,goodclothing____,C4EZXSfuBLv,True,"💬Comenta GOOD pra receber um código de desconto exclusivo✌🏼

Quando você sai na rua usando as camisas da GOOD e todo mundo te para pra perguntar de onde são! 😂😂

FRETE GRÁTIS E 50 REAIS DE DESCONTO
Usando o cupom GOOD50, acima de 299

WELCOMEGOOD -> 10% off na 1a compra

📦 Entregas rápidas para todo o Brasil
💳 6x sem juros
💥 Frete grátis acima de 299
🔙 Primeira troca grátis!

www.goodclothing.com.br

.
.
.
.

#camisa #camisamasculina #good #modafeminina #modamasculina #estilo #roupa",42,192,1709505160,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/431120473_1581376075942146_8375605611339041704_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=6OOciJpybQAAX_ROwZQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDGEDf_OfFPXrCH0SY8cQaRC6JGnu1yFqrO4OFHgDMrhg&oe=65E6F745&_nc_sid=8b3546,False
348987541,cafajestando,C4EEAuYRuDV,True,"Achei a tubulação que vai dar certinho pra não entupir seu vaso kkkkkk

*Vem palpitar no H2 BET, link na bio",38,4947,1709493361,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/431479797_273411652515019_2681721499698586074_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=BCK2NTjokdQAX_FnFcs&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCa-E0oGSc07wg0OIw9OSgekAfxvO7s4e6nFyw_KZVa1g&oe=65E6BFD0&_nc_sid=8b3546,False
348987541,cafajestando,C4DzALGgiwJ,False,Existe? 🤔,113,1000,1709484416,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/431392913_934951968311340_3958161583865302343_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=a3z65l9yZ2EAX8VSU5f&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAv3HDvgAHJaQv3yY88wmuenq47iMqdlNyr6TztCZnasg&oe=65E9CBE9&_nc_sid=8b3546,False
348987541,cafajestando,C4CSJ1ON1aY,True,"Entendedores entenderão 👀

*Vem palpitar no H2 BET, link na bio",51,1931,1709433657,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/431298979_1102569404325919_5131277555424927161_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=YTjPYHBvmqwAX8STiaj&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDC9kUE3wu7W2xaJW2LrzL8cr02sdiCkNlwxm48bwIKgQ&oe=65E6EF52&_nc_sid=8b3546,False
348987541,cafajestando,C4CH6FCNSJ9,True,"Precisar? Não preciso! 
Mas quero comprar...

*Vem palpitar no H2 BET, link na bio",146,6798,1709428290,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/431289108_2127672264259557_6957096369794807354_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=mIPsRFhjlKAAX-tb_Ad&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAjrtmbZjf_-cUbl9zdRALrj0-b4zPkb1wJBglUoytDJA&oe=65E7287C&_nc_sid=8b3546,False
348987541,cafajestando,C4CB0ckxxI4,True,"Doce de leite ou slime? 

*Vem palpitar no H2 BET, link na bio",9,536,1709425100,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/430423354_1056151909144292_3080894726896885982_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=5Zv0hgP5UewAX9m0ICp&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBXaycDleSzsRSRAwtyY7vdx1Nyq3Fldv_BNu4aAw8U2w&oe=65E74895&_nc_sid=8b3546,False
348987541,cafajestando,C4B6xu0xjYQ,False,O que você acha? 👀,233,1915,1709421383,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/430404171_780342870808267_2118067006488003351_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=vjVvRtSSq3oAX-TTwI0&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDXhKvop5Q-oiKvYvxGAQee5oV93Ch8JFjw_T6kIEntnA&oe=65EAF292&_nc_sid=8b3546,False
348987541,cafajestando,C4BeFoaxmur,True,"Quanto você pagaria pra comer isso? 

*Vem palpitar no H2 BET, link na bio",42,227,1709406364,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/431435495_1171183127186659_5558169232813938908_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=qZDqWObb6T8AX_YujEQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAkHPXtJyLewBe8qWZwwF0f5Fbs0-DdINZc5aqlW8P3XQ&oe=65E6D401&_nc_sid=8b3546,False
