owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
178936022,chico_lachowski,C37o58YOEBW,True,Treino concluído!! Partiu Strade Bianche! 🤪🚴🏼‍♂️🇮🇹,344,30146,1709210816,"{'id': '1429814717056795', 'has_public_page': True, 'name': 'Floripa - Ilha da Magia', 'slug': 'floripa-ilha-da-magia'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/430222401_1538846023566355_3281182709054308919_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=d3PkaA8FdmUAX8WDntO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB6UV_j99tz2jPbApW3HPI3s1TmHP9SIrVK-KkfFDl4Bg&oe=65E6BEC2&_nc_sid=8b3546,False
178936022,chico_lachowski,C33yuc2Oz89,True,"@diegoamerico to the rescue!! 🤪🤪 full video of the hair cut on my TikTok soon!
Tchau tchau cabeleira de van-lifer 🤣🤣",1883,198752,1709081788,"{'id': '213145014', 'has_public_page': True, 'name': 'Florianópolis, Santa Catarina', 'slug': 'florianopolis-santa-catarina'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/430133572_385619777438625_2167473013474031234_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ZNbNXbc1nMwAX8U9zwN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAbUTCwbJYsnETSezfjO1UJgBzIHIOYg2QEh84IbFvHiA&oe=65E72FFD&_nc_sid=8b3546,False
178936022,chico_lachowski,C3x4ENuuXLg,True,Última semana de treino! 🚴🏼‍♂️ Last week of training! See you soon Italy 🇮🇹 #stradebianche,335,33572,1708883562,"{'id': '213145014', 'has_public_page': True, 'name': 'Florianópolis, Santa Catarina', 'slug': 'florianopolis-santa-catarina'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/429589336_385693497541826_7257699203612350132_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=TklItShQ_4cAX87xE4L&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAWjPVA0n9DNsz0iccEmCBT-O01ydUcQC3IX1ysAdmzKw&oe=65E75D8C&_nc_sid=8b3546,False
7093676518,ar.sportswear,C3s8ASsPryW,False,"Apoiar o projeto da M.A.C para nós é mais que incentivar o esporte, é colaborar com a comunidade da nossa cidade pra que todos possam aproveitar melhor as nossas trilhas e belezas naturais 😍🌳

Quer saber mais sobre o projeto de manejo e cuidados com as trilhas ou como apoiar? entra em contato com o pessoal da @mataatlanticacycling 😉

#mataatlanticacycling #mbt #ciclismo #trilhas #portobelo #visiteportobelo",68,19519,1708717383,"{'id': '86217168', 'has_public_page': True, 'name': 'Porto Belo', 'slug': 'porto-belo'}",https://scontent-lhr8-1.cdninstagram.com/v/t39.30808-6/428635637_18256731790236519_4071940207461599764_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=rncgneBJfi0AX-FiAk6&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBcHNYCGZrv6xt2xDruhBQ0JJ_qJwzjKAtF7JrGLqSOEQ&oe=65EB2D45&_nc_sid=8b3546,True
178936022,chico_lachowski,C3oJNw9Ogi9,True,I said that so many times that I had to get a billboard in nyc to remind everyone how important is to always be yourself! Don’t change for no one! You are worth it just the way you are! Thanks @wally for making that happen,211,20912,1708556816,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/429571493_403860908957736_2182101411643352559_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=GWKzFbbJ4BwAX_ijhGA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAjNcSAfBzajf7e6UaPFRKq3lwzK_0DLYEvJ07ebBrbuA&oe=65E6CEAF&_nc_sid=8b3546,False
42675551,valentinethomas,C3dEsM1uEy6,True,"Striped bass spearfishing in Montauk, local farm veggies run, then cooking THE WORLDS BEST FISH BURGERS (yes yes) at my best friends house in NYC has been a tradition for a few years now. But with them moving to Brazil and the ridiculous size restrictions in stripers, it got to an end. When they came to spend the weekend in Austin, we had to make those burgers again!! It didn’t disappoint and they retain their status of best fish burgers on the world 🤤🤷‍♀️",737,62929,1708185642,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/428183153_889582796201199_2507429878055016694_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=QsiQyuS7GBMAX8H5RzZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAFIaMvDYI3Oo2Le008oEadR2rK250ZD4qccIauUoXisg&oe=65E6CDC3&_nc_sid=8b3546,False
178936022,chico_lachowski,C3EuHtvOfVF,True,Florida we love you 😍,211,21454,1707368423,"{'id': '835717596465848', 'has_public_page': True, 'name': 'Seafood Seller and Cafe', 'slug': 'seafood-seller-and-cafe'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/425948679_420743127055250_7633617948229212027_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=kECKsHmauQAAX-F0uAq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCshM_2CfQCDCFRXl6PLYepCOcnYugmiGzJWYUZqRSMUg&oe=65E6E3EE&_nc_sid=8b3546,False
178936022,chico_lachowski,C2ycIwIu48E,True,Sunset 🌅 🌹 🚐,1172,100881,1706754581,"{'id': '266427142', 'has_public_page': True, 'name': 'The Gulf of Mexico', 'slug': 'the-gulf-of-mexico'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/423753016_3505332576395714_554519644541732940_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=cKwmP2DKvjMAX_OHTp6&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDDsC2xc7tCJhrCIqWOLLcMHymOiO4yUFBOgBwBHyOr6g&oe=65E73DF7&_nc_sid=8b3546,False
3423565,mitchellphun,C2qgS2cv-Ey,True,"Preview of the @seanopry55 episode for Yo Chico Podcast. Kindness over everything #kindmaxing || episode will be launching 30th jan, 8pm ET",895,76533,1706489216,"{'id': '105565836144069', 'has_public_page': True, 'name': 'Singapore', 'slug': 'singapore'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/423770422_401758705856167_9072743080309073542_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=W1GHDobXEPMAX-VrG6k&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDVG1A9GpZQEl9I8qVrBsvpTWZ1-C2z81ub78roS1QNdw&oe=65E757A8&_nc_sid=8b3546,False
178936022,chico_lachowski,C2p2HQDuMCT,False,"Yo Chico Podcast is Live on YouTube and Spotify! Link in the bio. I’m very excited about this new adventure and being able to bring to all of you different guests and different perspectives of the business.Pilote episode is a little about me and how I started modeling.
I’m exited to announce that my first guest is @seanopry55 , that’s going to be out on the 31st of January. 🤪🎙️Fala galera, o meu podcast Yo Chico foi lançado! Para o episódio piloto ainda não temos legendas em português mas para o próximo com Sean vamos ter! E é claro que vamos ter convidados brasileiros e podcasts 100% em português. Espero que estejam ansiosos❤️🤪",916,105919,1706466148,"{'id': '237392719', 'has_public_page': True, 'name': 'Ozello, Florida', 'slug': 'ozello-florida'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/423414924_297339389996733_7783175163258482259_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=vyscYJgNdiQAX_hnV4i&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBYVmx-22b6e_GXL6REdgkcCF75i4nVdiU5TOG_ZqxQFQ&oe=65E74BCE&_nc_sid=8b3546,True
