owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
264724726,chris_sharma,C37XLd9NiTZ,False,"A hard day at the office 😀. The never ending process of perfecting our craft, developing the fitness and the belief in that one day it might be possible😅
Putting in the time on “LeBlond” in Oliana the other day. This route is the final unfinished chapter of all the climbing I’ve done at this amazing wall. So cool to still be coming back to this spot after so many years and this route climbs so incredibly.

📸 @giancolafoto 

@prana #pranapartner 

@tenayaclimbing 

@petzl_official 

@trublueclimbing 

@sharmaclimbing",40,10924,1709201393,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/430234464_1034442034282700_2661605553658932104_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=dP7nSQ-bn8MAX8rnJen&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCOJcX6xim4_7NaTlBLP6OvHFuJoytHK64Z8SzCziEozg&oe=65EA6061&_nc_sid=8b3546,True
2777374593,lesfreresmawemofficiel,C33YuIRLfEG,True,"What’s your pleasure in climbing? 
Chris says, If I can climb outdoors twice a week, I’m happy.

Seeking balance to maintain enjoyment. 

A new extraordinary YouTube video coming very soon with @chris_sharma :) 
🎥 @thibaudherrfilms #climb #boulder #escalada",4,1620,1709068546,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/429915642_2348933365300419_726360335311926271_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4nUN7VeB_lwAX8tMEYx&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBvYvPmBj6wrTtNiItPJ6EhzDqxSxLIrFHcM1DIL74fRw&oe=65E6E625&_nc_sid=8b3546,False
264724726,chris_sharma,C3zbl7GNzWH,True,"To carry yourself forward and experience myriad things is delusion. That myriad things come forth and experience themselves is awakening. - Eihei Dogen

📸 @coastmountainstoneworks 

@prana 
@tenayaclimbing 
@sharmaclimbing 
@petzl_official 
@trublueclimbing",65,11145,1708935462,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/429888692_951911992543490_346866879127348215_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sy4eFQ23TpsAX8KlpRD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBEspKp6t2wX7mbTo_BfIa-50n17Tf2tk8DPLPaebeNXg&oe=65E701CB&_nc_sid=8b3546,False
481991581,prana,C3tPggQS2nu,False,"Chris Sharma has been a #prAnaAthlete since 1995, and we’ve had the opportunity to grow together. Whether it’s putting up the hardest and most spectacular lines in the world, or hosting HBO’s The Climb, one of the things that’s remained steady for Chris is his love of discovering new routes. We’re excited for another year together!",19,4683,1708727609,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/408911167_414963504534110_8981114922254259689_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mrPKJZ8V7BMAX9pxOIt&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDGzRJeORM7nYP92hhX9tI3baez5V_WS2cFo_TAxWsZuw&oe=65EA241B&_nc_sid=8b3546,True
264724726,chris_sharma,C3QS2mjt2Dz,False,"In the thick of it. 
Sorting through the complexities of “Le Blond” a line I envisioned over a decade ago.  A great and often times humbling experience.  Never say never… doing my best to keep the dream alive. 
@prana  #pranapartner 
@tenayaclimbing 
@petzl_official 

📸1 @tonimasbuchaca 
📸2 @bobby_climb",114,25603,1707756284,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/427506282_1615847759153893_5715680397637459173_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=H3kdmypW20YAX-xr-VP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBm5waea3pdB-FuwTRlZcSFGcNuhNHFlFaLi_DBw77uJg&oe=65EA7A7C&_nc_sid=8b3546,True
10247422542,sharmaclimbingmadrid,C2sZ5r8Name,False,"¡Hola, escaladorxs y amantes de la adrenalina y la roca! Estamos super emocionados de anunciaros un BOMBAZO💣💥 y es que...el boss Chris Sharma está llegando al Roco!! El próximo 29 de febrero os espera...

🧗‍♂️ ¡Una noche épica de escalada y charla con el legendario Chris Sharma! 🧗‍♂️

Fecha: 29 feb
Hora: 20:30
Lugar: Sharma Climbing Madrid

¿Qué te espera?
🎥 Proyección exclusiva de “Sleeping Lion”: Sumérgete en la mente del boss mientras comparte su viaje y nos lleva a las alturas de su proyecto más ambicioso.
🗣️ Charla íntima con Chris
🖊️ Firma de posters: Llévate a casa un recuerdo único
❓ Sesión de preguntas y respuestas: ¡Tendrás la oportunidad de hacerle a Chris todas las preguntas que siempre has querido preguntarle!

¡OS ESPERAMOS! ¡Nos vemos en el Roco!

Entradas limitadas, reserva tu plaza en el link de nuestra bio 🔗",9,2384,1706552020,"{'id': '540692606423816', 'has_public_page': True, 'name': 'Sharma Climbing Madrid', 'slug': 'sharma-climbing-madrid'}",https://instagram.frez1-1.fna.fbcdn.net/v/t39.30808-6/422991364_18117559255342543_6398088992424180758_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=9PBvakuMJJkAX_OaWMG&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBKGjBx_RDJIbrIBUrXo76mmiXsjf0Mizo5lD4i73AbpQ&oe=65EA8BA9&_nc_sid=8b3546,False
25036051,alarconjimena,C2Z7SHitpyW,False,"The best part is the reactions you get from your climbing partner. Yes, he goes from cheering you on to laughing as my ass touch the ground. Thank you @chris_sharma for the spotting! But well…‘what goes up must come down’ right? 😂❤️‍🔥 @prana 📷 @giancolafoto",27,13256,1705931987,,https://instagram.frez1-1.fna.fbcdn.net/v/t39.30808-6/421803483_18409056184012052_5477011401351057458_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ErjvgDQwO40AX8u6yWi&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDIDlVz_KrWD6e8vcoONMNg520Zms1kvwKwXvXXTw4KrQ&oe=65EA20BA&_nc_sid=8b3546,False
264724726,chris_sharma,C2QhBHntFFk,False,"Great first day back in two years.  Feeling the fire 🔥 
#leblond #oliana #peramola 

📸 @tonimasbuchaca 

@prana 
@tenayaclimbing 
@petzl_official 
@sharmaclimbing",63,10303,1705616227,"{'id': '258580034', 'has_public_page': True, 'name': 'Peramola, Cataluna, Spain', 'slug': 'peramola-cataluna-spain'}",https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/419874154_353068204258049_4299591225766795492_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=dAqfd77oSOQAX_S_Qd1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDR4dxoPM2_szKb9JV5qqYESAWSBb1K6ctJvRbTaT1OEg&oe=65EA7067&_nc_sid=8b3546,False
264724726,chris_sharma,C1hu-dFNyjh,False,"Grateful for a year full of amazing experiences with friends and family on and off the rocks😀🙏🙏. 
Thanks to everyone who have been a part of this journey and thanks to you all for following along. I wish you all health, lots of love, friendship and amazing experiences for this new year , let’s go!!! A special thank you to mi amor @alarconjimena  for all of the love and support you’ve provided for me and our family te amo ❤️🙏🙏🙏🙏

@prana 
@tenayaclimbing 
@sharmaclimbing 
@petzl_official 
@trublueclimbing",417,58652,1704046487,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/414162614_222230397598826_9182582899703997889_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=3ukJsiMZcOMAX90eKc3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBRortjA8kV8Gc1H0PE0knm4DIcnxK8xpFWpweoAgvPqA&oe=65EA0AB5&_nc_sid=8b3546,True
264724726,chris_sharma,C1d-J-iNQzH,False,"Repost from @drewerd_
•
@prana // RRG",21,7708,1703920228,,https://instagram.frez1-1.fna.fbcdn.net/v/t51.2885-15/413446201_3478271602437305_8042177182057375640_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.frez1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=gpdnZihfOb0AX_0v2A2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCXhV9s1uEJSFrVTlHGhmIr57F1JbGoSuSaXo8hVse7_Q&oe=65EAE11A&_nc_sid=8b3546,False
