owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
2630,chrisozer,CsYqlo8JZOL,False,"Amara✨ // Mt Hollywood

Photographer + Director: @chrisozer 
Talent: @amarawilly @lamodelsjuniors 
Wardrobe Stylist: @jardizzled 
Makeup Artist: @christinaspinamua 
Hair Stylist: @karolina.n.bernat 
DP: @thomaskovacik 
Assistant Director: @erinozer",18,371,1684414800,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/347307096_547911714201320_2647271267420152106_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=vIZPn5otG0IAX8XY4nD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA3U4tpcObC21oO5_2zfaRI5gF4ymGPor2VGkkaGSnZlw&oe=65EA0A37&_nc_sid=8b3546,True
2630,chrisozer,CtZRg63xT3y,False,Venice ✨,34,585,1686582736,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/353855354_917073169356001_4823556103830647957_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=EzGehR808ucAX8t9DlK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBMrxM6s7T4GAQqAbSGcK8IddwAw6ABmWWr80q-tZzA1g&oe=65EA287B&_nc_sid=8b3546,False
2630,chrisozer,Cn7xSWayBS8,False,Dream home in Rustic Canyon 🌙,39,1196,1674855300,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/327993309_517699287128658_165297637765984984_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=l-ic5DzvxU4AX9Ts7te&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC1fwG7D_L37pHLGj92a2cLr8UpYH1Z-hguSTO88JkRBw&oe=65E9C628&_nc_sid=8b3546,True
2630,chrisozer,C220JdPxmxy,False,Recent food and beverage work for @riverhousebend 🍺🧇,2,147,1707418800,"{'id': '4301505', 'has_public_page': True, 'name': 'Currents at the Riverhouse', 'slug': 'currents-at-the-riverhouse'}",https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/423274630_287340547358122_2091105665732574434_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=DrU2P1VBqc8AX9H67sm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAf8ZP6FC-ivxULV5tOF2W4Yqst7t8m_lAnpMBgzX2bVg&oe=65EB3A9B&_nc_sid=8b3546,True
2630,chrisozer,C3BWO-7y63l,False,"Still life + product photography for @ownbitkey 

Thank you to the hard-working team who built a mini-studio on location for this busy shoot day, especially prop stylist @heather_a_greene 🌟",1,126,1707254700,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/426015725_425948466651791_3704044410546348751_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=SbCCJZh4X_8AX8l9beR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBsgFbCn4yZ6MBm8PMppegebXpNMeDicR3kGQ1JFVDJVg&oe=65EA7C9D&_nc_sid=8b3546,True
2630,chrisozer,C2xun4YurYK,False,"Recent work for the @riverhousebend in beautiful Bend, OR 🌲☀️",6,372,1706730600,"{'id': '4851810', 'has_public_page': True, 'name': 'Riverhouse on the Deschutes', 'slug': 'riverhouse-on-the-deschutes'}",https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/424450292_367846416189767_5869126719915579730_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=CXM651xoDhAAX9knkY0&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBuUI-g1_B6nUEK_jjWly2b08bPilgiWbTHiYZPk35euw&oe=65EB083F&_nc_sid=8b3546,True
2630,chrisozer,C2tBAZaPZNN,False,The lovely @j.proof for @ownbitkey,2,143,1706572522,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/422860255_913926517049673_2283247364029238922_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=qTZWuNsNeIIAX_0HvXU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA626_xwrUKRTVrEfBsI72JjcYhiPJKlJWiQn9b2kcEGQ&oe=65E9808A&_nc_sid=8b3546,False
2630,chrisozer,C2an9BVSvA7,False,"New work 📸✨

Lifestyle, product, and portrait stills for Bitkey shot in my old home – Brooklyn, NY. 

Such a pleasure working with these great clients and a wonderful team. 

Client: @ownbitkey
Producer: @jennkimnyc – @kindlyproductions 
Production Coordinator: @k_wubby 
Production Assistant: Suzanne Abramson
Production Assistant: Brittany von Hess
Production Assistant: JB Hunt
Production Assistant: Madison White
Lighting: @thruthebeard 
Location Manager: Mark Bodnar
HMU: Sophie Ono
HMU Assistant: Mika Saijo 
Wardrobe Stylist: @hashtagjocelyn 
Wardrobe Assistant: Gabriella Wheeler
Prop Stylist: @heather_a_greene 
Props Assistant: Zofi Lipton
Props Assistant: Olga Sidilkovskaya
Digital Tech: @paulyem 
Block Business Lead: Lindsey Grossman
Block Senior Interactive Designer: Ben Sutton
Block Director of Product Marketing: Tessa Pettman
Photographer’s Agent: Jesse Miller – @tinkerstreet 
Casting: Treanna Lawrence – @castpartner 
Talent: Anna Jonynas, Anthony Bourray, Josh Philip, Luis Ocasio, Rebeka Choudhury",16,407,1705955400,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/420671135_1118042696229622_5052299662764832038_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=dGFXbbfDfVgAX9rJl_d&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC7_-vfXNz6Nzs2PqHDtjsK9XA2iAQSEE4qBah3xn5n7A&oe=65EA8AFB&_nc_sid=8b3546,True
2630,chrisozer,C0mDo4Ks3DU,False,Summer on film 🎞️,12,351,1702044000,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/407925632_734926331905179_6566656811282584497_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=GhqMuMqM9CoAX8h02_q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCzAlk1vkyZvRnu3Fraw7mz1YG3wNtXo9XEh-SRLg6E0A&oe=65EAAC32&_nc_sid=8b3546,True
2630,chrisozer,C0WofLfu_ns,True,Good job LA 👏,4,166,1701526500,,https://instagram.fgye1-2.fna.fbcdn.net/v/t51.2885-15/405556785_350670824218203_4932106361979532780_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fgye1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=-oEyr6rXv5YAX-YURAu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC8OTL0VoLUnXxEf7tmY8TOTvDhhQKM066HeYiTSV6F0A&oe=65E72E14&_nc_sid=8b3546,False
