username,followers,following
queenb,325205,700
raquelbenetti,27,0
ray,1366,1023
raychponygold,88452,2070
rayniyel,20452,4069
reza_jax,341429,2891
reycanlasjr,52426,289
ricgm,164941,2106
richiekarma,10,6
riviera_maya_mexico,30,73
roamingon,37,19
robinnyc,1034607,1300
rossocjennings,20908,1182
roxxsaurus,469745,1220
ruthlessejuice,326,0
ryanlongnecker,95844,426
sadierob,827,186
sallymustang,307660,4873
salvarezphoto,266215,555
saltyluxe,613660,2119
samearp,92414,1487
samevanslife,139485,1530
sandrosalomon,44,41
sarahjanewai,13524,2692
sarahkjp,596614,393
sarahrav,1447742,689
saraunderwood,8676369,926
sayosamonji,10,16
scottlipps,203975,2325
selenagomez,429831091,291
send_noods_,34,34
sergiokletnoy,59092,400
shackette,93873,622
shua_nie,0,14
sierrablaircoyl,232418,478
sinemyldz,356,560
sinhead,724,903
sincerelyjules,7853999,2177
smashpop,95844,721
smcmennamy,864,0
smiley_lucas,102,108
sofia_viscardi,1353,845
sofieemilie,144,401
solotica_melbourne,25465,659
sonny5ideup,1492293,489
so.shauna,88446,346
spelldesigns,1482,1
spencerkent,795,2020
spetra,542,297
spiritscienceofficial,1171216,134
sportgirl,26,44
sprinkledlife,17990,785
staceydavid,28,8
starbucks,17872297,4500
stassiebaby,649,0
staysaltyflorida,386850,707
stefaniegiesinger,5259932,1505
stefankarl,1049,882
stevenvan_,228,227
stevint,216913,742
stilinberlin,40459,846
stina,3426,3237
stokedroasters,3589,650
straytocreate,902,1257
streetartglobe,16718071,334
studiomucci,304004,908
stylesnooperdan,20,0
stylesprinter,38520,3373
sugarbearhair,1801,25
sugarbearpics,62,69
superwrongmagazine,715447,132
surfer_magazine,2194197,1411
sushantkumar,126,72
suunnset,18,146
sweat,1028612,1160
sweatybetty,716654,612
sweetportfolio,619876,599
swopes,270995,2836
sydneyfashionstylist,513,977
sydneyfoodcrew,51886,402
sydneyfoodprn,44515,6431
sydneyfoodie,21,25
sydneyfoodies,147,5
sydneyhotel,37,352
sydneyisopen,7399,243
sydneylocal,553,1078
sydneyrestaurants,71,75
sydneyxplorer,1,1
taiyaki52,4983,409
takinyerphoto,147547,380
taramilktea,1381820,1014
tarekboudali,795564,288
tarrahd,29,0
tejasswiprakash,7464785,266
tenleymolzahn,299839,1126
thebucketlistfamily,2961419,696
thefashionfraction,412075,952
thefrontrowe,499,474
thehautepursuit,318,1
thelebaneseplate,112800,406
theminiaturelife,1213,1039
thenailboss,165123,5706
thenowmassage,88099,832
thepaperbunny,145857,29
thephotoplug,3630,179
therawtextures,263044,968
thescript,500,20
thestyledseed,50,7
thetiafox,148072,863
thiagomlcorrea,271517,329
thrillgeek,7411,448
thuie,16578,7298
tidal,777011,918
tillysthreads,33,0
timmossholder,3262,1774
timmyham,10044,27
tipstir,27,92
toddmcclements,137,373
toimylove,0,0
tomashavel,169184,653
tomclaeren,693242,1624
tomjauncey,524351,1736
tomorrowland,9344910,161
tony_hawk,412,3580
tonye_,1815,1742
