owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
15052720,robinnyc,C387P3Ar4sY,True,"THANKFUL 💫 

Scrolling through my camera roll, reliving an incredible week filled with lots of love, laughs, and smiles. Thank you, @stregisbb, for helping us create lifelong memories. We’ll be back soon! 🇵🇷❤️ #marriottpartner",121,9058,1709253924,"{'id': '278635613023590', 'has_public_page': True, 'name': 'St Regis Bahia Beach Resort', 'slug': 'st-regis-bahia-beach-resort'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/430899857_318966701158438_7321253560769583647_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=xgscoam8Y6EAX8mYUcX&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAMtLdbNFASP6VvMh3PUXoEhaB02QlMgzJvvYuizJFocg&oe=65E4ECF3&_nc_sid=8b3546,False
15052720,robinnyc,C33gJSnrvI8,False,"Own your voice even when it shakes. 

Even the biggest names experience self-doubt, but we can’t let it hold us back from claiming our space. When I step into a room and the imposter voice starts to get loud, I ground myself by remembering I have a thousand ancestors backing me up. 

And let’s not forget the power of looking good for victory with @gstq 👠",90,5111,1709071876,,https://scontent-lhr6-2.cdninstagram.com/v/t39.30808-6/429789672_18418627549012721_355963038375519559_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=yY5BdW5if_cAX9A6s6I&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDEj6kyDMJc7dy_pTgnJF5EQM5y_29dLhqCvKhhbJEusw&oe=65E71052&_nc_sid=8b3546,True
48573497593,pelotonapparel,C31O6d1M85U,False,"all new hues, made to move 

tap to shop the look or explore the full spectrum of colors at our link in bio",7,3037,1708995733,,https://scontent-lhr6-1.cdninstagram.com/v/t39.30808-6/409028649_17991547988617594_3970099091810734593_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=VW5Xpu_LFGMAX-ijfp9&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAbdRK2PuaLYFhM_tRNXhHPCDB3GfqKZFFUkUH785dgXw&oe=65E73B0A&_nc_sid=8b3546,True
15052720,robinnyc,C3ydyIprlXz,False,"When they quit, we’re just getting started 🔥

How are you creating your own legacy?",60,4500,1708902865,,https://scontent-lhr6-2.cdninstagram.com/v/t39.30808-6/429779268_18418296763012721_2246476933729591795_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Z9f9JHzdWKYAX-l_5IL&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfA8eTT7Ipb_ALj4tTFv_Ac-HmXsgJaNf5jk9s4iSGNGrA&oe=65E72712&_nc_sid=8b3546,False
15052720,robinnyc,C3sog_Erus9,True,"Unlock the power of journaling with these 3 tips! 📖✨

1) Habit stack: Pair journaling with your daily rituals (like your coffee routine!) for a seamless integration into your day.
2) Break the time myth: It doesn’t have to be a novel! Start with just one line or a single page a day.
3) Keep your journal close: Have your journal waiting on your pillow if you prefer mornings or nights for your reflective moments.

And for an extra boost, check out @swaggersociety’s February journaling challenge for prompts to kickstart your journaling journey! 🚀",23,764,1708707189,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/429250728_1150884236323942_2350144244678324147_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1Rgcl5bkMmQAX9ZO1mm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1hd9i5TMvDJTxDZLrNy0LvnZa2XRAMYPAMhCv2XgN4w&oe=65E49C6B&_nc_sid=8b3546,False
20949707,katiecouric,C3nkE6KO6Mp,True,"Tacos with a tofu twist! 🌮 I recruited @onepeloton’s VP of Fitness Programming, author, and vegan foodie @robinnyc to help me stay on track with my New Year’s resolution of eating less meat. Today we’re making her go-to scrambled tofu tacos, a meatless dish that’s filling and full of flavor. 😋

Get all the delicious deets in Thurday’s Good Taste newsletter - which you can signup for at the link in my bio if you haven’t subscribed already!🔗

P.S.- Want even more vegan-friendly recipes, wellness tips, and weekly advice? Sign up for The Pivot by Robin, @robinnyc’s newsletter that’s full of inspiration, empowerment, and habit-building tools! 💪 

#yum #katieskitchen #vegan #food #foodie #recipe",68,2566,1708537362,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/429023071_3679960065599549_2990107664129594200_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=7I-Q-5ZgdiMAX_lwsPH&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB5sC9h9cGc6szvKMAx-B5Kr4e3xDnev5MTTr1fYqtruQ&oe=65E4AFCB&_nc_sid=8b3546,False
57720128373,pelotonstudios,C3nXYHPOtkB,True,"Pave the next chapter of your journey – from races to relentless consistency. Your Day One is here, and together, we’ll redefine what it means to show up and conquer every challenge. Are you ready to ignite your fire within? Seize every opportunity and make every moment count 🔥

Your Day One ride is now available on-demand and check the highlight on our profile for more info!!",147,8358,1708530641,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/428924815_1423696468525381_4241431419204530262_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=dxxZqjtoa-wAX-2CF-l&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-rg29z20joqmurgE2liv7Tu3fyaBzAG79b5oYTqSodw&oe=65E4549C&_nc_sid=8b3546,False
15052720,robinnyc,C3i8a14LPeD,False,"Feeling like you’ve fallen off track? Join me in embracing the day 1 mentality - where forgiveness meets reflection, reigniting that fire within. Your Day One Ride is now available on-demand🔥

Don’t forget to fill out your commitment letter and share using #MyDayOne. 💪🏽",174,5554,1708382057,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/428319252_1129306151572785_8958223529055037563_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=49OrXAd6Pk0AX9aa_Xo&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAA06sDR0mPWoaDMJhFPrjxrjR6gU85KEPo8SYew05mFg&oe=65E45D20&_nc_sid=8b3546,True
15052720,robinnyc,C3gSZv8rmYk,True,"POV: The real-life boogie and the real-life hoedown 🤠

Ft. my favorite looks from our trip to @stregisbb #marriottpartner",274,18226,1708293096,"{'id': '278635613023590', 'has_public_page': True, 'name': 'St Regis Bahia Beach Resort', 'slug': 'st-regis-bahia-beach-resort'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/428146961_1548931995898143_8949142234998731245_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=U7H44hUH6-8AX_gAwny&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD2aVeliYL0025pdZUorK2lHwFOG0qrtb0Jh_WIoYbe9g&oe=65E48BCB&_nc_sid=8b3546,False
15052720,robinnyc,C3bGULZLgsa,True,"Ready to crush those goals? You don’t need to wait for January 1st. Join me in my new series, Your Day One, all about setting and smashing those goals. 

Bring your ambition and meet me on the bike this Saturday at 10am! Let’s make every day count #MyDayOne 💪🏽",134,5551,1708118886,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/427924344_2804313089724027_5812064954266347811_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=cs8fDzSFUDQAX89Gqb8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBN1Ma1PVcMN10twnlvc66XSv20YuAc0PW9SepTdQhYZQ&oe=65E45E1A&_nc_sid=8b3546,False
