owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
13699401,sallymustang,ClFxpy8JPTR,False,"Little Life update:
The sun has been shining nearly all Month. I lay like a cat curled in the warm embrace. I notice how different everything is when the sun is out. How sparkly the rivers are. Three black cockatoos soar every afternoon over the forest canopy. 
I Planted a tiny peach tree in the garden 3 years ago and harvested 30 or so juicy sweet peaches 🍑 this week. 
My best friend rang me to tell me she is falling in love. I love the first moments of love. I live for it. The tales, the excitement, the total ecstasy. I can feel it, experience it just by hearing her through the phone. I have been jogging each day, swimming in the river every second. I’m trying to figure out a way to also include yoga and meditation into my daily practice again. Sometimes I find it hard to blend family life and one’s self. It’s as if I’m so immersed in one, I completely neglected the other and vice versa. 
Does the mother exist within one’s self,?
Or is one’s self seperate to the mother ?
This is something I ask frequently at the moment.
We had to let our rooster go because he kept attacking Zu, but than our friends gave us a new rooster and he is so cuddly and nice.
I find life works better when I just let go. 
My love for flowers keeps deepening and my
plant allies all over this beautiful planet just keep paving the way. Spring smells so good everywhere. 
Multitasking is such a disservice to me, but I keep doing it, how do I stop ? 
My Dad always said ‘you make your own fun’ and it really is true. 
I’m learning to re write the word bored and replace it with peace. 
Nothing feels better than a really deep drawn out orgasm. 
I really truely do miss Italy.",114,6188,1668748628,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/315801123_516227923763220_4888659484314402573_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=yx4M8HOkX08AX-8_WKQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAauK7OzxVBDxZVqUWVkmkw__361JAim9bVdIHCSrN0fw&oe=65E89C47&_nc_sid=8b3546,False
13699401,sallymustang,COByrFkJPZh,False,"How much happier would we be if we spent more time moving with the force of life? Dancing, singing, making love, feeling sexy, walking barefoot in the woods, floating down rivers, swimming in the ocean, growing flowers, eating from the garden, spotting animals, sharing stories and gazing at the moon - rather than always pushing ourselves along a path that we think is leading us to where we want to go? Status, achievements, looking a certain way, Career, money, the next new ‘thing’.. these are really quite unimportant when it comes to quality of life, but our minds are brainwashed. I suggest sitting, closing down your eyes and picture pulling your heart out of your chest and give it a big wash with sacred water. I pray daily: great spirit, help me live more in my heart. Let my heart open to the warmth magic which is life. The richness of truly living, the present moment is invaluable. 

We owe it to ourselves to acknowledge that our mind is so much smaller than feminine life force within us. As is the way most modern societies are living. Right now, a lot of us are closed in by fear. Fear for health (eat well, exercise, love yourself and cleanse your thoughts) fear of authority, fear of dying, fear of being seen, fear fear fear. We are living so SMALL! You know it if all of a sudden you do something that is stepping out of that fear-
We can taste the beginning of richness in something as simple as a naked cold water, river swim. This is the real path to living .  The divine feminine way which we all must find a way back to. For our planet. For our own survival. 
What if we were to let go of the expectations we had for ourselves, and just became more free to be. To have this human experience. To feel content with just living and loving?

From my Happy place",425,33524,1619222821,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/177609005_1249876328762391_1899680572497357826_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=kzEX5FIKa2oAX8v781N&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB3dLapX8Kmqy0trv5jxsYshMP9oQsOC6_53gAGHGRAEA&oe=65E8DAF5&_nc_sid=8b3546,False
13699401,sallymustang,C3-8hqGBtN6,False,"There is this incredible art to giving and receiving and it really is one of the secrets to this life journey. I’ve noticed that the more I put one hand out to give, the other, as if by universal law begins to receive. I think the only purpose to this life is to love. To feel. To make others feel. It’s a very important job your doing if your following your bliss. Don’t let anything else steer you in a (lower) direction. 
We are all made up by layers of past, present and future. Maturity and childlike wonder go hand in hand. We are all living breathing star constellations so we might as well become the star. Of our show.",28,3443,1709321637,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430905567_765905101812839_5293328326352802236_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=tWc6USVOcnwAX-G2b6y&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDlJwJto0b7NyVueCiUnKlsH-Kuj7MJMUtZMAvSTSVgag&oe=65E8204C&_nc_sid=8b3546,True
13699401,sallymustang,C33SAXQBCSA,False,"Farm life is the good life. 
I wear this @indigoluna.store set nearly everyday in the paddock because I think Sandy thinks I’m part of the herd whenever I wear white. You can get 10% off any @indigoluna.store with my code SALLYLOVE - they are seriously the most comfortable best day wear/ yoga wear I’ve yet to find. @indigoluna.store for their website",21,4030,1709064463,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429579398_430100826250067_8555711067686957590_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Jqha6ZNfXWgAX_pQHBK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA9NVAvId0b7Xq4cWl-aLWH8AMZxhiBr3l46pzmfjqmwQ&oe=65E88F69&_nc_sid=8b3546,True
13699401,sallymustang,C3zGX45JSRH,False,dreams do come true,80,12065,1708924146,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429634540_727842742787570_1718239581741388020_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Quq3_ng887wAX9qZSya&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfByi_Jr2qaPx1Bn7iavJda2KellY-2QxdyldClVb6jm3Q&oe=65E735B3&_nc_sid=8b3546,False
13699401,sallymustang,C3rHoI9JZ50,False,"Tears run down my face as I contemplate the sacredness of life. Of love. Of giving and receiving love from an open heart. Gratitude fills our house from every corner. I sobbed- knees on the earth ‘Thankyou’ today. Jala is still with us ✨
Everyone has been asking (and will do) for the linen its @inthesaclinen by @sarahandrews.co ♥️ combo",21,4085,1708656368,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429455301_1502328060346750_218137823956729362_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=zV3PAQ1jPjkAX-9OJO_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDWtLChSKio9Wlfig7DmEjQEQYoffrlXhqcoUHmGlVXTA&oe=65E836C4&_nc_sid=8b3546,True
13699401,sallymustang,C3GqWuOB7yw,False,"My husband is fucking hot 🔥 @mitch.gobel 

‘The smell of salt and sea drifting in through the opened windows. It was all so enticing.
He lowered his head onto me. His tongue finding the rose. 
Mitch’s mouth on my most delicate folds. 
His tongue sliding back and forth. Swirling and finding the one spot that…. 
A groan of pure pleasure left my lips.‘
Read more of the story in our new $ex is art story which is featured in my Ebook. $10 Aud. Link in bio for 70+ pages of sensual morning heat.",14,5413,1707433062,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426848484_1507949093095073_5539054269769357323_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=e3HTYTFMcLQAX8wo-tY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA7zyJvHMpvjshAuf34BumeGmUUTGtQZo__oo02nkanHA&oe=65E8A90A&_nc_sid=8b3546,True
13699401,sallymustang,C25kXlUhgN9,False,Morning glory. NEW S ex is Art story is here! Real life erotic story by me and @mitch.gobel . Featured in my new ebook.  The ebook is 70+ pages of bliss. $10 . . Link in bio to read it all.,12,5502,1706993715,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/424560990_2407833972938339_4062982448045024186_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rVounRsnCQMAX8E4Rk-&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBt1KgcQXO6aRe2Fu4sHYvrpp4-OPdDRP7uiFbDR0pwtQ&oe=65E740E8&_nc_sid=8b3546,True
13699401,sallymustang,C23Q51GBHng,True,"A little bTS for the ebook. There is nothing more delicious than being flooded with pleasure whilst floating between the lucid states of dreaming and waking. My new ebook ‘S ex for breakfast’ is available now. It’s $10 Aud, and is filled with Soft, sensual, slow, oh so so sweet recipes, rituals and s ex tips.
Link in bio. Start your weekend right 💛

#breakfast #morning #morningcoffee #morningvibes #recipe #breakfastideas #morningglory",15,1855,1706916506,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425174754_706231851495064_6882191077713528686_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=4690w8K6mK4AX--rW8T&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDrB7GHm-ijbklgWrm4z7e4DDBX7qCdyKJH8wb3qiYSwg&oe=65E4CF0A&_nc_sid=8b3546,False
13699401,sallymustang,C20gO_OBkF_,False,"My new ebook S ex for breakfast is available (on its own) for $10 Aud. 
It includes our new eroti c story Morning glory plus 70 more pages of bliss. Link in bio. Enjoy",16,3191,1706823776,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/424505751_735917028260495_7804881161168630363_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rDZdsNGBhZcAX93T6fM&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDIq6x5mrVMOuj_OHh7qnFn_GyJ-DhVFe0JlRDDsmOGHA&oe=65E76976&_nc_sid=8b3546,True
