owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
724934,garrettgee,C4BgEwvRtra,True,"It’s quite the special feeling witnessing your passions become your kids’ passions :):):) Dorothy was asking me how to adjust the exposure on her camera. I’m trying to teach her slowly, 1 step at a time, so she still needs me around as long as possible ;) See more of our Falkland Islands adventures en route to Antarctica on our Instagram stories @thebucketlistfamily X @lindbladexp",67,8391,1709407753,"{'id': '567276614', 'has_public_page': True, 'name': 'Falkland Islands', 'slug': 'falkland-islands'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430640667_800635355443440_5691262991549006635_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=R8yFKNqMPf4AX-zVG1q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAY_BEl_qTP5m4M_LQ2foU6Ax1BAIx0LSAPjnvdySDqWQ&oe=65E59E4C&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C3-eHYSrd5F,True,😭 FINALLY REUNITED WITH OUR PENGUIN FRIENDS!! And how perfect that there were 3 of them!! ❤️💙💚 The last time we were here was 5 years ago and if you watch our chann you may remember the special video of baby Cali taking his first steps on these beaches AMONGST PENGUINS!! 🐧🐧🐧 A couple more days here in the Falkland Islands then we’re off to South Georgia islands on this 23 day journey to ANTARCTICA!! 🥶🥶🥶 @thebucketlistfamily X @lindbladexp,108,12366,1709305961,"{'id': '567276614', 'has_public_page': True, 'name': 'Falkland Islands', 'slug': 'falkland-islands'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430396619_3659589207648604_206561928408564225_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=gaN93FAIWCgAX-QJkP7&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDzsP6Fc9LNj1vZ-6qX-RakS6VwMBfNx7HUihao2JXvXg&oe=65E588D3&_nc_sid=8b3546,False
6718998699,caligee,C35fb5cOLww,True,"IMPORTANT NOTICE : no baby penguins were intensely harmed. However, one little Cali penguin did hit his hip on the curb resulting in quite the bruise and lots of tears until poppa penguin wrapped him up in his arms and momma penguin kissed Cali penguin right on the beak 🐧😘🐧 Today we are grateful to be stopped over in the Falkland Islands for a few days on our @lindbladexp voyage to Antarctica! Our last time here was in 2019. Do you remember what happened then?? I will link to it in our Instagram stories today @thebucketlistfamily ❤️💙💚",115,9678,1709139096,"{'id': '567276614', 'has_public_page': True, 'name': 'Falkland Islands', 'slug': 'falkland-islands'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430265046_707041428301765_6127496694113349653_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mDjS2NXcYhAAX8xvxXr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB3wECTYE671l_fviU9DxAy4-7hqgani1dSy-mYIaM8yw&oe=65E55BA9&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C32tNjWO-8Q,True,"❤️ #DisneyPartner 🥲 THE TRADITION CONTINUES! 😍 When Manilla was just 3 yrs old, we surprised Manilla with toys from his favorite movie, Disney Pixar Cars! His priceless reaction was as if his long lost friends were showing up to his surprise party! 😂 Well the tradition has been passed down. Disney sent us the brand new Disney Pixar Minis Vehicles so Manilla surprised his little brother Cali, and introduced him to each of his favorite characters. 🥰 Cali has played with them nonstop around the clock. My favorite part has been watching them share and play TOGETHER. Parents out there know that’s really all we want to see.. 😍🥹🥲 Disney Pixar Cars Minis Vehicles #DisneyFamily #PixarCars #Target",387,26601,1709045339,"{'id': '222764158', 'has_public_page': True, 'name': 'Hawaii', 'slug': 'hawaii'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429966874_1092586315292512_4395313698752030373_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uG5rwzugW28AX9_35l2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDQjduR-igKN7kpFIrBK4xzRmFOGGVmm2S4_EqEHpVZ2w&oe=65E59FF4&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C30Mx0ZOyX7,True,"😱 AND HERE WE GO 🫣 23 DAY VOYAGE TO ANTARCTICA. They’ve warned us of cold weather, high winds, and rough seas. AND WE ARE HERE FOR IT!! 🐬🐆🦅 @thebucketlistfamily X @lindbladexp",420,28638,1708961368,"{'id': '117949353242505', 'has_public_page': True, 'name': 'Antarctic Peninsula, Antarctica', 'slug': 'antarctic-peninsula-antarctica'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429885726_1474574066456870_4687201888662631580_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=r99bVs4Irx4AX-KDlvo&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAas2axNbuenpIyAj76UwdmCc6glSFMwY8JK8S-gEIlgw&oe=65E583B5&_nc_sid=8b3546,False
724934,garrettgee,C3vE6afuedK,False,"HOW TO BEAT JETLAG?? Well, to take a page out of my wife’s book (love that I can say that literally;) here are 3 things that work for us : 
- no naps on day 1. No matter how tired you are. 
- get exercise. If possible, outside. 
- as much time outside as possible. Watching the sun rise and set does wonders for your internal clock. 
BTW : these 3 kids really deserve a lot of credit for just being such super troopers and keeping good attitudes even when they’re exhausted. 
We arrived to Buenos Aires, Argentina and then took a short flight to Ushuaia (check out the map in our Instagram stories @thebucketlistfamily) Next, we take a ferry to the marina where we will finally board our @lindbladexp ship bound for Antarctica with some exciting stops along the way! :):):) @thebucketlistfamily",201,32228,1708789163,"{'id': '226684649', 'has_public_page': True, 'name': 'Ushuaia, Tierra del Fuego, Argentina', 'slug': 'ushuaia-tierra-del-fuego-argentina'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/429846992_18418364548020935_3632702074885651463_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=hFdiSWN4hngAX-x-6ra&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCIaETBRlHQ9_qAcy4nI2UJjlDERbgo0ipExJmF2ZMiGw&oe=65E89AA9&_nc_sid=8b3546,True
724934,garrettgee,C3qEUA-RJzc,True,"Dear kids, keep being grateful for everything that comes your way. Keep being brave when things get hard. And keep walking towards the back of the plane, never entitled, and sometimes SOMETIMES mom and dad will surprise you and tell you to stop in first class :):):) Long travel day from Orlando to Colombia to Argentina where we will be boarding a @lindbladexp ship that will take us on a 23 day journey to Antarctica!! The adventure began with delayed flights and lost bags but we learned our lesson from Botswana and our trackers helped us find them. Jess really is the queen of family travel. She should write a book;) /// @thebucketlistfamily",410,49511,1708621653,"{'id': '106423786059675', 'has_public_page': True, 'name': 'Buenos Aires, Argentina', 'slug': 'buenos-aires-argentina'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429313827_405167782182266_7204288531973878274_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=y61pqZXRANoAX9P_lNl&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCcZApFk3e-vXbKeMS7As-L5DG-7HP-kZMeB9_iSzq99w&oe=65E528DC&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C3agXIWuKBV,True,"😞 This is difficult for me to write. Last week I stepped outside my comfort zone and shared a very personal goal of mine to have my book make the New York Times Best Seller list. 😱 The list isn’t released until this Sunday but my editor at NatGeo said publishers find out a few days early and she would call me right away. I got the call. She shared the sad news that I didn’t make the list. 😔 I kept it together on the call..but the tears came hard as soon as we said bye. I’m surprised I care so much about this. I cried for about 5 minutes and after a great pep talk from a supportive husband was able to pick myself up. 🥹

💛 I want to make it clear that above all, I’m extremely proud of my book and don’t want this to cast any sort of shadow over the past 4 years that were nothing but a positive experience of writing and creating this treasure for families all around the world. 🌎 The quality of my hard work is definitely more important than the accolade of New York Times Best Seller. But I think, if I were to try my best to explain why I’m feeling so sad and even slightly embarrassed it’s because 2 things: I’ve never wanted anything like this for myself. I’m sure so many other mothers out there can relate. I endlessly cheer and support my family, but rarely do I want something so purely for myself. This was that for me. ❤️

Secondly, the Bucket List community has rallied so hard behind me. I have have felt it every day of this journey. I was excited to celebrate this achievement all of us together. ❤️💙💚 You’ve done so much for me. Thx to you, we’ve surpassed NatGeo’s presale records. I’m going to keep my head up and focus on the positive. There’s still chance I may make the list in future weeks so I’ll keep trying my best. Positive reviews of my book on Amazon and Goodreads help so much. ⭐️ I want you to know that I screenshot your thoughtful reviews and every time you share my book on Instagram in such cute creative ways and add it to a journal I’ve been keeping of this book publishing journey. Thank you for being a part of my story and all the ups and downs. This day is a down for me. But I know I can get back up..❤️ Jess",2085,135870,1708098927,"{'id': '241311003', 'has_public_page': True, 'name': 'Walt Disney World', 'slug': 'walt-disney-world'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/427614210_1124894111859861_4647760846227144517_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=6hmWhNfoAx4AX-a30Io&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBVAFgaL6KoWhV69eSg8G2ev9VE37MUKhDHB0pwtTeqLw&oe=65E53E61&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C3YSrMVuCdE,True,😭BABY NILLA BEAN!! The exact same spot 9 years later.. ❤️ Who has changed more? @manillagee or @garrettgee? 😘 @thebucketlistfamily at @waltdisneyworld,115,20784,1708024657,"{'id': '421989260', 'has_public_page': True, 'name': 'Walt Disney World', 'slug': 'walt-disney-world'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/427631901_708172647973079_3684178320079944698_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=6GUqtpf0gP4AX-xGz4l&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBIM7zgOm7g0DJjLm-yGg49YGcnLw5YyAAg1NIE6IfykQ&oe=65E51ED7&_nc_sid=8b3546,False
2046124355,thebucketlistfamily,C3VHdtnu75b,True,😘 Can we make PDA normal again? ❤️ Let’s treat our loved ones like every day is Valentines Day 🥰 @thebucketlistfamily xox @waltdisneyworld ✨,303,49563,1707918439,"{'id': '212950097', 'has_public_page': True, 'name': 'Walt Disney World', 'slug': 'walt-disney-world'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/427403667_1108975996943878_1016236092780792319_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=_Ut07rsQt64AX8xn_-q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBViRcK9VsU6G_VdbQI-LFhJbCIqJNLRuFKIebm0ZtScQ&oe=65E51BF1&_nc_sid=8b3546,False
