owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
1683957733,thenowmassage,C17YIH7Paam,True,"RARE BEAUTY + THE NOW ✨⁠
⁠
Kicking off the New Year, we’ve teamed up with @RareBeauty to create a series of at-home massage routines featuring their new Find Comfort collection. Elevate your self-care and find comfort with these four massage rituals that can be done at home, on the go, or anywhere you are NOW. ⁠
⁠
Available to watch exclusively on //rarebeauty.com/blogs/comfort-club NOW!",211,872,1704907005,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/418991025_304960545347649_5281191729111349484_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JZCsqNC0pAMAX8xKzX_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBYatrOGZKPr4f2s0Z9m9HKPFD11yTKl5b8ibFfZrmonA&oe=65E54EFB&_nc_sid=8b3546,False
1683957733,thenowmassage,CQ_5nd1s8BU,False,"⁠The view at our Dallas boutique, including the custom mural created by local artist Alli Koch, has us feeling present, grounded and grateful to be in The NOW.⁠⁠
⁠⁠
We're open from coast to coast!⁠ Book online or via our app and get that vacation state of mind anytime. ⁠⁠",959,1835,1625601803,"{'id': '100255341963153', 'has_public_page': True, 'name': 'The NOW Massage Lower Greenville', 'slug': 'the-now-massage-lower-greenville'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/211395306_893567227897248_8881069347985585152_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=vDmSU5mC1ecAX8R6lg4&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfApgVyVY-2arNaW0mQ8ROR0_fjag1fzYdDbY7M8SBSW7Q&oe=65E91016&_nc_sid=8b3546,False
1683957733,thenowmassage,CeO89G_g0TY,True,Level up your massage with our Deep Tissue Enhancement NOW.⁠,922,1522,1654024170,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/285025991_1076697879927919_77726797377512909_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=iOBM9fyD0hYAX9bh6x8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAvtST9XcJahzuxgBEh_3qFFIzHsK1zJ7ZQKYTcICwz2g&oe=65E53C22&_nc_sid=8b3546,False
1683957733,thenowmassage,C4BkYHXP3sJ,True,Disconnect from the outside world & reconnect within ✨🌊,0,83,1709409802,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430942430_389431953729417_2704602038241507950_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=XIbD0c5MfOoAX9ra6h8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB6XrRifJGlbtHM5W3WkFyxl_tBtf-zjH5QkgETqBsjpQ&oe=65E586A3&_nc_sid=8b3546,False
1683957733,thenowmassage,C3-4qgoM_KO,False,Same with that post-massage feeling 😴,7,409,1709319656,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430881750_343439405358107_7669776561019381941_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=hBfjx3FhIBcAX-u13pm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCximOP1yr5qaDmbHlRGpskHTmcpPrjPhb573vAvFYZXA&oe=65E7CC48&_nc_sid=8b3546,False
1683957733,thenowmassage,C38kcG-uQrM,True,"Dreaming of our next massage 💭 

Sleep better, stress less, and get targeted muscle tension relief with our curated list of enhancements: Gliding Cupping, Scalp Renewal, Fresh Eyes, Deep Tissue, Hemp Calm Balm, Gua Sha, Herbal Heat Therapy & Prenatal Glow ✨",13,59,1709242244,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430877767_413533637894624_7511536393356282359_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=oPvEXq2BYLYAX_jnEQv&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCLKM58nqDYTvbPY1AH9rZo9JEB-4Z62NbprMArpoV8Bw&oe=65E5AE84&_nc_sid=8b3546,False
1683957733,thenowmassage,C36MnoTuD53,True,"Wouldn’t want to be anywhere else 🤍
⁠
Make massage a monthly ritual and enjoy regular savings, perks and more. Join NOW at our link in bio ✨⁠",8,172,1709162391,"{'id': '100255341963153', 'has_public_page': True, 'name': 'The NOW Massage Lower Greenville', 'slug': 'the-now-massage-lower-greenville'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430258564_1429782267971812_6074544124396882760_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=LMhs3YGFIogAX-xcqCc&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB9puI0kPDuDpkk2-SgBTiOGfOPMklz7Qzt6Tt5iSOoeg&oe=65E58EC5&_nc_sid=8b3546,False
1683957733,thenowmassage,C33fqo9rpDn,True,Our favorite ritual for staying relaxed & recharged all month long ✨,10,245,1709071807,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429911846_1117307045968572_6437296759278797355_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=InhJ-cUX1BkAX-uKu0d&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBzc2XoDruk1h2t4R4mki9BXrIj4svjTYCOxTWvHNeYPQ&oe=65E55DE1&_nc_sid=8b3546,False
1683957733,thenowmassage,C300BtHyK3S,False,Here’s your Monday reminder to slow down and live in The NOW ✨,14,576,1708981636,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429808159_363286243215843_4657987067076059807_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=kAbLDXFT9c0AX9c0RKc&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDV3hejXu-1DBYRvi_Yxx6PAGqIvTMjvUeOaq-tgyXkVw&oe=65E88B5D&_nc_sid=8b3546,False
1683957733,thenowmassage,C3yA4SSLqz2,True,Self-care Sunday goals ✨,9,134,1708887791,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429801812_1096281848289985_611653154279194203_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-hKbM8i0A7sAX98_Zbu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBrVuvkn-WvwoStPE8ebtWw8ODfu4S3pwmsIZav-TXA_A&oe=65E52B79&_nc_sid=8b3546,False
