owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
599175898,hotelsandresorts,C2pVlyntMPY,True,"Drone day in Madagascar 🌍
🎥 @hotelsandresorts 
If you planning some adventures trip this year,put Madagascar on your list.
No tourists ✅
Very affordable accommodation ✅
Beauty like you never seen on other places ✅",105,41539,1706449433,"{'id': '330477739', 'has_public_page': True, 'name': 'Madagascar', 'slug': 'madagascar'}",https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/422581047_1593480961454994_4188379099694034461_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=egcK_78Qv_wAX__QR9p&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBbwDpJnJECxixb_ZS0DzNwW44cemKFTzArgWp9qVaCoQ&oe=65E524E4&_nc_sid=8b3546,False
599175898,hotelsandresorts,Cu2mVE5oJVE,True,"Good night Seychelles 
Amazing views from St.Anne island overlooking Mahe,the biggest island on #seyshelles archipelago 🇸🇨
📸 @hotelsandresorts
📍 @clubmedseychelles @clubmed",263,84031,1689714406,"{'id': '163690630463173', 'has_public_page': True, 'name': 'St. Anne, Seychelles', 'slug': 'st-anne-seychelles'}",https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/361558206_246381034832071_6864985389236741209_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=-sWqAHaxl60AX8VXnWA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCC78FtGsGCB4tI23djboa6zWynpLvKVzw8tlzi31TD-g&oe=65E598AC&_nc_sid=8b3546,False
599175898,hotelsandresorts,CpFLlyWI63N,True,"Welcome to @royalzanzibar Habibi 🇹🇿
🎥 @hotelsandresorts 
📍 #zanzibar 

#nungwibeach #nungwi #zanzibarisland #zanzibar🇹🇿 #zanzibartanzania",307,40866,1677318859,"{'id': '108134701332327', 'has_public_page': True, 'name': 'Zanzibar', 'slug': 'zanzibar'}",https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/332473303_757301639257567_2485828467713457358_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=5HlRtQh58V8AX9NYYe-&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCaU1at88KCrsjDIAwi7aSCdoNHwHDzzHZTcf5I4f7lcA&oe=65E54BDA&_nc_sid=8b3546,False
4357688050,the_essentialist_,C4BjEbgvlQQ,True,"Arrived in paradise. This is @idle.awhile and it is a Five-Star villa located on Jamaica’s famous Seven Mile Beach! There are 6 oceanfront retreats to choose from and it feels so secluded and like you have a piece of Jamaica all to yourself! This is one of those gems that you have to truly experience for yourself. When we arrived I felt like I was entering somewhere that felt like a James Bond retreat. The villas are luxurious with boutique touches and also can come with a private chef! We just loved everything about it and this will be a place we can see ourselves coming back over and over again. Would you stay here?!
.
.
#idleawhile #coupleresorts #visitjamaica #hiddengems #villa #tropicals #negriljamaica",44,294,1709409447,"{'id': '643665809315273', 'has_public_page': True, 'name': 'Idle Awhile', 'slug': 'idle-awhile'}",https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/431064437_892984099175367_2776061621772665654_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=mgCy4U523CEAX9yRHMs&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1eNOGFto34Dt4kQMOHGeDxbFOisTeKzCx17siAo54Xw&oe=65E55D58&_nc_sid=8b3546,False
59603381335,jesiroams,C4BG3KqOHCD,True,"Just another day @comococoaisland where barefoot luxury is the epitome of an understatement 🌴🌊☀️
•
•
📍 Como Cocoa Island, Maldives 
•
•
•
#maldives #luxurytravel #paradise",16,350,1709394385,"{'id': '236896679', 'has_public_page': True, 'name': 'COMO Cocoa Island, Maldives', 'slug': 'como-cocoa-island-maldives'}",https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/430633916_1335049747161430_8349714014842076517_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=u9PKjGppW7cAX9tPmB5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBxpHBPRc5t5OSQh4HptbSa17lH9LnBvVZf5QB_ZwRw5Q&oe=65E5B969&_nc_sid=8b3546,False
599175898,hotelsandresorts,C4ArT71Nmod,True,"Good morning from @hotelroyalvictoriavarenna Magnolia suite 🇮🇹
📍 #LagoDiComo",2,644,1709379795,"{'id': '624512489', 'has_public_page': True, 'name': 'Varrena, Italy', 'slug': 'varrena-italy'}",https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/431219601_949636893379663_6289402991514489880_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=JDuDcWBdAAEAX8K6DK_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB5tffJIgM2nF3YGxNO1z9CeHb7apJdsvN2hv5kppBppQ&oe=65E5B832&_nc_sid=8b3546,False
599175898,hotelsandresorts,C3-s4ixNdzD,True,"By @never_unpacking I'm not sure about staying here 😵‍💫
This is what a normal high tide looks like at the Marine Room in La Jolla.",16,1059,1709313495,,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/430720469_280605721726144_6367467752850085926_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9fERXuY-UesAX_ZaP_I&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBhJSIWnTelt8xOCceOQxYAt3XcU3m--IO-gX72XaRrnw&oe=65E5A320&_nc_sid=8b3546,False
599175898,hotelsandresorts,C3-e2Fmt4fg,True,"By: @uniquepassports Padma Ubud Resort 🌴
📍: @padmaubud",10,1234,1709306193,"{'id': '1019481747', 'has_public_page': True, 'name': 'Padma Resort Ubud', 'slug': 'padma-resort-ubud'}",https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/430690633_973782261089425_5002916976685077283_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=wo7fdG3m7ysAX-z6w9s&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAnoPWg5wdVS55D1F8Y06Py4y1AvMyB3kRXkuLgDysMKA&oe=65E555BB&_nc_sid=8b3546,False
599175898,hotelsandresorts,C394gtktwjA,True,"@theyachtmogul Perfect breakfast view 
📍Color Fantasy cruise liner 🚢",31,4029,1709286039,,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/430413537_1841117659642400_9195605211452570512_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Vyc1Jk7f92MAX-8NpCV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDmSjfjZNk0bGx9y92YI73AnLrCscovhL0jTiuDFBKKug&oe=65E5B286&_nc_sid=8b3546,False
599175898,hotelsandresorts,C378sMJt32S,True,"Welcome to beautiful @hotelvillacipressi a series of buildings and gardens of great historical interest built principally between 1400 and 1800.
Overlooking #LagoDiComo 
Part of @_collection_hotels 🇮🇹",15,1508,1709221098,"{'id': '228750452', 'has_public_page': True, 'name': 'Lago Di Como', 'slug': 'lago-di-como'}",https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/430128722_1102175911032423_4728903024224812527_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Ij3KZxKLbZAAX_EwNlJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA-S0RbNvVy4Eyd_pXJ8q49-jLqusmNDNS0d-WdkZnk5Q&oe=65E5BDCB&_nc_sid=8b3546,False
