owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
8542252,jamesgunn,C38mWMeMSn7,False,"Overjoyed to be announcing the start of principal photography on SUPERMAN today, February 29, which just so happens to be – coincidentally and unplanned – Superman’s birthday. 

When I finished the first draft of the script, I called the film Superman: Legacy.  By the time I locked the final draft, it was clear the title was SUPERMAN.  Making our way to you July 2025.  

#Superman #HappyBirthdayClark #LeapYear #UpUpandAway",8364,457056,1709242899,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/409031862_18416812396030253_5540992131777856111_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=LoKE09ydOkQAX8_36pO&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDXGazLSG83zVMZdHPkAPKStRtF7AtkhwrucXUJTKh2pQ&oe=65E89118&_nc_sid=8b3546,False
8542252,jamesgunn,C3qExTkPYpl,False,"After the table read with the #Superman cast. Eve, Mr. Terrific, Superman/Clark, Otis, Lex, producer Peter Safran, Jimmy, Metamorpho, Lois, Hawkgirl, me, Guy, The Engineer all together for the first time! What a wonderful day.",3820,308473,1708621316,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428710912_18415604245030253_7787245162777712944_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5_gG51EY0ZUAX_uuhUZ&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAX7Brh4KRiDWtP84_qMEtwNuJCgvBhiniTY44ijn2NRQ&oe=65E85018&_nc_sid=8b3546,False
8542252,jamesgunn,CrLasVar__P,False,"I’m honored to be a part of the legacy. And what better day than #SupermanAnniversary Day to dive fully into early pre-production on #SupermanLegacy? Costumes, production design, and more now up and running.",11794,731929,1681822818,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/341844937_779803563540767_340099554772389430_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=n10AUEa3aMsAX9ADB6U&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAfAEMP6kMxQATncqzR-ww604JIE-9llf0bVkszCrQAfw&oe=65E9070A&_nc_sid=8b3546,False
8542252,jamesgunn,C3-qlKPsqcq,True,Three’s company. #Superman,1852,127959,1709312265,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430595482_1563698164406403_7329355887688946161_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=8k8_tFA4KP8AX9lHWXK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAYeG8_J8eNVhRLNIZTte_1sfwJ2jRAlM40DU3u1QfM8A&oe=65E58560&_nc_sid=8b3546,False
8542252,jamesgunn,C33d5G1Pu8G,False,Happy Birthday @steveagee.,174,31466,1709070695,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428693156_18416486035030253_5546111070000880270_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=SgkErlRlXCEAX-WJ3wI&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDTz-XBiIDkQnOCPeFfhsf1M1OE4SYqkJPZy-2g7okMHw&oe=65E8E8AF&_nc_sid=8b3546,False
8542252,jamesgunn,C3oqZy1AOso,False,So pleased to be a co-owner of the Westwood Village Theater with this incredible group of filmmakers.,819,82914,1708573938,"{'id': '524536025', 'has_public_page': True, 'name': 'Westwood Village, Los Angeles', 'slug': 'westwood-village-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428640319_18415517023030253_2531581891235119483_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=LnXQvsbmoHwAX8QHo0v&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfD-xGXVsry1M7cUbenS9o8y-UjgdKv2I6kzVY6SvC8ScA&oe=65E9AB02&_nc_sid=8b3546,True
8542252,jamesgunn,C3n4hH5vfbH,False,With Freddie Stroma & @jenniferlholland showing them around the #Superman sets (no they’re not in the movie).,1382,121271,1708547783,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428684405_18415471396030253_230688765631215850_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=gNnA5_tq6noAX-ukGRx&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBjlNeZMUPea2bi08vPKf16aNBAo9QKJgD1a5QgyMoPPA&oe=65E90878&_nc_sid=8b3546,False
8542252,jamesgunn,C3dExyPAaxI,False,"Happy #Caturday.
(At least it is for #EmilyMonster.)",309,20885,1708185112,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428633443_18414757711030253_7813060072376108494_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=z-3JHp0Cu34AX_OKGvg&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBR_XF9PuF4Uq0C8tl_tTDZpXWGuwFnDLOFhY-9OmoAZg&oe=65E966EC&_nc_sid=8b3546,False
8542252,jamesgunn,C3N3cg6PJVv,False,"A follower on Threads asked me if there are any #Batman comics runs NOT by Grant Morrison or Frank Miller I’d recommend. There are so many! The Killing Joke, Son of the Demon, The Court of Owls, The Long Halloween, A Lonely Place of Dying, Whatever Happened to the Caped Crusader?, Hush, City of Crime, The Monster Men - and so many more! But I also think it’s good to have a great collection like 80 Years of Batman to see the many fun, cultural, & dramatic shifts in the Dark Knight’s tone. Comment with your favorite Batman comics run or graphic novel below!",2421,111717,1707674806,,https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/426355691_18413723713030253_5576958271134027754_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7-ttUaeEcFQAX8vR_QD&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfChsQBety6l50q0QGl72ziqmx160NwkqBsB57_vtNhyIA&oe=65E81A32&_nc_sid=8b3546,True
8542252,jamesgunn,C28jR2qgcpv,True,Thank you @saturnawards for Best Comic Book Movie to Vol. 3 & thanks to Kevin Feige & @simon_hatt for accepting & their kind words (and thanks to @stefceretti for this video!) ❤️,492,60492,1707093873,,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/426015808_958104862392615_5025908296830703362_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=9s2z3mDwEesAX-y1Th_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCabiW-AQqBcEGipAcVeGOHN1s34bk860Wduxj3dHa3Uw&oe=65E578B2&_nc_sid=8b3546,False
