owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
17501629,jaydepierce,C3-KqqRN4Mj,True,"With Mother’s Day approaching, I decided to treat my mum (& myself) to some of @jomalonelondon’s iconic scents! If you’re looking to treat a loved one to a special experience, book a complimentary hand & arm massage or personalise the perfect gift 🫶🏽AD #JoMaloneLondon",41,2221,1709295671,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/430835845_427117343040105_5148602029784174908_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=q9bY5FgwkYAAX9SZ6MN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCjSsYkhyAuDS0U4llsQR-Sfr9WC6Jo3zYGuEOu7f4djQ&oe=65E5B651&_nc_sid=8b3546,False
17501629,jaydepierce,C34_Hv8tfwQ,True,"If you’re looking for products that combat stress-ageing… I think you’ve met your match! The @clarinsuk Multi-Active range is designed to help our exhausted skin combat the effects of our active daily lives. The creams key ingredient is niacinamide (one of my fave ingredients in skincare) which targets the first signs of ageing!

I’ve been using the Multi-active range for around 3 weeks now and I’ve honestly fallen in love. My skin is usually the literal desert in the winter and I’ve experienced next to no dehydration this winter so far! Along with the other benefits, I highly recommend the range! 🫶🏽
#AD #ClarinsMultiActive #StressAgeing",15,778,1709121943,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/430881811_433805199002145_5102151369703250358_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=EsSwbh0YUVgAX849yKQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-hAZXMFOV2Ex7DYCkMK0I1UdRanF9ASMmmwh04g7ilA&oe=65E55D64&_nc_sid=8b3546,False
17501629,jaydepierce,C33IZ0jNMIu,False,"The fringe grows every two days

📷 @rebeccaspencer_photography",93,6089,1709059428,"{'id': '213385402', 'has_public_page': True, 'name': 'London, United Kingdom', 'slug': 'london-united-kingdom'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/430138816_1106203673899423_1903838044583342546_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=00m0lkHFGTQAX9dLZTN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCJGEbbrqkJ_-Lu6OU8LUqfXVatBt2MAUSCaSq-zPJXFA&oe=65E840E8&_nc_sid=8b3546,True
17501629,jaydepierce,C3naoimNcqo,True,"A couple of weeks ago I posted a first impressions video using the @clarinsuk multi- active range and I LOVED it! I’m glad to say the obsession continues!
The multi- active range combats stress ageing that is caused by our increasingly stressful lifestyles. Stress accentuates 8 signs of ageing: pores, lack of tonicity, fine lines, signs of fatigue, lack of glow, uneven skin tone, blurred features and dehydration. As much as I try not to stress, life happens so if I can combat it with skin care then I’m half way there I guess! #AD #ClarinsMultiActive #StressAgeing",31,1060,1708532364,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/429464811_3586900291626734_4974352976129454755_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ipkn_ML0gx0AX9An84d&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDC_ELKFTVlTGpKnanyetM1jjyR2We3Il-4NBO8Naix3A&oe=65E540E9&_nc_sid=8b3546,False
17501629,jaydepierce,C3kvJVHNP-3,True,"The face serum that gives you an instant glow! AD @dalba_global white truffle spray serum is a multi use product that you can use on your bare skin, on top of makeup or to refresh your face or body throughout the day. Their signature ingredient is white truffle which is an antioxidant that improves skin elasticity and smoothes fine lines 🫶🏽 #dalba #dalbasprayserum #truffleglow #dalbahood #amazonfinds",50,655,1708442438,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/429170534_1790657168074424_5508861880858752174_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=YorblAe5YeQAX-19p7N&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAH-3QTwPArSc7HvdKbQ1j_BB00ZL3DXREePyJXG-bfOQ&oe=65E5ABE6&_nc_sid=8b3546,False
17501629,jaydepierce,C3iFHjFtVog,True,"Getting ready >> leaving the house

Products:
@anastasiabeverlyhills brow freeze
@refybeauty brow pencil 
@embryolisseuk lait - crème concentrate
@charlottetilbury beautiful skin foundation
@narsissist radiant creamy concealer
@charlottetilbury beautiful skin sun-kissed glow bronzer
@refybeauty cherry cream blush
@refybeauty gloss highlighter
@hudabeauty easy bake (shade peach pie, I think I still prefer shade blondie on me though)
@fentybeauty sun stalk’r bronzer
@refybeauty brow pomade
@maccosmeticsuk chestnut lipliner
@anastasiabeverlyhills lip velvet (peachy nude)
@shiseido crystal gel gloss 
@fynecosmetics forever fyne’liner (deep brown and black)
@tatcha dewy skin mist
@louisvuitton attrape- rêves perfume 
@gisou honey infused hair perfume",156,15275,1708354510,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/429308710_841757551053429_1370598599558346617_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BdK5UsSX9foAX-Biyll&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfACJqqXVx802bbykfQYJmSXabOwN-MQBWk3OSxXTjSULg&oe=65E53D6B&_nc_sid=8b3546,False
17501629,jaydepierce,C3OD6gONIK4,False,"Sometimes the last minute looks be the best ones! All dressed up for dinner with @lorealparis 🫶🏽

Hair @touchhairstudio_ 
Dress @houseofcb

#makeup",381,21769,1707681343,"{'id': '213385402', 'has_public_page': True, 'name': 'London, United Kingdom', 'slug': 'london-united-kingdom'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/426581143_1439808780302181_8712555859274992166_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=OFtnyaSmjT0AX-KFwBM&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC31Hy2ZbaqX_EtNOQuc2d42BbOt6kgiMSi-00RAafcrA&oe=65E95C20&_nc_sid=8b3546,True
17501629,jaydepierce,C3ItJA4NsKj,True,"Everything you need to know about my recent hair change with @beauty_worksonline! ✂️ AD

Wearing @beauty_worksonline 24” invisi tape extensions in shade natural black 
Hair installed, cut and styled by @kirsten_finnigan_hair at @harishair 

If you have any questions let me know! 🫶🏽",191,4778,1707501759,"{'id': '213385402', 'has_public_page': True, 'name': 'London, United Kingdom', 'slug': 'london-united-kingdom'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/426303243_254384570945284_6884686059557898922_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-RXLdlDtDIAAX_vCcmy&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC5LVlvnjGfelBSlhesdXniAk0iQFuOS6b6bEapS54_PA&oe=65E5AA3C&_nc_sid=8b3546,False
17501629,jaydepierce,C3GLaDNt05V,False,🛁🫧🤍🧖🏽‍♀️,700,99885,1707416836,"{'id': '213385402', 'has_public_page': True, 'name': 'London, United Kingdom', 'slug': 'london-united-kingdom'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/425867762_1130239424563165_5287654689150526807_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=tzQqpU2_qV8AX-Zjjuc&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBJ_eZs9gymgqwSTCz5hcRIEuKR0WPEV5oNiZQNWysIyQ&oe=65E8C04E&_nc_sid=8b3546,True
17501629,jaydepierce,C3DNJ7gNiz_,True,"First impression videos is something I want to do more of this year and we’re starting off strong with the @ClarinsUK Multi-Active range!

First impression round up: honestly, it’s exceeded my expectations! I Instantly noticed my face looked plumper & smoother and the glow it gave me lasted ALL day. I’m going to keep testing it to see how I feel over the next couple weeks but so far soooo good 🫶🏽 #AD #ClarinsMultiActive #StressAgeing",29,946,1707317176,"{'id': '213385402', 'has_public_page': True, 'name': 'London, United Kingdom', 'slug': 'london-united-kingdom'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/426479146_1545945409513247_5129149986389247352_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rlciI43IOGkAX_LTVCJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD52nYq4NavmfftB2FPEj7cyFdjfEEo_jD9HDkPhLkmKw&oe=65E5B6E5&_nc_sid=8b3546,False
