owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
225429667,joelsartore,C4BCasROYEw,False,"The neon pink blackcap basslet is a species of fish that calls the western Atlantic Ocean home. Commonly found in deep waters, this fish inhabits reefs, and when frightened, will hide among rocks. Blackcap basslets are considered highly territorial and do not like to share space with other basslets or similar looking species. In the wild, they feed primarily on small invertebrates. Photo taken at Nebraska Aquatic Supply. 

#basslet #fish #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",23,6060,1709391834,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430595476_291175933987065_8353164930185309156_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=i8QeuqrL4lYAX-4Xes7&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfARO5wlXUBzK_MUYyocgSrsaaERZBYeLyb0DUrYzccKaA&oe=65E8B358&_nc_sid=8b3546,False
225429667,joelsartore,C3-WD-CuUPM,False,"Exciting news out of Kenya! Wildlife partners from Kenya and the US have recently opened a new 250 acre sanctuary for the endangered mountain bongo. Once plentiful throughout their range, it is estimated that there are less than 100 mountain bongos remaining in Kenya as a result of over hunting. With the opening of the sanctuary in Meru County, locals vowed to never hunt the species for meat again, and stringent measures have been put in place to protect and multiply their numbers. Partners are hopeful that the arrival of 25 bongos to Kenya, sent from @rarespec Foundation’s breeding center in the US, will signify a brighter future for the species, bringing it back from the brink of extinction. Photo taken @nczoo. #PhotoArk",35,7034,1709301470,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430404509_764409435656100_3345015588982904275_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=VItXocq3w5cAX_NPByD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDkIeGmkAyzc14Hy9jblWHIghOyFPBY440ff3SxNZJhgQ&oe=65E865ED&_nc_sid=8b3546,False
57601166705,natgeobooks,C38Dpy6uFDv,True,"Video by @joelsartore/National Geographic Photo Ark | Happy leap day from some leaping Photo Ark animals! A juvenile red-necked grebe, two western spadefoot toads, an eastern grasshopper sparrow, and a male Bullock’s oriole leap to celebrate.

Learn more about #PhotoArk and @joelsartore’s quest to photograph the world’s species at the link in bio and see many of Photo Ark photographs in the Photo Ark book series.
 
#leapday #leapyear #wildlifevideo #grebe #toads #sparrow #oriole #birds #natgeobooks",11,2333,1709224971,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430853159_414429781072241_3312781159814817953_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Z6bifuFzN60AX-LTwyB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCATXZPz08pNe3qDTm9piKryCaQ5uwluvfS9wU2QO1mMA&oe=65E5BBB4&_nc_sid=8b3546,False
225429667,joelsartore,C37xtntu2cE,False,"Red-bellied squirrels like this one call southern China, Malaysia, and the mountains of Taiwan home. Like most squirrel species, they rely heavily on a diet rich with leaves, fruit, seeds, nuts, acorns, and even the occasional insect. To ensure that their bellies stay full all year long, these critters will actually adjust their diet to align with seasonal food availability. In winter, they’ll consume flowers from the camellia tree, then transition to a leaf-based meal plan from April to May. Come summer, fruits become the primary food source, and as the year comes to a close, they’ll pivot one last time, feasting on ants before they head underground. Photo taken at WildOne Wildlife Conservation Association in Taitung County, Taiwan. 

#squirrel #redsquirrel #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",8,5629,1709215304,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430211777_432686572438988_3076197933824362769_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=jDNJTQq79K0AX_nbQU_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB48gMZEUsa7KDrvgO1wF8wiW3wl-aTvAuO82GwBrTwRA&oe=65E90EDA&_nc_sid=8b3546,False
225429667,joelsartore,C35PVZJu7tZ,False,"This juvenile golden-mantled howler monkey had plenty to say during our Photo Ark shoot together. As their name suggests, this is not an uncommon trait for this species, which relies on vocalization as a primary form of communication. In the wild, the calls of these monkeys can be heard up to three miles away, which helps social groups stay in contact with one another as they navigate through their forest home. Photo taken @laspumascr. 

#monkey #howlermonkey #primate #mammal #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",19,7042,1709130171,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430177804_414270407640237_1853746890030818977_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=P6QWXldbqd8AX-CWtVm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCZRIE5tkbWkwj7G00KPbx0WZcePrkhz_FH_6z6v-8sJA&oe=65E80620&_nc_sid=8b3546,False
225429667,joelsartore,C32tCAdORX0,False,"Polar bears like Koluk have been melting the hearts of people everywhere for decades, yet despite their popularity, the species has continued to decline as many of us find it difficult to know how to save a species that is threatened by an issue as large as climate change. This #InternationalPolarBearDay, become a polar bear protector by reducing the amount of electricity you use. Start by bundling up in extra layers instead of running your heater, or pledge to walk or use public transport instead of a personal vehicle whenever possible. Simple changes like these can do a lot to cut back on energy use, which helps to reduce carbon in the air and reduce global warming. Plus it saves you money! Photo taken @abqbiopark. 

#bear #polarbear #Koluk #mammal #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",11,4749,1709045078,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429827738_1151577162883900_6961356408075213737_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=IXXxTHbTZF4AX8uLslP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfADHRZsT4GIFU9xQOBHrQZECbyKFMQDjJOsD9-ygKinOg&oe=65E8DFC4&_nc_sid=8b3546,False
225429667,joelsartore,C30DoV8ONSe,False,"In 2018, scientists announced the discovery of a new species of freshwater turtle - the Southern New Guinea stream turtle. Found in Papua New Guinea, this species was found to have evolved with two other species from a single common ancestor 17 to 19 million years ago. This is an exciting discovery as it indicates that these turtles witnessed the full geological development of New Guinea, unlike other species which appear to have arrived after the island had fully formed. 

#turtle #streamturtle #reptile #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",20,6512,1708956263,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429913729_1104567004204398_8114384294432445053_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=D7v2v4pA8hgAX8-1bEd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB2lrm8ggAhHNr31YKgIEspWvtTmsUDuLV0ZqYywZGceQ&oe=65E8F624&_nc_sid=8b3546,True
225429667,joelsartore,C3xjqQKufMA,False,"This cutie is a Philippine forest roundleaf bat @up.edu.ph. Common throughout its range, this bat inhabits lowland and montane forests where it can be found roosting in caves, mine shafts, and hollow trees. Active in the evenings, the roundleaf bat can usually be spotted snatching up insects to feed on as it navigates throughout the forest. Logging may be leading to decreases in this species’ population, but this bat has been spotted in several protected areas and is not currently believed to be at risk of extinction. #PhotoArk @insidenatgeo",11,5530,1708872392,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429567367_414091244460696_2750441604800825010_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=scEHRPbpCfMAX9zxl6R&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA1jf6bK2Rdi0TqjiKioJ9lktSvGWM_CE6zsyeT1Kv7kA&oe=65E9A8FF&_nc_sid=8b3546,False
225429667,joelsartore,C3uul_Mup74,False,"This beauty is a Gordon’s wildcat I photographed @zooparkzajezd. Similar in size and appearance to a domestic cat, this species is endemic to northern Oman and parts of the United Arab Emirates. In this semi desert landscape, the Gordon’s wildcat spends its day sleeping, concealed in rock crevices, hollow trees, or empty fox burrows. At night, this cat emerges to hunt, feeding primarily on small rodents, birds, reptiles, and small insects. The Gordon’s wildcat is regarded as one of the most threatened subspecies of wildcat, largely due to loss of habitat for agricultural purposes and hybridization with feral, domestic cats. 

#wildcat #cat #feline #animal #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",17,7622,1708777461,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429650612_1402283247317760_8153275314141936962_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Ob0VE7_BBWcAX_9qzf0&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCN7LTJ5N0lttf9SrRGtKjl4j2Xj59m_u3rOiaDwkZSIw&oe=65E8BD0F&_nc_sid=8b3546,False
225429667,joelsartore,C3sX6WUu6T8,False,"Ostriches, like these two @albustanzoo are the heaviest living birds in the world. While they may not be able to fly, these birds are quick on their feet; capable of running up to 40 miles per hour, outpacing impressive predators like lions, leopards, and hyenas. On the off chance a predator is able to catch them, ostriches will deliver a powerful kick in order to defend themselves. A single kick from an ostrich can be fatal, delivering up to 2,000 pounds of force per square inch - that’s twice as powerful as blows delivered by professional boxers! 

#ostriches #birds #animals #wildlife #photography #animalphotography #wildlifephotography #studioportrait #PhotoArk @insidenatgeo",15,6125,1708698460,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429456315_710047901289107_5299431331980731383_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=uXamFu2F9hQAX9C9eIO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD1LaPGsYA_yeACsbZXrO2zs-GTozQJmb7BGSWsYcBF5g&oe=65E955AD&_nc_sid=8b3546,False
