owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
17518581,karinalarrauri,C33UuuoOH1p,False,"Mi lugar seguro.

A(Mar)",73,2257,1709065891,"{'id': '293434032', 'has_public_page': True, 'name': 'Samana, Republica Dominica', 'slug': 'samana-republica-dominica'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429793422_18418479931046582_7014255938364718657_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GOX-XnAHhCQAX8jBLtP&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDzvpcsCesIEm7KqBpZmnKDHp4PCuM5JLBv0P0aIgMzJg&oe=65E95F28&_nc_sid=8b3546,False
17518581,karinalarrauri,C33IdshuOrr,False,"Un finde para guardar de recuerdo. 
Unos días disfrutando de esta tierra que hoy celebra un año más, libre e independiente.

Privilegiada con estos paisajes y cada vez más enamorada de mi isla. 🇩🇴♥️🤍",60,2983,1709059460,"{'id': '293434032', 'has_public_page': True, 'name': 'Samana, Republica Dominica', 'slug': 'samana-republica-dominica'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429674621_18418467013046582_571824125833595977_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=r0mOXNg7occAX-xTi-X&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCLudLFbnDQ_iKcTMbJfr0cBM8oRu7022h4AkbRZrhcog&oe=65E991F7&_nc_sid=8b3546,True
17518581,karinalarrauri,C30IiRyO6Xm,False,En mi lugar favorito. Samaná.,56,1533,1708958834,"{'id': '542971604', 'has_public_page': True, 'name': 'Playa Bonita, Las Terrenas (Samana)', 'slug': 'playa-bonita-las-terrenas-samana'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/429803154_18418265809046582_2275923875778195178_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=guL20qu3rW4AX9CG-eS&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDLj5N3sFwyN-zVWCYuouAR6TyVTC1Zjqc0tf8aN71qmQ&oe=65E8BAF5&_nc_sid=8b3546,True
17518581,karinalarrauri,C3vTVSgufp0,True,"¿Quien quiere un chin? 😂

Viendo el encarte de #deliciasdelmar vi esta idea de tuna con maíz y en 5 minutos estaba listo y delicioso.

¿Se animan? ¿Ya vieron el encarte?

@supernacional #lagrandiferencia",34,338,1708796932,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429443685_1052373369160359_352438106993681583_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=OwDmhlkC9NUAX9UqC0r&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBE6NUf6vetBys1nqMmzcezhUgRgQ0iwoJ2dR6hpVFL_Q&oe=65E525DB&_nc_sid=8b3546,False
17518581,karinalarrauri,C3shgBJOiaf,False,"Entristece ver como el gobierno, @intrant_rd @digesettrd siguen sin espantarse por el caos imperante que provocan muchos motoristas (para no generalizar) que andan por las calles como dueños absolutos de la ley e incluso de la vida de los que circulan en las calles o caminan en las aceras.

Vemos como cruzan los semáforos en rojo, incluso frente a la misma autoridad, poniendo en riesgo la vida de otros. Andan en la aceras, en contra vía, sin cascos, sin papeles y de manera violenta porque ya tienen el permiso para infringir la ley. El gobierno se lo ha dado.

¿Cuantas vidas más perderemos? frente a una ceguera intencional de las autoridades.
¿O valen más lo votos del partido que la vida humana?

¿No es la ley igual para todos?",113,989,1708703488,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/428649285_18417746137046582_1769233309576013170_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=uWJXzYrhDyQAX_fJGAg&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDTEGwvAVnzDorHPOd8VrHP_EAadMd1U8T3jlb4KI3OvQ&oe=65E8F250&_nc_sid=8b3546,False
17518581,karinalarrauri,C3nMilTuGcL,True,"¿Cuál es tu rutina mañanera?

A veces restamos importancia y hasta vemos como mal la costumbre, los hábitos diarios. Queremos que todo sea diferente cada día sin apreciar los momentos que se repiten para proporcionarnos paz y estructura. 

Esta es parte de mi rutina de todas las mañanas y sin ella mi día no empieza bien. 😀",111,915,1708525018,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429176585_24690403637269948_8896003815351711790_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=kTVFhRaIdecAX-jaGUH&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCsR1VCLn2FE_2e_ex9NMZwThphZ9wI-GPmWMcdfUpOvA&oe=65E530AE&_nc_sid=8b3546,False
17518581,karinalarrauri,C3k7I5vux_I,True,"Esto no es más que una conversación entre amigos. Mucho sin sentarnos a hablar.

Placer siempre amigo @jhoellopez01 estar contigo en @megustadenoche 🤍

Vayan a verlo en YouTube completo",65,3362,1708449208,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429173527_1428282688123363_3776150027630440221_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=sqp6RLPhoioAX-gr9EN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAY0dktV-e1P6gcrk8QQenKKT-6PDxKupjxNKZk6dI2kQ&oe=65E56868&_nc_sid=8b3546,False
17518581,karinalarrauri,C3gbkFUO4Xt,False,"Hoy lo hicimos. Cumplimos con nuestro deber y un derecho que no podemos permitir que nos arrebaten.

Felicidades a todos los que salieron de su casa a votar.

@juntacentral 
#EleccionesRD2024 
#VotaRD2024 
#EleccionesMunicipalesRD2024 
#Elecciones2024 
#JCE",5,368,1708297722,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/428636441_18416959975046582_3335799991625752428_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=_Ba5tFoNOYUAX_SIRav&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCc5HBJWRy0VrFnzYJOhGzBhe8C9JqDFVrfTyKhbrOnZg&oe=65E8773B&_nc_sid=8b3546,False
17518581,karinalarrauri,C3ddxxYOLzd,True,"Hoy le robé a @adriavictoriam a #HolaSoyMauro y me lo llevé de paseo para @cafesantodomingo 

El hizo su propio pedido y yo me fui a probar las bebidas de temporada que nos recuerdan el orgullo dominicano con nuestros Dulces típicos en cada bebida.

Yo me pedí el #CocoJalao …. ¡Espectacular! 
Tiene un sabor a coco tostado increíble, con dulce de leche, café y súper cremoso. Tienen que probarlo.

Vivamos nuestras tradiciones con estas bebidas.

Hoy estuve en  la sucursal de Acrópolis y Mauro hizo algunos amigos nuevos 😂

#LoMejorDeLoNuestro",22,409,1708198880,"{'id': '261250028', 'has_public_page': True, 'name': 'Acropolis', 'slug': 'acropolis'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428088788_1843058046140905_7615009007536407225_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=WOg1G4_KUFsAX8iH95_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCG2Yc0VjL4zp66pdYTRHbrIAkeGZkfyBR08MznUdBNug&oe=65E57824&_nc_sid=8b3546,False
17518581,karinalarrauri,C3YjZgjOU1D,True,"Tenemos que hacer la tarea antes del domingo y pensar en cómo piensan nuestros candidatos sobre los temas más importantes de nuestro país.

Este domingo eliges regidores y alcaldes

¿Sabes cuáles son las propuestas?
 ¿Que regidores representan tu sector? ¿Que han hecho por el? 
¿Que credibilidad tienen?

@juntacentral 
#EleccionesRD2024 
#VotaRD2024 
#EleccionesMunicipalesRD2024 
#Elecciones2024 
#JCE",9,317,1708034359,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427377268_1523362451563346_5285999766675956083_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=TFt_c6DTvyYAX9W5MuV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCUUdrktIQvy54doSEJ2Gorb06OqtmXJFexoovZwK-tuQ&oe=65E563D9&_nc_sid=8b3546,False
