owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
5651147,kelsrfloyd,CzHAOlmuTtY,False,"I’ve been waiting to share this for a while, identical twin boys! 🤍",1121,59451,1698854595,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/396265864_18395786728019148_5401485643761648178_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=1KMrGjS5vgcAX9CMmjb&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBiNMRzEV2AYqGWHo3szLYH7pJcjeWE1EgG2pI1eC4clA&oe=65E8CEC6&_nc_sid=8b3546,False
5651147,kelsrfloyd,CjqpgvLPlzL,True,Some behind the scenes with this piece. I really love exploring the mixed textiles. I feel like it gives me a whole new realm of creativity beyond just clay. 🫶🏼🏺🧺 #potterylove,638,69723,1665691083,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/310974388_666643401451894_2265362352845051515_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=T168Sg_f0UUAX9yk0M9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCEXVtrpmmpMlQ5Q1kl8ntJFHATFZhqsSbCJ0DkJiIA8Q&oe=65E5A548&_nc_sid=8b3546,False
5651147,kelsrfloyd,Chkxm7UhILz,True,My pottery journey in under a minute 🥲🏺 #potterylove #ceramicartist,1747,224930,1661198919,"{'id': '213124046', 'has_public_page': True, 'name': 'Tampa, Florida', 'slug': 'tampa-florida'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/300653180_3359656044265466_1461477943432807474_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=x0ARg1qB9DAAX-VqHpF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBBFLI_wksLirh0nHpRRdTsumYbVPHGiZ680efPtxDJ-Q&oe=65E59BB4&_nc_sid=8b3546,False
5651147,kelsrfloyd,C2dV0QVxg9z,True,"Throwing some forbidden chocolate today on the pottery wheel 🍫🏺.
#pottery #potterywheel #potterylife",111,33539,1706047076,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/420647164_343724411879299_360862418402997461_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=1yi9OeXjTtkAX-lTuub&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD_tZw7rF0LNZlBj4-TIndz6XmDElJAJfsN3g34LixlsA&oe=65E54AE5&_nc_sid=8b3546,False
5651147,kelsrfloyd,C2aWT7cxK-e,False,"6 months with the twins this week 🌞💛 I’m still doing my pottery girly things, just doing my projects at a lot slower pace. 🐌 I’ve been working on commissions for the last few months and I’m nearing the end of them so I’m looking forward to working on a new collection starting this month! 
The babies are doing good. I wasn’t sure how well I would feel this far in with a twin pregnancy. Some of the weeks have been tough on me but I still have a lot of good days. They’re moving a lot, which is wild feeling double the movement. Thank you to everyone that has been messaging me checking in. I’ve just been in my little bubble making pots and babies 🫶🏼",151,22397,1705946158,"{'id': '213124046', 'has_public_page': True, 'name': 'Tampa, Florida', 'slug': 'tampa-florida'}",https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/422134290_18411402748019148_5055365864702592613_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=BZVTsN_RPJ8AX-BpWTP&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCM4rzZzlxpb1bwg9kanOKsbyRnpXHpLsy__ogG-O9YkQ&oe=65E826FA&_nc_sid=8b3546,False
5651147,kelsrfloyd,Cz4HuTCxqJM,True,"Dressing the bump 🕊️ I feel like this outfit is a good mix between Arwen and the White Witch from Narnia 🤍.
Poncho and top from @zhenabia 
Skirt from @dissh 
Boots (oldies) from @revolve 
Purse I found at an estate sale",192,24610,1700503088,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/403880423_6705209292931646_8888474320960915842_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=KdYLeERvbt4AX_z0S-A&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC7vnUB469EMGIWQljWIoEZoTpHYjAYYiU2myqSCeP9HA&oe=65E52BBE&_nc_sid=8b3546,False
5651147,kelsrfloyd,CzPXBVYxGEc,True,Some bts of making my Juno jars. 🏺⛓️ This was one of my first ceramic chain designs and I always get excited when people commission them. 🤍 #potterylove,65,7898,1699135205,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/398871155_899977908344271_1448196761958621341_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=-dbDE7CQs6kAX_ic1q3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAO7N9Ba9FgdV18D8gtKeSAoQ0GhasN41eXaY0BwcZP0A&oe=65E54E39&_nc_sid=8b3546,False
3267745678,adorno.design,CxyJ_VHs-D9,True,"Kelsey Floyd
	
Starting pottery in early 2020, pottery was a way to connect with the peace and harmony within.

Self-taught, Kelsey curated a studio space in her home and got lost, or more so found, in the endless self-discovery of this art. She believes art and creation are intrinsically woven in the deepest and oldest parts of our humanity and can be tapped into when we come across the right muses to envision it and mediums to release it.

That is the ethos of her art; parts of the mind that can’t be formed into words, but can be sculpted through her hands and shared with those it tethers a connection to. Into things we can hold, adorn, and decorate life with.

Inspired by the natural and ancient elements of our world, her vessels incorporate free flowing curves and shapes while also combining that with the precision and restrictions of chains. Displaying a juxtaposition of unique and refreshing contrasted with the feeling of being unearthed and lost in time; her vessels are intended to connect with a sense of familiarity to who we are.

All of her vessels are hand-thrown, the chains and chainmail are hand-sculpted, and the pine needle is woven by hand. While creating, she works with the clay to bring out the organic curves and bends of each piece. She then adorns each piece with chains, chainmail, and/or pine needle. While chains and chainmail usually have a restricting nature, it creates interactive mobility with her pieces. The surface expressions, colors, and textures come together to create a valiantly organic and uniquely spirited form.

Visit Kelsey's showroom at adorno.design
.
.
.
.
.
#ceramics #ceramicsart #ceramicdesign #ceramicdecor #pottery #stoneware",68,10584,1696007796,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/384812526_1674826779595294_5188021149631604352_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=EI2MH0E_7aUAX_8rvL2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDZm3aj-txikLYWH1BA8Gz7ndcXzl7iir_jiYmjMentsA&oe=65E5778A&_nc_sid=8b3546,False
5651147,kelsrfloyd,CwqDXbWR-07,True,"This outfit 🪞🤍✨🧝🏼‍♀️🪽🌷.
Dress @becauseofalice 
Earrings @cultgaia 
Shoes @alohas 
Hair snakes @alfashandmadejewelry 
Necklace @apsarajewels 
Metal clutch from @thekarmaplace",157,25914,1693588266,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/373673551_626106299591888_8804127122521118289_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=aif9N4QBJaIAX_yjcrn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAvkxOWOkT3EKisw9o4QvrKJrUwL6ZzIxAEPlF2KbuJAg&oe=65E5AF17&_nc_sid=8b3546,False
5651147,kelsrfloyd,CvrvomAu4q_,False,Last sunset of my 20’s last night 🌅🎂🦁,258,24773,1691497474,,https://instagram.flba2-1.fna.fbcdn.net/v/t39.30808-6/363445245_18379780375019148_3160458010426018433_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=cjN1LsoyPCQAX9H1giZ&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBxZN3qZp1izJVZfhJWjmWveVHSmirIPXrCrC83xmHulg&oe=65E98ED5&_nc_sid=8b3546,True
