owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
930127230,kochifaraj,CxfkXtHsstV,True,"“This Song in the Video Evokes a Friday Vibe” 

#dubai #stockholm #barber",44,3169,1695384002,"{'id': '213281320', 'has_public_page': True, 'name': 'Dubai, United Arab Emirates', 'slug': 'dubai-united-arab-emirates'}",https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/380961374_847612867154865_3551400237352639328_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=tdPzlqYQ4yMAX-bOGjA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAWnOi1MqIk_y-4PR0-B5thap1CT75fU4JmuMT6RhhGWQ&oe=65E59793&_nc_sid=8b3546,False
930127230,kochifaraj,Cw2w9x2sKef,False,"👑 People who are familiar with me personally knows that I'm not one to brag about anything in my life, but today is a special day when I'd like to share something. It has always been a dream of mine to watch this incredible football player in action, but I never had the chance until today. This guy is an absolute legend, and fate led him to my barber chair. How incredible is that?

I feel immensely honored and proud to have had the privilege of cutting his hair today, even if it was just a trim. The trust he placed in us means the world to me. 

@ccfaraj also performed a hair relaxing treatment on him, and the results were absolutely stunning.🤩
#zlatan",503,29088,1694014755,,https://instagram.fssz5-1.fna.fbcdn.net/v/t39.30808-6/374701771_18382000930015231_3482898974681743340_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ZcsuE53gvJgAX-TwEjs&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAM9utMAdDaMXF4KmV7qYZIhQ1zERFUdlLGXj9B53HiHw&oe=65E878D2&_nc_sid=8b3546,True
930127230,kochifaraj,CwKsPtGsCXk,True,"People often asking about my true passion for my work . It’s easy to explain. the answer is quite straightforward. Many barbers and hairdressers resonate with this sentiment. The ability to influence someone’s appearance and enhance their self-esteem is what fuels my love for my profession. It’s powerful to make someone look different and happy 😊 

I saw a documentary about the YAKUZA gang from Japan. I was fascinated by their appearance. This intrigue led me to seek to recreate a similar style with my unique twist. but I couldn’t find the right person with tattoos and piercings. So, I had an idea: I could create the look from scratch. I found David, a sophisticated and classy individual with a captivating personality. even though he doesn’t have tattoos or piercings. I bought some fake tattoos and piercings online and used them to change his look a lot. I wanted him to look like a gang member who was interviewed by fashion magazine. I kept some of his natural style and added a tougher, more masculine touch.

Thoughts 💭 ? 
#dubai #Stockholm #barber #frisör #frisörstockholm",68,3251,1692535904,"{'id': '213281320', 'has_public_page': True, 'name': 'Dubai, United Arab Emirates', 'slug': 'dubai-united-arab-emirates'}",https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/368574197_1784082508697359_4491091860886583670_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=XPsjRBX52NgAX_4n92x&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCdT8-iXsyn3ERM62Fchrj6gan0wsuuETYmg7C9_i8HXg&oe=65E59936&_nc_sid=8b3546,False
930127230,kochifaraj,C39zyxcMEV8,False,Weekend Vibes: Revamp Your Look This Friday!💈,30,4438,1709283504,,https://instagram.fssz5-1.fna.fbcdn.net/v/t39.30808-6/409080135_18414873034015231_2461506472713406898_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=puWUDI9n5HIAX--SaMK&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDUsXc_kBWXDLPKebrEskRJxqrNQRUqFMjB22v1ADvdOA&oe=65E83C4D&_nc_sid=8b3546,True
930127230,kochifaraj,C35T3jKsMSt,True,"No color hair color trend is going strong @wellanordic 
Men’s haircut medium length 
Cut & color by @ccfaraj 

Formula:
#illumina 5/81 6/16 1,9% 
#hairtrends2024#hairformen#haircolorformen #wellanordic#wellahair#colorformen",113,12196,1709132581,,https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/430320347_1517669732136922_2523633349853720990_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=dRMVBjKxNx0AX_jkqYA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAqUubyU4k9HZtoOwYxWE4MdmapWOUoR8wCt5qfOnvIcw&oe=65E54070&_nc_sid=8b3546,False
930127230,kochifaraj,C30Q41fM0Yf,True,"Tiny Tweaks, Big Impact 💈#hair #beard #barber #dubai",62,3092,1708963237,,https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/429830374_900300578547605_2532542311616678575_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=BPaoKPUZB-MAX9NK9DJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBLrOUDT_W-Av6IL6_xJXJprYL2y9vPJls9p1FLYjZEBQ&oe=65E52712&_nc_sid=8b3546,False
930127230,kochifaraj,C3nxi0LsC0p,True,Mid length quiff 💈 #menshair,61,3544,1708544226,,https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/429395856_6930433560418830_8480497105007658164_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=nbwqcpoWhoQAX9IcB8e&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCwCYD-QB1HzI5MJILBMhlUIVQgBszgAeyNuG4SXwDpDg&oe=65E56F52&_nc_sid=8b3546,False
930127230,kochifaraj,C3iocQXsezE,True,Long to short men’s hair 💈,46,2177,1708371858,,https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/428582288_770302941677111_7822547626270632890_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=IQgSR36iiOwAX99NZ6f&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCaM5c1adPE_dkUGckqz2apHyrynu4BFMFaXoqzBLnROw&oe=65E55E29&_nc_sid=8b3546,False
930127230,kochifaraj,C3fbJMjsbGp,True,"Deep 📿 
Upcoming Video: Fresh Hairstyle and Hair Coloring with Natural Shades. Stay tuned 

Cut and color by @ccfaraj 
Featuring Hair Color Products from @wellanordic",93,7253,1708264264,,https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/429093041_1537859227014939_239661790644857100_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=cue9aQipkk0AX_Awk5e&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCptx5hPIboiVM6udCZPBW3XcJ7pSgsgX-DiPw7GZ3mGA&oe=65E5B3D0&_nc_sid=8b3546,False
930127230,kochifaraj,C3dKWDlNZA9,True,🏝️😎,141,23225,1708188106,"{'id': '213281320', 'has_public_page': True, 'name': 'Dubai, United Arab Emirates', 'slug': 'dubai-united-arab-emirates'}",https://instagram.fssz5-1.fna.fbcdn.net/v/t51.2885-15/428168847_317648030819492_4545716150696268718_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fssz5-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=_zOh1XkVD70AX_lZHad&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDirPk6btIlmyysz2R0aeaSfxGWXeTdNzYakHc99D_OTQ&oe=65E59120&_nc_sid=8b3546,False
