owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
30484604,linda_lomelino,C37uoFgCMdo,True,I’ve been going through my archives (like 10 old hard drives) as a way to procrastinate lately. Everything from old client work to unseen moments from book shoots with @myfeldt. These moments are some of my forever favorites 🥹 (and I’ll keep adding more to my story highlight ’Bts’).,62,1183,1709214098,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/430288717_1114380199753847_1723875680905869616_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Kk_geZrmLTcAX8LrcFT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAcNLI0G7jdFl22u9u5Gk-vXeEqkmcdQhQ2zzt8_AZGfA&oe=65E5A161&_nc_sid=8b3546,False
30484604,linda_lomelino,CqTZ_UQgy3S,True,"I’m back home from a few days spent in Empordà in Northern Spain with the best creative team. We stayed in a fantastic home in the countryside, organized by @viu_emporda 🤍 We got to visit @caterina_roma, to see her incredible studio and try our hands on raku, definitely one of the best experiences! Her work is truly mindblowingly beautiful and her studio as well, so make sure to check it out. Next time I won’t pack winter clothes so I can bring some pieces home with me 🤍 Thank you so much to Pablo and the team at @viu_emporda, can’t wait to share more of the house with you (where we’re also hosting our upcoming workshop in May!). And thank you to @yagobruna, @carolina_ferrer_, @adelasterfoodtextures, @ruthribeaucourt, @gabrielle_karnycheff, @aurore.pelisson, @micha.diot and @justine.robineau 🤍🤍",85,1576,1679943425,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/338292945_981875276514763_7325564423725589366_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=kSaGT1yAHiwAX89spHv&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBpXu9Mmx3klDIElHStYrrumN5UmU7P62gxmEB4Qv39ZQ&oe=65E54D37&_nc_sid=8b3546,False
30484604,linda_lomelino,CnHvKs7NMf3,False,"One week into the new year and I’m deep into editing all the photos for @myfeldt’s third book! January is the month where I try to catch up on everything and I must say I’m feeling more behind than usual lately. Especially on messages and DMs. (I’m sorry). I hope you’re doing well. Citrus photos from My’s books 👆🏼Can’t to show you the ones from the new book which is out in May! 

#citrus #lemons #citrusfruit",169,11783,1673109401,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/323931532_1392654881549764_6435768661243799661_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=E8vrueTuqjoAX9GGg_F&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAJQ4pAmXjT3GDLAHY8bOFTm59_af1bIulPpM-_lq7dkw&oe=65E81D91&_nc_sid=8b3546,True
30484604,linda_lomelino,C3P2fA2CI_L,True,"A dreamy little semla ☁️ Tomorrow is Fat Tuesday, ‘Fettisdagen’ or simply ‘semmeldagen’ in Swedish. This is the recipe I created for the latest issue of @thebakefeed 🤍 Run out and get yourself a copy! 🏃🏻‍♀️ 

.
.
.
#semla #fettisdagen #fattuesday #mardigras #swedishrecipe #semlor",80,2798,1707741714,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/427409578_356603040588942_1693775908955096531_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Ue8exIt7peMAX9vZXXk&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAaPfH-Xzzt4jWXXJhskdPa9PZdHswb2eOjoptRVfoINg&oe=65E57565&_nc_sid=8b3546,False
30484604,linda_lomelino,C3K----C5x7,False,My collection of old plates in the studio 🔷 Which one is your favorite? 👀,357,16090,1707578095,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/426978829_352646627608016_5960300826685630390_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=CCfEivZVHPcAX_MZUGW&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAy_ATKoAq5d2oaPba5b0JTq0tn-EfhSvQz0tCt5GnD7w&oe=65E943B8&_nc_sid=8b3546,True
30484604,linda_lomelino,C3DLifWCYNA,False,"Last February @signebay and I hosted a Winter workshop in her beautiful studio, but it turned into a spring workshop with all the colors 🩷💙💜

.

#photographyworkshop #foodphotographyworkshop #tablesetting #springtable #springflowers",64,2243,1707316242,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/425379891_355484380614290_3757172612841712853_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-Eug6jgI7gIAX_we5O7&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1IANPe1T-If9WHJvHU6T17AqRoZVamG_Kh9RgHwo8aw&oe=65E8BDE0&_nc_sid=8b3546,True
30484604,linda_lomelino,C2-BCYkCfVd,False,Forget-me-nots up close with a paper texture I’m working on 📜🌸,91,4649,1707142964,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/425396799_347330334846022_2226492771294771230_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=LzSooNlOHpMAX9yuH3k&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBhgBcygVx8X6aUZr3HFjpUh6L0IyxCZA-1rt6WOyWfSQ&oe=65E97F76&_nc_sid=8b3546,True
30484604,linda_lomelino,C22Ud6ZCJkF,False,Shooting sockerkringlor with My 🥨🩷🌅,70,2042,1706884715,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/424480165_1160183378302450_4570242523613907015_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=lhKd3jCY944AX-sLyYB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCr-CnfGfpANoE4NIMbHMR94Yl_A69cM0h64i6UjX6MWQ&oe=65E8548F&_nc_sid=8b3546,True
30484604,linda_lomelino,C2uZ35diUZ9,False,"So happy to have four of my recipes published in the latest issue of Bake from Scratch magazine, the Swedish Issue @thebakefeed 💛 Princess cake, mazariner, semlor and solbullar 🌞",167,5602,1706619114,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/424428853_887115536498150_8361321294048091370_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=HNNmnRbKTckAX_GHi1a&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCIDoanOLI-hGTX9lSBPT_DtynmrLCKyM_uKLbMiUjLFA&oe=65E8C987&_nc_sid=8b3546,True
30484604,linda_lomelino,C2myrL8CPjl,False,"Sweet memories from The Journey in Italy with @adelasterfoodtextures, @1924us and @ellemaywatson ✨",88,2798,1706363682,,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/422314681_896980428472713_2074212484463745417_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=NFIpr8Co6bcAX_nVfc9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB-yq955CKWHqCy3n3crYZGDO-Zh4A9Tn0curwCwXThTw&oe=65E80D38&_nc_sid=8b3546,True
