owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
563872575,naraaziza,C3aaDJuLXdh,True,what does love mean to you? @calvinklein #ad #cketernity,413,71157,1708095831,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/427761817_813420394133476_3339100530872759995_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=vDJ16D889fAAX9LS_5I&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD9d6SJYhafyyRyGHRfgpm6D6chSImolwsx0-Vm-nqnGQ&oe=65E5BC78&_nc_sid=8b3546,False
17594736,luckybsmith,C2h8q8uuOgO,False,48 hours in Miami with @paulandshark #paulandsharktakesmiami,68,28965,1706201151,,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/420844775_289746437443068_3204085929999553662_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=oBsXmGmpCKEAX-VkfTz&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDOQkdAHTNqvMrv9S4_oPv-Fo7MJblL4VpPPWWGADDFSg&oe=65E8E4D4&_nc_sid=8b3546,True
17594736,luckybsmith,C2Z-OGFugIx,False,,182,92531,1705933527,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/420996784_1085152829342605_2815459828237288213_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=RXyQo4xakiEAX9I_UgF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1tA2-V8Q_Djr5r-SCx9iofEKKtutmb6TXavHmpuwC0Q&oe=65E9ACA8&_nc_sid=8b3546,True
17594736,luckybsmith,C2NtTYep1IR,False,Brunello Cucinelli #fw24 @brunellocucinelli_brand shot by @dennisleupold,126,45652,1705522005,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/419542533_1501700744025562_3375648136266666285_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=lTil8QSjZ8wAX-macdw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC-Y_EzltE2rZcjwYVTlkHy6ed8Q_dhIEOKYn57wC0o4A&oe=65E81FBA&_nc_sid=8b3546,True
17594736,luckybsmith,C2Hx6U4uVro,False,@tods in Milan #Tods #TodsFW24 #TodsMateria,49,26952,1705323094,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/419248221_311061948022258_5453065688443236330_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=110&_nc_ohc=J8RziV4n0wMAX_HxbjI&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAe-y9KhYo1ps803owxUlcHdaI_bYXwZqyVwTFV0k2Wwg&oe=65E8631A&_nc_sid=8b3546,True
17594736,luckybsmith,C2DrOQtMCfC,False,#FendiFW24 @fendi,108,59834,1705185370,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/419317809_1105310327489229_3101264290661180740_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=o_A3GGV74MwAX82nEpK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBP2DVdPDg6ltqKzGAwPxUokzdQW5WLsKBeC8VcZhv-xw&oe=65E8F3E1&_nc_sid=8b3546,True
563872575,naraaziza,C0b59JUrc0a,True,volume 3 coming next year 🤍,3957,449628,1701703509,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/407375761_297690942612990_576490971232695624_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=6Pay-JCDYG0AX8sq-kY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCcr2D6DMGyTf2F5NOf1jCELwuQhqLiJzfQJln4weKjFw&oe=65E521C6&_nc_sid=8b3546,False
17594736,luckybsmith,CxyQrGVuR4I,False,"A couple of weeks ago I challenged myself to read the Book of Mormon from cover to cover, something I’ve never done but have always wanted to. (I have the hardest time being consistent) I’m currently in The Book of Mosiah, the furthest I’ve ever gotten. 

I felt inspired to share my testimony of this book and of Jesus Christ with you all. 

I truly believe The Book of Mormon is another testament of Jesus Christ. I believe that this book was preserved for us, and that Joseph Smith translated this book through the power of god. Reading The Book of Mormon now is the highlight of my day. I go to bed looking forward and eager to learn more about the history of the people in this book. I’m truly inspired by the faith of the people in this book. Especially Lehi who led his family out of their homes into the wilderness following promptings from god. Can you imagine the faith it must take to lead your family away from their home? That inspires me. That inspires me to be more faithful everyday. 

Reading diligently everyday has helped me become closer to Heavenly father and Jesus Christ. It’s helped me overcome daily challenges and helped me become a better brighter version of myself. I love learning about this gospel and Jesus Christ. I have so much gratitude for my savior Jesus Christ. Because of him we all have the opportunity to be saved. I’m inspired to live as righteously as I can because of him. I love building my relationship with him, he’s always reaching out and is with you through the darkest of times. 

I want to encourage you all to learn more about Jesus Christ and to follow the commandments that have been given to you. I truly believe we are in the last days, please reach out to him and humble your hearts. 

I love the journey we are all on and I’m grateful to be apart of it. And I am beyond grateful to be a member of the LDS church. I love you all🩵

I say these things in the name of Jesus Christ amen. 

Also, if you want to read The Book of Mormon you can download the app (Gospel Library) 
Or you can reach out to a missionary and they will drop a book off at your house! (Link will be in my bio to do that!)

Have a blessed day",1452,30358,1696011090,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/384753387_710494641124391_5409407040655034684_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=pOGYAmx8MFcAX-kf1NC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAgkBarMyZipcbzMEw4FZchZyh_y5U4kLHO78mRjqEI2w&oe=65E86ED2&_nc_sid=8b3546,False
17594736,luckybsmith,CxOZYMvpf31,True,Calvin Klein – Pure Release. Unleash what’s inside. A collection that speaks to every you. Exclusive on Zalando. @calvinklein @zalando #mycalvins #zalandostyle,72,31078,1694807705,,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/378096555_271073639126197_8079564050952982277_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=yGno4KdF33kAX9-atnz&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBrWkhVUOUx6cc_Ml2UcReUyhtdYBmgkIZhntS51N1w8A&oe=65E52A38&_nc_sid=8b3546,False
17594736,luckybsmith,CtmYdIus2_R,True,"Timeless love, eternal bond @calvinklein #cketernity",290,61137,1687022657,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/354131882_1004950234009317_8289113971378972872_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=N1_pbpbobwcAX-6whsJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA01kIE8eBtgzU_It4iTnsRQ9VKLAQqlN2_Dyx8H1C71A&oe=65E568F5&_nc_sid=8b3546,False
17594736,luckybsmith,CtlJXHTuYY1,False,Hello world,136,53774,1686981114,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/354269303_801008851424216_6956925600851650132_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_ohc=xVEUmIJw-sIAX8wH7UL&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1lOs5ze1LjTfNV8jnBx_k-BfbrEOkZEFLr53NaTijRw&oe=65E9511D&_nc_sid=8b3546,True
