owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
12095217,marianodivaio,B4u3ILpIL_4,False,"What a night to remember 💪🏽🇮🇹 Proud to win my 3rd #GqAward as a Fashion Icon, proud to have brought Italy on top of the game again, proud to have reached another milestone in my career, and proud to have you guys by my side but most of all I’m proud to have done all of that through the thick and thins being me, with the big smile on my face! As I started and as I’ll keep doing till the end! ♥️ #TeamMdv #LoveYouGuys #nevergiveup 
Stunning photos by @simonlohmeyer",539,116391,1573490466,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/72597517_2505399536451205_7383919952769126979_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=_vg-ZnFJRlQAX-4SGIa&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDe26TdB35VmStVESVVtVNe5O8VLwa5_MMg-7iFG0hjPw&oe=65EB5A41&_nc_sid=8b3546,True
5628132560,lofficielliechtenstein,C1CuVKmoI_f,False,"@marianodivaio x @lofficielliechtenstein
Dive into the world of Mariano Di Vaio, read the inspiring interview and see the full storyon www.lofficiel.li Mariano graces the new digital Cover for December Wearing @loropiana via @firstbtq_man with jewelry from @germankabirski (first cover), @dolcegabbana via @kultcy (second cover), @lanvin via @firstbtq_man (third cover)
Photographer @konasov.photo
Producer, Creative Director & Stylist @loizos_sofokleous
Cinematographer @alexanderpapacosta
Hair @assiotisdahairlord
Make-Up @valentino_Nicolaou @maccosmeticscyprus 
Assistants Producer  @helenabrian_ 
Backstage Media @zaykina_dasha Bts video @savvas.baltzis Assistant photographer  @iva_nova777 Casting director (Angelina Lepper) @womanwhostyle
EIC @gracemaier 
#marianodivaio #lofficiel #lofficielliechtenstein #decembercover",134,12812,1703005961,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/411055946_18316391446188561_9164577613665877613_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=C61VWiMBsFoAX8tPF2q&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDhYjRxtLFtYVtDKtn72BbhBDWCrMNQvaLIeznKHoznWg&oe=65EAEF37&_nc_sid=8b3546,True
12095217,marianodivaio,CUprNwjIU3L,False,"NOHOW UNDERWEAR. 
@NOHOW 
#nohowunderwear 
#benohow",526,81912,1633445990,"{'id': '270531492', 'has_public_page': True, 'name': 'Italy', 'slug': 'italy'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/244542652_331194415443815_75972251582449070_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=8z19RtvOtogAX-A_PmY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB2J_8cIM6JjCVa6Th9v8FHoqCC-7de3IvpZRkJvJd-1A&oe=65EB5674&_nc_sid=8b3546,False
22567723,eleonorabrunaccidivaio,C4BgwJIN6is,False,Ci portate a vedere il Colosseo?!? Ed eccoci qui …Week end Romano con Dodi e Leo🩵🩵,232,47673,1709407738,"{'id': '228354105', 'has_public_page': True, 'name': 'Colosseo', 'slug': 'colosseo'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/430597425_18418823350039724_4798654241218839489_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=koQrdRsa7UQAX9-UC2s&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDrB4Ann4XwTs7eWFk8kzDFk8KleXPy4s8N2POAGNIvYg&oe=65EAAFE5&_nc_sid=8b3546,False
12095217,marianodivaio,C38TBDFIUr3,True,"That was the actual song that was playing 🤣😆
•  New YouTube Video out! 💈 
Do things with people you love and that are good souls ! 🫶🏼 it makes life so much better ! Glad to have all the friends that I have and you guys !! Keep shining be blessed and never ever give up!",379,16516,1709232798,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/430370850_925372575562105_123360678411318028_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=vpM8b8WgRFUAX8UPcFB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB-a6CvJY7idKdVflnOvcZGQg9gdEcfcy7OyDZMah-Trg&oe=65E755B3&_nc_sid=8b3546,False
12095217,marianodivaio,C30cIcCorYw,False,"🍸 New Video up on YouTube !
•
Hair/beard tutorial coming soon 🎥",255,22837,1708969108,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/425316786_18428487061063218_5776128874807330350_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Nokqi3SJ8ZQAX_gWzqb&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAFlkShvvahLxEXkFlffbxZeHKRt9V9x8WmbBrxS04lng&oe=65EA9348&_nc_sid=8b3546,False
12095217,marianodivaio,C3nJMyHI7_K,False,Random #Milano fashion week 📍,461,30093,1708522975,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/425285575_18427603180063218_5175084803709848060_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Q5rCyox4mUEAX9gt0kF&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfACRMnoIPzvdM4fvycIja-EbHeXdY7iIqQUusB9epKUMw&oe=65EB2F3F&_nc_sid=8b3546,True
22567723,eleonorabrunaccidivaio,C3kj_F5NfQE,False,Trattatevi come all’inizio e non ci sarà mai una fine🤍 #mfw,219,26821,1708436355,"{'id': '213050058', 'has_public_page': True, 'name': 'Milan, Italy', 'slug': 'milan-italy'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/428602530_18413157709039724_3045524310690374888_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=eEKmdlYyIAAAX9oCPEm&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDbf5ctGkGWIqSq7C-jKxR91TTNvx2EmetmgVu0peIuNQ&oe=65E9F9B3&_nc_sid=8b3546,True
12095217,marianodivaio,C3iITBboqJT,True,Last one from this magic place ❄️ maybe..,265,18806,1708354773,"{'id': '215722604', 'has_public_page': True, 'name': 'Lapland, Finland', 'slug': 'lapland-finland'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/429194177_1188125655502355_4639055811290391738_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=mf7FIE2Iqx0AX9iimsn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCiVWQ1e4V0QJoEtsxH80Ggjmwmyb88o9Ba77zbrnBe-g&oe=65E71520&_nc_sid=8b3546,False
12095217,marianodivaio,C3ZyFiwAc4-,True,"Avete visto #PensatiSexy su @primevideoit ? 
Lavorare al fianco di @la_andreozzi_official, la regista visionaria, è stato un viaggio incredibilmente arricchente. Divertirmi sul set con l’incantevole e adorabile @dianadelbufalo e contribuire a creare magia è stata un’esperienza fenomenale. Non vedo l’ora che tutti voi abbiate l’occasione di vedere i frutti del nostro lavoro. Andate a guardare il film e fatemi sapere cosa ne pensate :) #pensatisexy #primevideo",549,30202,1708078159,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t51.2885-15/427437303_1325117108173838_5707737128519497567_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XKzZfU2-ifcAX99kEAY&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBBbbKPz_nMab0tiP3dCAH_IxErB2palf-Pbxr-QQWS9g&oe=65E74E59&_nc_sid=8b3546,False
12095217,marianodivaio,C3XHKzCofu0,False,Morning photo bomb 🤍❄️,182,38007,1707985039,"{'id': '215722604', 'has_public_page': True, 'name': 'Lapland, Finland', 'slug': 'lapland-finland'}",https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/424599404_18426561256063218_8166506506085137718_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9ICe2RMmMycAX-F8XwE&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCN6SDjyY-W3TX3gglqNVtYNgDwnqA-pykbFHqm09qKew&oe=65EAD4D1&_nc_sid=8b3546,True
12095217,marianodivaio,C3S39MTICwW,False,Partners ❄️🤍,274,26169,1707842846,,https://instagram.fkiv3-1.fna.fbcdn.net/v/t39.30808-6/424590246_18426265270063218_7936036331264078823_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkiv3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=VP_cNJtIYMcAX9l2sX8&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfC82RFJX5sJat71PMHWYuTf9WBjUj722d2OSt4-tUV9Tw&oe=65EB1ADB&_nc_sid=8b3546,True
