owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
1552997022,mattiasklumofficial,C4DjqOtCdw_,False,"Today is the official #worldwildlifeday. A great day to  remind ourselves to safeguard natural life on this amazing planet!  People often ask what we all can do to lessen our footprints and help species, ecosystems or ethnic minorities in peril. The obvious thing is that we can all make choices, on a daily basis, that can truly make a difference. For example what we eat, what products we buy…if, how, when and what we drive…for whom we vote etc. Low hanging fruits are also to support hard working organizations like @wwfsverige , @tpw_foundation , @synchearth , @janegoodallinst , @mission_blue and @redlist_of_ecosystems to help navigating towards a resilient and healthy future for people and planet! Since I started working full time as a photographer and filmmaker in the mid eighties every day has felt like #worldwildlifeday and for that I am grateful! ❤️🙏
I photographed this leopard in @nyerere_national_park , Selous , Tanzania. The leopard lis one of the world’s most versatile predators that easily adapts to different environments. It can jump over 6 meters and drag up preys larger than themselves in the trees. The leopard is still hunted predominantly for its beautiful fur.
#celebrate #worldwildlifeday #protectbiodiversity #makeyourvoiceheard #mattiasklum @natgeo",27,1432,1709476372,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/430272201_18424609873037023_656467284694197773_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=g67hO1qa9B0AX9crgka&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfBTE0iFXMq0yGVudNjRQSjYKACr2j0dI0vl5_vhg3oX0g&oe=65EA3AA0&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C37XmoqCvk9,False,"Small fishing vessels from a far on Lake Malawi, the ninth largest lake in the world and the third largest and second deepest lake in Africa. This remakable lake is home to more species of fish than any other lake, including at least 700 species of cichlids. #peace #livingthedream #mattiasklum #lakemalawi #malawi #sdg #stars #africa #protectbiodiversity @nikoneurope @thephotosociety @natgeo",29,1615,1709201615,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/430315005_18420317317037023_3335805358742593805_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=xBia4QSGpE4AX88oHrW&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAX2FnCm2wk_EddE3QgdnbjW6n6HlIQFrPKxo1GiPMYVw&oe=65EA489F&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3xloh0iY3-,False,A still life of the front leg of a Galapagos Marine Iguana. The patterns and coloration on each and every individual iguana is absolutely unique. The Iguanas of the Galapagos are believed to have had a common ancestor that floated out to the islands from the South American continent on rafts of vegetation millions of years ago. The world’s only marine lizard species shot on assignment for @natgeo #galapagosconservancy #conservation #wwf #darwinfoundation #iucn #beauty #marineiguana #patterns #mattiasklum #protectbiodiversity #gorgeous @thephotosociety @natgeo @natgeotravel,22,2455,1708873427,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/422750528_18419667979037023_4233697576154287495_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=U5IG5jW3OH0AX_MuBbX&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCBtimAtavUDXv6b7NiJC6_r5bGhewJ2XJcPHYdkngpsg&oe=65EA8892&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3snAFRiHKK,False,"This post is for a national photo contest, in Swedish only. Sorry! Det här är några av mina bilder från min hemstad Uppsala på temat  #mingrannbild. Först några grannkillar i området Årsta som umgås på fotbollsplanen, och sen några tjejer i Kungsängen som tävlar på rullskridskor, en liten flicka blir ansiktsmålad på Stehagsdagen och en familj i Norby som lagt ut äpplen för att bidra till bättre gemenskap, grannar emellan. Hur ser det ut hos dig där du bor? Dela din bildtolkning och vinn en fotoworkshop med mig i samarbete med @svenskfast. Tillsammans vill vi stoppa ensamheten, stärka gemenskapen och öka tryggheten i våra bostadsområden. För att delta i tävlingen, tagga ditt inlägg med #mingrannbild #grannaremellan @svenskfast. Lycka till!",5,527,1708706372,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/422948989_18419321398037023_5819856894092649776_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=OO8NIJF-lM4AX_Kjw48&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfA64RjeFnf9sNNcAGiyFWc_XYEkZ1kfmFb91bkwRfRpRQ&oe=65E98ABD&_nc_sid=8b3546,True
1552997022,mattiasklumofficial,C3mlPIVtD6I,False,"A hippo in a typical threat display towards a rival in Phinda, South Africa. Hippos are known to be a bit grumpy, but if you read their behavior and play your cards right it always works really well. Hippos move with great ease in water, ”swimming” by kicking their hind feet or simply walking on the bottom. They are well-adapted to an aquatic lifestyle, with small ears, eyes and nostrils set at the top of the head. Their senses are super keen even when submerged in water. By closing its ears and nostrils, the adult can stay under water for as long as six minutes. It’s no secret that hippos love water, which is why the Greeks named them the ”river horse.” Hippos can spend more than 16 hours a day submerged in rivers and lakes to keep their massive bodies cool under the hot African sun. The black market’s insatiable demand for ivory has turned poachers’ attention away from well-protected elephants to more vulnerable hippos! 
Don’t buy exotic animal souvenirs!!
#conservation #wwf #africa #ecosystem #engineer  #beauty #power @natgeo @nikoneurope",25,1362,1708504120,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/428607817_18418927690037023_1182645333342498373_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Uvfnhcjb2nYAX-d9zaH&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfCFAsJP9uFSqD6EUqJ_wBSbo5oZKFSrmgeeSWGv2qkaYg&oe=65EA67D2&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3Xev3QNi0u,True,"I took this photograph of terraced land prepared for palm oil monoculture in Borneo on assignment for @natgeo (Note the bulldozers far down right in the image).
Palmoil has been and continues to be a major driver of deforestation of some of the world’s most biodiverse forests, destroying the habitat of already endangered species like the Orangutan, pygmy elephant, hornbills, king cobras and Sumatran rhino. This forest loss coupled with conversion of carbon rich peat soils are throwing out millions of tonnes of greenhouse gases into the atmosphere and contributing to climate change. There also remains some exploitation of workers and child labour. These are serious issues that the whole palm oil sector needs to step up to address because it doesn’t have to be this way. 
Please avoid uncertified palmoil and support rainforest conservation and ethnic minorities globally!  #borneo #biodiversity #science #logging #fridaysforfuture #palmoil #conservation #wwf #rainforest @natgeo  @thephotosociety",93,2644,1707997519,,https://instagram.frec37-1.fna.fbcdn.net/v/t51.2885-15/428126737_893508599135829_7353828873013300261_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=4_FtqSjci1AAX8c1sEa&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBTkBPtfaP4Ai3-OMwQDmtM5qVLbPJpvElkfn-4xYRuDg&oe=65E726DB&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3Vl-trsvTj,False,"Happy Valentine’s Day! ❤️ When resting, lions socialize through a number of behaviours. The most common peaceful tactile gestures are social licking and head rubbing which, for example can be compared with grooming in primates (or human stroking, cuddling, hugging etc). Social licking among lions often occurs in tandem with sometimes drawn out head rubbings. It’s generally mutual and the recipient clearly express pleasure. The head and neck are the most common parts of the body licked, which may have arisen out of utility, as a lion cannot lick these areas individually. Head rubbing – nuzzling one’s forehead, nose and neck against another lion, is a form of greeting and I often see it after an animal has been apart from the pride, or after a fight or confrontation. In general males tend to rub other males, while cubs and females normally rub females. I took this picture in Thanda, South Africa. #protectbiodiversity #thanda #southafrica #nuzzle #africa #lion #science #happyvalentinesday #mattiasklum #savebigcats @mattiasklumcollection @thephotosociety @natgeo  @mattiasklumofficial",32,2088,1707934084,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/428271039_18417793420037023_5621249497956288917_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2W25wQRvahIAX_iue0f&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfASk5zykmgTe4vIWlPKDgrTdXiSZ4kKqgZ9KS5qT7TxOg&oe=65EAD4A4&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3Ueu2tt9rF,False,"A Pygmy owl, the smallest owl in Europe, with a newly caught vole checking me out. Photographed near Dalbyviken in Hammarskog, Sweden.  #pygmeowl #vole #mattiasklum #protectbiodiversity #uppsala #hammarskog #sweden @mattiasklumofficial",23,1611,1707896730,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/428395347_18417701335037023_3333377924939966440_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=NZzV5kFVCl4AX-htLto&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAzCUL93j9MmRtqYXitSKqg-_5ZiVk12ke5Rdm2IlQciw&oe=65EA3939&_nc_sid=8b3546,False
1552997022,mattiasklumofficial,C3M5BCTMG2c,False,"River in Landmannalaugar, Iceland. The sensation of looking at things and, in a way, loose the sense of scale is such a cool feeling. I can be working in mini macro detail or from a mountain (or like here, from a helicopter) and get into such a state of flow that I become totally sucked into the pattern hundreds of feet below. Love it!  #landmannalaugar #iceland #protectbiodiversity #livingthedream @natgeo  @thephotosociety @natgeotravel @mattiasklumcollection",18,1238,1707642075,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/426870859_18417174874037023_765896786534097789_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=GDrUvNG_pqoAX_ayAYN&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfDDS6PapGWeQy4Gn-Ig_5vVS4rNSzgFyFxh7Jjq6x7CAQ&oe=65EA5F5D&_nc_sid=8b3546,False
31274174906,voguescandinavia,C3IRqHbskkP,False,"Here’s something to chew on: food – what we eat and how we produce it – is responsible for one-third of our current climate crisis. It’s also the single largest killer on our planet. It’s an issue so massive, so complex, it seems insurmountable. Enter @gunhild_stordalen , #JohanRockstrom and @mattiasklumofficial – the Swedish-Norwegian dream team presenting a scientifically sound way to solve the world’s biggest problem.

Tap the link in @voguescandinavia’s bio to read more.

Photographer: @feliciamasalla 
Words: @shiffmane 
Stylist: @annasundelin 
Makeup Artist: @maurinetugavune 
Hair Stylist: @yasminesahaar",45,1631,1707487222,,https://instagram.frec37-1.fna.fbcdn.net/v/t39.30808-6/426292931_18019253543046907_6336660823006973491_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.frec37-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=m9RHPSNg5AsAX9dhGgo&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfC0FMkORn_QX6VmlpuIpwt4TZhSVq6UVkJ-t6W7kn7tvQ&oe=65EAAF38&_nc_sid=8b3546,True
