owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
208101486,menwithclass,CvFCjP0K9DJ,True,"The way every week should start ☕️ 

#menwithclass",497,86265,1690198806,"{'id': '595481944151506', 'has_public_page': True, 'name': 'French Riviera', 'slug': 'french-riviera'}",https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/362378648_189131747474393_1634969905785663466_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=dQgccbnj1GIAX9ZluT1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB4HjAfrg8eiAwQzys1P_BJmmOubDx7FNnLx7dNNhYENg&oe=65E73184&_nc_sid=8b3546,False
208101486,menwithclass,Crf9erJK1uX,True,Wait for it.. $250M penthouse views overlooking Central Park with our dear friend @ryanserhant #menwith,369,50998,1682512518,"{'id': '480531975773394', 'has_public_page': True, 'name': 'Central Park Tower', 'slug': 'central-park-tower'}",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/343214748_1206446050036827_3964419188519920316_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ZniT6QFssJUAX_qOCud&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBSwLXv5L0DzJi3p5lWyXHdZPzVLyKifnxgBal9D_AZew&oe=65E75126&_nc_sid=8b3546,False
208101486,menwithclass,CjQA9SAKOeB,True,5 styles for 5 occasions 👫 Which one is your favorite? 🫶🏽 Video by @alexcosta & @robbijan #menwithclass,201,29803,1664797289,,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/309939691_835481527808582_3143357709159831717_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ZpfYFVLeV44AX_RPyp3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCHYah9bj_AcT5hkJ3j66_BYZAUXQd0fuUgADckW9OMdQ&oe=65E6D04C&_nc_sid=8b3546,False
208101486,menwithclass,C4Dt5TTIGYB,True,Snowy Sunday in St Moritz 🇨🇭,8,2129,1709481846,"{'id': '101120501670400', 'has_public_page': True, 'name': 'St. Moritz, Switzerland', 'slug': 'st-moritz-switzerland'}",https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/431141116_709298321416254_3545938861154161212_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_ohc=OjR_Hk8BVDoAX96iqeG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAsuZGxBriiFwZAC3lNGenwrCBcaQ966WdzCHO51VSopw&oe=65E74517&_nc_sid=8b3546,False
208101486,menwithclass,C3-22UjIX1T,True,10 outfits - which one would you choose? 🙌🏽,36,4879,1709318882,"{'id': '213110159', 'has_public_page': True, 'name': 'Hamburg, Germany', 'slug': 'hamburg-germany'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/431041097_752387193524397_9150916899581742718_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_ohc=G9S74fOuOsQAX9XYTo8&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAFdEtt6ylg4KOLsnaxUwQo0SBlX9NPlSAbF7QIpVdlPQ&oe=65E7343A&_nc_sid=8b3546,False
208101486,menwithclass,C350jAnIu9i,True,Couple goals - rate the outfits 👍🏽 or 👎🏽,50,11709,1709149809,"{'id': '590795636', 'has_public_page': True, 'name': 'Milano', 'slug': 'milano'}",https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/430290989_782530983212704_6960260222445242180_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=K7fzCRKdn0cAX_DKesK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA7TTD5x8y6fwfrA4rExPSS7grUKpOL_URjS0hoHOi9mQ&oe=65E73F2B&_nc_sid=8b3546,False
208101486,menwithclass,C325La-olhC,True,Exciting VIP-day @gimsswiss - here’s a few of our favorites 🙌🏽,7,2367,1709051829,"{'id': '168338386538854', 'has_public_page': True, 'name': 'Geneva International Motor Show', 'slug': 'geneva-international-motor-show'}",https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/430183657_3201800206794797_4517840402392706081_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=97VzSVBXQ7oAX_BqFM9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB3ccRr9oyynlXl4XomWK21CCCm18t8H-N83lHewtHPEw&oe=65E75DEA&_nc_sid=8b3546,False
208101486,menwithclass,C3xwx3MIuPO,True,Wait for it… it’s never too late to change style.,38,22529,1708879836,,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/430182266_2417223951803867_7977221710224242394_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=111&_nc_ohc=FjYZisAMhk4AX9s7Rw0&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD4ekbAzjtAr1-k3WckG6w_ZOCJAq__6zrvUhKMV1J5_Q&oe=65E6E911&_nc_sid=8b3546,False
208101486,menwithclass,C3ur10oodfe,True,Next stop: Geneva International Motor Show 🇨🇭,7,867,1708776327,"{'id': '168338386538854', 'has_public_page': True, 'name': 'Geneva International Motor Show', 'slug': 'geneva-international-motor-show'}",https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/429451059_409919231530865_4595533664350151847_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=m3fmN4hM2ZkAX8GBThr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDs_1v5HoG6pNWg7wPYqAoDl1tIGRp1d9rScedXeEo4NA&oe=65E72612&_nc_sid=8b3546,False
208101486,menwithclass,C3p_w03o7U_,True,Who would you bring? 🍷,18,4083,1708618861,"{'id': '11124039', 'has_public_page': True, 'name': 'BNF Richelieu', 'slug': 'bnf-richelieu'}",https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/429429833_1427213341535510_4362202386317166877_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_ohc=AMYcgrO9apYAX_02y8T&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDQvZrZNTRadW3CHhz-D1nG8e5hy-3OhBW7VkWDkwkGUQ&oe=65E720D2&_nc_sid=8b3546,False
