owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
13945713,owright,C0h0oIMSD5X,False,Incredible night with incredible people at the GQ men of the year awards! Always fun to dress up with this stunner 🔥🔥 @kitaalexander @gqaustralia,64,3512,1701901966,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/407842487_355372790510045_7876144268365769835_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=-NqvX0li4EUAX8GtRIk&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCDDd67qd394DAjAuRWRN_wmdpY9zCY25uu3Q0HrHqecA&oe=65EA72AC&_nc_sid=8b3546,True
13945713,owright,CvbwethssCs,True,My book Against the Water is OUT NOW!  Hope you all enjoy it and let me know what you think when you read it 🫶♥️ link in my bio,250,3445,1690961333,,https://instagram.fsgn3-1.fna.fbcdn.net/v/t51.2885-15/364237506_1713078509152144_1538549482457334107_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsgn3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1K6bUDygx-gAX_Kc63H&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCSlANOVfoPDN-UiNzI5A8zRcUZA9L4cgmpwc83RHkDdg&oe=65E72292&_nc_sid=8b3546,False
13945713,owright,CR1qhzsLHwm,False,"This is  for my wife @kitaalexander  my kids, my family, my friends, the surfing champions in Australia before me, my country, tbi survivors and anyone who followed my journey! 🥉🥉🥉 love you all. Thanks for all the supportive msgs  @ausolympicteam @olympics @theirukandjis @surfingaus can’t wait to watch the rest of the athletes in the games!!!",2006,64783,1627405832,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/223049898_113714617661938_6164392797036835730_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=4pjPqfr0X20AX__14Fg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB1lKGG_IsWJT8BXZnfBh_bQfRpJlCCbf_IdsEYzBLU_w&oe=65EA7F54&_nc_sid=8b3546,True
6100255157,ocean_earth79,C3wMFXFS5x8,True,"⚡️ Lite Trac Moulded Traction x @owright ⚡️⁠
⁠
- 20% Lighter⁠
-More Responsive ⁠
- More Grip⁠
⁠
🎥 @wadeecarroll 

The grip pad that gets grippier when wet 💦⁠
⁠
Proudly independently owned and run by surfers for surfers.⁠
#TrustedSince79⁠
.⁠
.⁠
.⁠
#surfhardware #surfing #surf #ocean #travel #surfer #innovators #coresurf #surfproducts",11,395,1708826564,"{'id': '23388541492', 'has_public_page': True, 'name': 'Ocean & Earth', 'slug': 'ocean-earth'}",https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/429477303_1828089190985062_4098999141348200991_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=WlUlS-7i8VAAX874oiG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCqkhG4ccEBCZhXYnyovLUQ15FECWJc1Or_wH7RRUPRbQ&oe=65E7367E&_nc_sid=8b3546,False
13945713,owright,C3vqDaMSYan,False,"Happy birthday to the Queen @kitaalexander  what an incredible year you had! Announced your album and tour, released some incredible songs and teamed up with some of the best! All the while finding time to be the best mum and sneak in a few surfs and camp trips with me ♥️♥️ I hope this year is just as awesome 🚀🔥🥳",43,1965,1708808635,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/429588148_1668662263657817_2718873713812861703_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=vcGxWg42CkUAX_Wc8vZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBClzVqYHMXhi-NHlwDwfXeUMHY1f___86qpGy6pC5zSw&oe=65E97C71&_nc_sid=8b3546,True
13945713,owright,C3pWVUZy6mY,False,I love this time of year! @dometic making beach days a breeze!! #ad,33,1659,1708596970,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/429640114_1122733809006985_5454945123322640320_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=M87F9vcSp2MAX8gLFOd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDHBHFw59emmhaX-EhmaOMuXyOugD83nEACRfx2uymazw&oe=65EAEAC0&_nc_sid=8b3546,True
13945713,owright,C21ystrSDc2,True,I fricken love camping with my kids! But I’m pretty sure they just love the marshmallows 🤣🤣 @dometic #dometicoutdoor #ad,72,1132,1706867277,,https://instagram.fsgn13-2.fna.fbcdn.net/v/t51.2885-15/424454279_1390056035232344_3615329586907092573_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsgn13-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=el_GhbUkkJQAX-ST04y&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBTqc-DgMylfcBMhfUYEZ8tP-jRxhi9BVEl69zbacXfPg&oe=65E6E8B6&_nc_sid=8b3546,False
13945713,owright,C2dIeLSSgGG,False,"Nothing better than spending all day at the beach! 
Pop up @dometic hub 2, pull out the cooktop, few cold drinks in your fridge and your set! 

 Proud to announce that I will be continuing on as a @dometic ambassador ♥️♥️ 
 #dometicoutdoor",57,1734,1706039565,,https://instagram.fsgn13-1.fna.fbcdn.net/v/t51.2885-15/420521310_2212212425777340_5337882278992913610_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsgn13-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=lx13fEienmsAX9xt-nB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAzdpyfcF8-GL5zRubARWePXKxtZnKXR8h5j57so5hJEQ&oe=65E9E76D&_nc_sid=8b3546,True
13945713,owright,C11X5laS0el,False,One of the best memories of my childhood was dad picking me up from school in his work Ute and taking me surfing! Feels nice to treat my son with the same experience.. safe to say we are doing it with a bit more style in the @vwamarokandvans #ad,126,6865,1704705477,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/417223388_300075919191214_8494486430604008955_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=8WLJtONuWMMAX8KeLwG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-CAfOR8VG4kA2YRU9gxEreQ-mwSGeWrEzg0xusL_lbw&oe=65EB1D3B&_nc_sid=8b3546,True
13945713,owright,C1qwyp4rrlf,False,"2023 will always have a special place in my heart! Retiring from the world tour surrounded by friends and family! Couldn’t have asked for a better way celebrate the competitive surfing chapter of my life! 
Very excited to see what 2024 has install ♥️♥️ hope you all had a good new year",140,5353,1704349428,,https://instagram.fsgn4-1.fna.fbcdn.net/v/t51.2885-15/416170760_385666890488077_3327106195289209685_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsgn4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=z2DOZvc477AAX8wn5Zl&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCawUn-IL-i1z8sARpxRycX862dk3c_qEKYKkSvggsJng&oe=65EA7313&_nc_sid=8b3546,True
